DATE,Base: Total,Base: Currency in Circulation,Excess Reserves,Required Reserves,30 Year Treasury Rate
2014-04-30,3921269.6,1269981.4,2571121.6,80166.6,3.5176190476190476
2014-05-31,3904794.5,1275948.5,2545590.0,83256.5,3.3899999999999997
2014-06-30,3962577.5,1279375.5,2602295.0,80907.5,3.4200000000000004
2014-07-31,3971675.0,1285138.4,2602222.8,84314.2,3.3318181818181816
2014-08-31,4076328.75,1287770.25,2702421.5,86137.25,3.2009523809523808
2014-09-30,4060787.5,1290215.0,2688205.5,82367.75,3.26
2014-10-31,4009998.4,1293956.6,2630583.6,85458.2,3.0399999999999996
2014-11-30,3843469.0,1309492.5,2447892.0,86085.0,3.038333333333333
2014-12-31,3914456.6,1326660.4,2504551.0,83245.2,2.833181818181818
2015-01-31,4018427.0,1333753.25,2594833.5,89840.25,2.455
2015-02-28,3864925.25,1341359.5,2434645.5,88920.25,2.566315789473684
2015-03-31,4000551.75,1354625.25,2554214.25,91712.5,2.6263636363636365
2015-04-30,4059273.0,1359748.8,2606686.0,92838.4,2.585909090909091
2015-05-31,3954727.0,1364570.0,2497338.5,92819.0,2.955
2015-06-30,3928827.0,1366158.5,2474765.0,87903.5,3.1118181818181814
2015-07-31,3945173.4,1370018.8,2484422.8,90732.0,3.066363636363637
2015-08-31,3970474.0,1375164.0,2500296.5,95014.5,2.855714285714286
2015-09-30,4032951.4,1383540.4,2555720.4,93690.8,2.9528571428571433
2015-10-31,4061649.5,1391429.0,2580269.0,89951.5,2.888095238095238
2015-11-30,4024563.0,1402991.5,2532965.5,88606.5,3.03
2015-12-31,3855271.6,1415101.0,2350309.8,89861.4,2.97
