ISO_Code,Year,RGDP Per Capita Lag
IRN,2016-01-01,15039.0
IRQ,2016-01-01,13087.0
IRL,2016-01-01,53372.0
ISR,2016-01-01,31729.0
ITA,2016-01-01,34673.0
JAM,2016-01-01,7115.0
JPN,2016-01-01,36030.0
JOR,2016-01-01,11738.0
KAZ,2016-01-01,23408.0
KEN,2016-01-01,3090.0
KOR,2016-01-01,35316.0
KWT,2016-01-01,68127.0
KGZ,2016-01-01,5910.0
LAO,2016-01-01,6001.0
LVA,2016-01-01,22724.0
LBN,2016-01-01,12665.0
LSO,2016-01-01,2954.0
LBR,2016-01-01,798.0
LBY,2016-01-01,8514.0
LTU,2016-01-01,25279.0
LUX,2016-01-01,67804.0
MKD,2016-01-01,13586.0
MDG,2016-01-01,1288.0
MWI,2016-01-01,960.0
MYS,2016-01-01,22075.0
MLI,2016-01-01,1563.0
MLT,2016-01-01,26577.0
MRT,2016-01-01,3323.0
MUS,2016-01-01,18259.0
MEX,2016-01-01,15766.0
MDA,2016-01-01,5569.0
MNG,2016-01-01,11139.0
MNE,2016-01-01,17738.0
MAR,2016-01-01,7577.0
MOZ,2016-01-01,1277.0
MMR,2016-01-01,5834.0
NAM,2016-01-01,11850.0
NPL,2016-01-01,2607.0
NLD,2016-01-01,48463.0
NZL,2016-01-01,33445.0
NIC,2016-01-01,4699.0
NER,2016-01-01,895.0
NGA,2016-01-01,5540.0
NOR,2016-01-01,76305.0
OMN,2016-01-01,37096.0
PAK,2016-01-01,5056.0
PAN,2016-01-01,20809.0
PNG,2016-01-01,
PRY,2016-01-01,8364.0
PER,2016-01-01,11215.0
PHL,2016-01-01,6870.0
POL,2016-01-01,25310.0
PRT,2016-01-01,27255.0
QAT,2016-01-01,139542.0
ROU,2016-01-01,20549.0
RUS,2016-01-01,23118.0
RWA,2016-01-01,1676.0
SAU,2016-01-01,47737.0
SEN,2016-01-01,2446.0
SRB,2016-01-01,13556.0
SYC,2016-01-01,23984.0
SLE,2016-01-01,1033.0
SGP,2016-01-01,67110.0
SVK,2016-01-01,25896.0
SVN,2016-01-01,28077.0
ZAF,2016-01-01,12054.0
ESP,2016-01-01,33376.0
LKA,2016-01-01,10734.0
SDN,2016-01-01,3723.0
SUR,2016-01-01,
SWZ,2016-01-01,7726.0
SWE,2016-01-01,43464.0
CHE,2016-01-01,61476.0
SYR,2016-01-01,3509.0
TWN,2016-01-01,41805.0
TJK,2016-01-01,3365.0
TZA,2016-01-01,2429.0
THA,2016-01-01,13938.0
TLS,2016-01-01,
TGO,2016-01-01,1482.0
TTO,2016-01-01,30892.0
TUN,2016-01-01,10608.0
TUR,2016-01-01,20808.0
UGA,2016-01-01,1883.0
UKR,2016-01-01,9429.0
ARE,2016-01-01,69237.0
GBR,2016-01-01,38749.0
USA,2016-01-01,52591.0
URY,2016-01-01,19668.0
VEN,2016-01-01,16257.0
VNM,2016-01-01,5733.0
YEM,2016-01-01,2496.0
ZMB,2016-01-01,3537.0
ZWE,2016-01-01,1759.0
ALB,2015-01-01,10703.0
DZA,2015-01-01,12782.0
AGO,2015-01-01,8615.0
ARG,2015-01-01,19000.0
ARM,2015-01-01,9260.0
AUS,2015-01-01,43887.0
AUT,2015-01-01,44894.0
AZE,2015-01-01,16025.0
BHS,2015-01-01,
BHR,2015-01-01,38535.0
BGD,2015-01-01,2901.0
BRB,2015-01-01,9972.0
BLR,2015-01-01,20037.0
BEL,2015-01-01,39182.0
BLZ,2015-01-01,
BEN,2015-01-01,2092.0
BTN,2015-01-01,
BOL,2015-01-01,5784.0
BIH,2015-01-01,9986.0
BWA,2015-01-01,14900.0
BRA,2015-01-01,14825.0
BRN,2015-01-01,
BGR,2015-01-01,16556.0
BFA,2015-01-01,1513.0
BDI,2015-01-01,779.0
KHM,2015-01-01,2981.0
CMR,2015-01-01,2672.0
