,Estimation Statistics
r**2,0.5335632095699042
Adj. r**2,0.5108101954025797
f-stat,23.450220952976448
Est Var,227905813.58491847
MSE,15096.54972452045
SSE,37376553427.92663
SSR,42755533480.27381
SST,80132086908.20023
Obs.,173.0
DOF,164.0
