DATE,U.S. Treasuries Held Outright,Mortgage-Backed Securities,Other Securities,Direct Lending and Central Bank Liquidity Swaps,Repos,Unamortized Security Premiums,Other
2002-12-31,0.6293995,0.0,1e-05,5.2e-05,0.033625,0.010811,0.051903
2003-01-31,0.629406,0.0,1e-05,1.9399999999999997e-05,0.0321,0.010688,0.05249500000000003
2003-02-28,0.63190175,0.0,1e-05,1.05e-05,0.0271855,0.01057125,0.051647
2003-03-31,0.63915825,0.0,1e-05,1.1e-05,0.023625,0.01061925,0.05022775
2003-04-30,0.6454985999999999,0.0,1e-05,3.18e-05,0.0303502,0.0105744,0.050461400000000045
2003-05-31,0.64927275,0.0,1e-05,5.9e-05,0.0278135,0.0104585,0.05074425
2003-06-30,0.65173025,0.0,1e-05,7.775e-05,0.026625,0.01034775,0.049921
2003-07-31,0.6526354,0.0,1e-05,0.00011520000000000001,0.0275,0.010197,0.051198599999999934
2003-08-31,0.65337225,0.0,1e-05,0.0001825,0.0264375,0.01004675,0.0501675
2003-09-30,0.65536475,0.0,1e-05,0.00021025,0.02775,0.01001875,0.049853
2003-10-31,0.6568742,0.0,1e-05,0.0001104,0.02805,0.009920799999999999,0.05210300000000007
2003-11-30,0.661593,0.0,1e-05,4.75e-05,0.024625,0.00991975,0.051606
2003-12-31,0.6659352,0.0,2e-06,6.840000000000001e-05,0.0316,0.0098612,0.05234280000000003
2004-01-31,0.6668525,0.0,0.0,4.55e-05,0.02825,0.00971675,0.0550735
2004-02-29,0.669864,0.0,0.0,8.275e-05,0.021375,0.009674,0.0526485
2004-03-31,0.6731806,0.0,0.0,0.0001008,0.0237,0.0097638,0.04879280000000002
2004-04-30,0.67508275,0.0,0.0,8.225e-05,0.027425,0.009671,0.049921
2004-05-31,0.67897425,0.0,0.0,0.000128,0.0255625,0.00955375,0.04869525
2004-06-30,0.6845952,0.0,0.0,0.0001962,0.02745,0.009538399999999999,0.04881020000000005
2004-07-31,0.6910545,0.0,0.0,0.0002875,0.025125,0.00950275,0.050125
2004-08-31,0.69427,0.0,0.0,0.00025725,0.0185,0.009448,0.04862025
2004-09-30,0.6964416,0.0,0.0,0.00029319999999999997,0.0314,0.009394,0.04876260000000005
2004-10-31,0.7031865,0.0,0.0,0.00017525,0.0240625,0.00941,0.05155325
2004-11-30,0.709692,0.0,0.0,7.825e-05,0.0281875,0.00953175,0.05127825
2004-12-31,0.7166238,0.0,0.0,6.02e-05,0.0316,0.009455,0.051233599999999935
2005-01-31,0.717824,0.0,0.0,5.6e-05,0.026,0.009337,0.05387775
2005-02-28,0.71786875,0.0,0.0,4.1e-05,0.020625,0.0094025,0.0526195
2005-03-31,0.7175154,0.0,0.0,0.000104,0.0255,0.0092768,0.05007539999999995
2005-04-30,0.7176945,0.0,0.0,8.35e-05,0.0256875,0.009152,0.0510385
2005-05-31,0.7213895,0.0,0.0,0.000138,0.0255625,0.0091245,0.0494095
2005-06-30,0.725678,0.0,0.0,0.0001776,0.02865,0.009305,0.04883259999999995
2005-07-31,0.7247095,0.0,0.0,0.0005495,0.031,0.00921225,0.04989875
2005-08-31,0.7273402,0.0,0.0,0.0011062000000000001,0.0293,0.009094399999999999,0.048301000000000094
2005-09-30,0.733289,0.0,0.0,0.00033675,0.0285,0.009021,0.04955
2005-10-31,0.73820525,0.0,0.0,0.00024175,0.01925,0.0089235,0.05258675
