,Estimation Statistics
r**2,0.5070126189016948
f-stat,43.1948784296059
Est Var,235143498.01675898
rootMSE,15334.38939171557
SSE,39504107666.815506
SSR,40627979241.38481
SST,80132086908.20023
Obs.,173.0
DOF,168.0
