,Inflation (%),Gov't Expenditure % of GDP ,2017 Score,Population (Millions),Constant
Inflation (%),0.0004107914511454496,-1.3825402656962944e-05,0.00018459203368058073,3.5099565658478787e-07,-0.01265438000578706
Gov't Expenditure % of GDP ,-1.3825402656962881e-05,0.0003312748380030285,-5.298258191361613e-05,1.7159683352132558e-06,-0.007663088390512017
2017 Score,0.0001845920336805809,-5.298258191361612e-05,0.0004710576090077149,1.9872942988265706e-06,-0.028092466285851977
Population (Millions),3.5099565658478035e-07,1.7159683352132579e-06,1.9872942988265672e-06,1.7735720977443969e-06,-0.00025348735996626
Constant,-0.01265438000578707,-0.007663088390512021,-0.02809246628585197,-0.00025348735996626024,2.0821038466211994
