,Coefficient
Gov't Expenditure % of GDP ,-0.0742892430647003
2017 Score,0.013578968225506067
Population (Millions),0.002309391781862298
Property Rights,-0.015108124735136938
Business Freedom,-0.018997345341722836
Constant,7.032719690547304
