Country Name,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
Madagascar,113.0,15.0,57.4,34.8,21.4,25.0,91.0,93.2,79.8,43.3,43.8,73.3,78.0,55.0,50.0,6.0,20.0,20.0,9.9,15.5,24.2,35.4,3.0,2.6,1462,2.2,7.4,517.5,35.6
Malawi,149.0,33.0,52.2,36.0,44.2,31.3,79.1,69.8,33.5,45.3,56.9,54.7,70.5,55.0,50.0,4.8,30.0,30.0,16.9,30.7,18.1,20.4,3.0,4.1,1124,6.7,21.9,142.5,83.4
Malaysia,27.0,7.0,73.8,85.3,67.3,51.8,85.3,78.7,76.5,90.8,73.1,85.3,81.2,60.0,50.0,4.4,28.0,24.0,14.8,25.2,30.8,815.6,5.0,5.3,26315,2.9,2.1,11121.5,57.4
Maldives,157.0,39.0,50.3,45.1,33.0,31.4,93.0,51.5,9.4,80.6,70.4,76.3,47.8,35.0,30.0,21.1,0.0,0.0,26.4,44.4,0.3,5.2,1.9,4.9,14923,11.8,1.4,323.9,72.9
Mali,102.0,12.0,58.6,36.7,33.8,34.3,69.4,88.0,87.8,44.2,51.1,83.0,70.1,65.0,40.0,7.4,40.0,35.0,15.3,20.3,16.3,35.8,6.1,3.7,2199,8.5,1.4,152.9,36.3
Malta,50.0,26.0,67.7,67.7,62.9,53.6,62.8,44.9,85.1,62.5,57.2,83.5,87.0,85.0,60.0,1.5,35.0,35.0,35.6,43.3,0.4,15.5,6.3,3.8,36005,5.4,1.2,9532.0,64.0
Mauritania,131.0,25.0,54.4,22.5,13.8,29.2,81.2,73.2,77.1,64.4,57.4,81.9,62.3,50.0,40.0,11.4,30.0,25.0,18.9,33.4,3.7,16.3,1.9,5.1,4395,31.1,0.5,495.0,78.1
Mauritius,21.0,1.0,74.7,64.4,72.6,44.3,92.0,81.5,74.9,78.2,68.8,81.1,88.7,80.0,70.0,0.6,15.0,15.0,18.6,25.9,1.3,24.6,3.4,3.5,19509,7.9,1.3,208.3,58.1
Mexico,70.0,14.0,63.6,58.1,38.7,30.0,74.9,76.7,66.8,70.7,57.9,78.8,80.0,70.0,60.0,5.0,35.0,30.0,19.7,27.6,121.1,2227.2,2.5,2.8,17534,4.3,2.7,30284.6,54.0
Moldova,110.0,41.0,58.0,49.6,23.9,28.6,86.1,54.8,90.6,65.9,38.9,72.0,80.0,55.0,50.0,2.5,18.0,12.0,30.4,38.3,3.6,17.8,-1.1,3.8,5006,5.0,9.6,228.5,42.0
Mongolia,129.0,29.0,54.8,51.3,28.4,36.8,87.1,57.6,0.0,67.2,76.6,72.3,74.9,45.0,60.0,5.0,10.0,25.0,23.7,33.8,3.0,36.1,2.3,10.3,12147,7.1,5.9,195.1,76.5
Montenegro,83.0,35.0,62.0,58.0,50.4,43.4,83.1,33.1,44.3,72.0,67.4,82.5,84.7,75.0,50.0,2.6,9.0,9.0,39.1,48.0,0.6,10.0,4.1,2.0,16123,18.2,1.6,699.1,66.4
Morocco,86.0,9.0,61.5,55.0,41.9,37.1,71.7,69.4,55.0,67.7,33.8,82.7,84.0,70.0,70.0,3.0,38.0,30.0,22.0,29.9,33.5,273.5,4.5,4.0,8164,9.6,1.6,3162.3,63.7
Mozambique,158.0,37.0,49.9,40.6,32.4,30.9,73.2,58.2,22.7,58.8,41.0,79.9,76.7,35.0,50.0,4.2,32.0,32.0,25.1,35.4,27.1,33.2,6.3,7.0,1186,22.3,2.4,3710.8,74.8
Namibia,78.0,5.0,62.5,53.8,50.6,41.3,65.2,55.6,66.4,67.6,84.4,77.2,83.5,65.0,40.0,0.8,37.0,34.0,30.9,39.6,2.2,25.3,4.5,5.3,11408,25.5,3.4,1077.8,27.2
Nepal,125.0,26.0,55.1,37.3,32.0,26.7,84.9,89.5,98.4,64.6,47.6,72.2,68.1,10.0,30.0,10.9,25.0,25.0,16.1,19.9,28.4,70.1,3.4,4.2,2465,3.1,7.2,51.4,28.7
Netherlands,15.0,7.0,75.8,87.4,69.9,85.7,53.2,37.0,83.0,80.2,70.5,85.8,87.0,90.0,80.0,1.5,52.0,25.0,36.7,44.9,16.9,832.6,1.9,0.6,49166,6.1,0.2,72648.8,67.6
New Zealand,3.0,3.0,83.7,96.1,88.5,89.9,70.8,46.5,97.8,91.8,86.2,90.1,87.4,80.0,80.0,1.3,33.0,28.0,32.4,41.9,4.6,168.2,3.4,2.5,36172,5.9,0.3,-985.8,30.4
Nicaragua,98.0,20.0,59.2,31.1,15.9,27.4,77.2,80.8,96.1,59.0,55.6,71.2,81.0,65.0,50.0,2.0,30.0,30.0,21.9,26.4,6.3,31.3,4.5,5.0,4997,6.0,4.0,835.0,31.2
Niger,154.0,36.0,50.8,33.8,22.6,35.0,76.3,73.4,38.5,39.1,46.1,83.3,66.4,55.0,40.0,9.3,35.0,30.0,15.5,31.1,17.6,19.1,4.0,6.1,1080,2.8,1.0,525.0,43.5
Nigeria,115.0,16.0,57.1,35.3,33.2,12.2,85.2,95.2,87.2,48.9,73.9,71.3,62.3,40.0,40.0,11.3,24.0,30.0,2.8,11.8,178.7,1091.7,2.7,4.7,6108,5.8,9.0,3064.2,11.5
Norway,25.0,14.0,74.0,86.7,83.3,88.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75.0,60.0,1.2,47.8,25.0,39.1,47.7,5.2,356.2,1.6,1.7,68430,4.2,2.2,-4238.6,27.9
Oman,82.0,8.0,62.1,60.8,52.3,47.6,98.5,20.5,36.3,68.4,70.3,80.6,85.2,65.0,60.0,2.4,0.0,12.0,2.6,59.7,4.2,171.4,4.1,4.3,44628,6.3,0.2,821.8,20.6
Pakistan,141.0,32.0,52.8,36.4,34.1,30.5,78.9,87.3,30.8,61.2,37.8,74.8,67.2,55.0,40.0,8.9,30.0,33.0,11.0,19.8,190.0,931.0,4.2,3.9,5000,5.4,4.5,864.7,64.4
Panama,54.0,8.0,66.3,61.1,21.5,40.9,85.2,83.1,84.9,74.4,43.0,78.4,77.8,75.0,70.0,6.1,25.0,25.0,15.2,23.2,4.0,87.2,5.8,7.9,21765,5.2,0.1,5038.6,38.8
Papua New Guinea,152.0,37.0,50.9,37.7,54.0,32.7,67.8,64.5,16.7,59.8,67.4,69.8,85.4,25.0,30.0,2.3,42.0,30.0,23.5,32.6,7.7,20.5,9.0,8.4,2652,3.1,6.0,-27.8,40.8
Paraguay,80.0,17.0,62.4,38.2,23.3,32.6,96.2,83.0,95.1,62.4,28.5,78.3,76.6,75.0,60.0,4.2,10.0,10.0,13.5,24.4,7.0,61.0,3.0,5.0,8708,4.9,2.9,282.7,23.8
Peru,43.0,7.0,68.9,58.3,28.2,38.8,80.3,85.1,98.4,69.4,62.8,83.3,87.1,75.0,60.0,1.4,30.0,28.0,16.8,22.6,31.9,389.1,3.3,4.8,12195,3.5,3.5,6861.2,23.1
Philippines,58.0,14.0,65.6,49.2,37.1,38.7,78.9,89.4,97.2,62.6,57.2,80.6,76.4,60.0,60.0,4.3,32.0,30.0,13.6,19.4,101.4,741.0,5.8,5.9,7254,6.7,1.4,5234.0,37.1
Poland,45.0,21.0,68.3,60.8,58.0,55.5,76.0,46.9,76.1,67.8,61.5,84.7,87.0,75.0,70.0,1.5,32.0,19.0,31.9,41.6,38.0,1005.4,3.6,3.0,26455,7.4,-0.9,7489.4,51.3
Portugal,77.0,33.0,62.6,73.3,68.9,59.0,59.8,25.1,32.1,86.4,43.4,85.9,87.0,70.0,60.0,1.5,48.0,21.0,34.4,48.2,10.4,289.8,1.5,-0.9,27835,12.1,0.5,6030.6,128.8
Qatar,29.0,2.0,73.1,74.8,63.0,59.0,99.6,71.2,97.4,68.1,65.4,80.6,83.1,55.0,60.0,3.4,0.0,0.0,6.3,33.1,2.4,319.8,3.3,6.0,132099,0.2,1.7,1070.9,35.8
Romania,39.0,20.0,69.7,63.9,58.5,45.9,87.4,65.3,90.9,65.9,62.5,83.6,87.0,75.0,50.0,1.5,16.0,16.0,27.4,34.3,19.8,413.8,3.7,2.4,20787,6.9,-0.6,3388.9,39.4
Russia,114.0,42.0,57.1,47.6,44.5,38.2,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30.0,30.0,4.9,13.0,20.0,35.3,36.4,143.7,3717.6,-3.7,1.2,25411,5.8,15.5,9824.9,17.7
Rwanda,51.0,3.0,67.6,64.4,68.8,45.9,79.8,77.3,83.3,59.0,81.8,80.0,70.3,60.0,40.0,7.4,30.0,30.0,14.9,27.2,11.4,20.4,6.9,7.0,1807,2.4,2.5,471.2,34.6
Saint. Lucia,62.0,11.0,65.0,65.5,68.8,39.6,76.4,71.6,53.8,77.2,68.7,82.3,71.6,65.0,40.0,9.2,30.0,30.0,23.7,31.8,0.2,2.0,1.6,0.4,11739,20.1,-0.7,95.0,83.0
Saint. Vincent and the Grenadines,59.0,9.0,65.2,37.3,68.8,47.6,72.8,71.7,66.7,80.3,74.5,82.9,65.2,75.0,40.0,12.4,32.5,32.5,23.9,28.7,0.1,1.2,1.6,1.0,10956,20.0,-1.7,120.7,73.6
Samoa,108.0,22.0,58.4,51.3,22.6,37.1,80.4,51.9,66.6,77.0,73.3,84.5,70.7,55.0,30.0,9.7,27.0,27.0,22.4,39.2,0.2,1.0,1.7,1.4,5174,5.8,0.9,15.6,55.5
São Tomé and Príncipe,124.0,24.0,55.4,37.7,15.9,39.7,87.8,67.9,67.1,65.0,47.2,69.6,71.8,65.0,30.0,9.1,20.0,25.0,14.1,35.2,0.2,0.7,4.0,4.4,3244,14.0,5.3,28.5,82.5
Saudi Arabia,64.0,7.0,64.4,62.0,65.0,45.9,99.7,54.5,65.7,73.8,68.5,70.1,78.2,40.0,50.0,3.4,2.5,2.5,4.6,40.9,31.4,1683.0,3.4,5.0,53624,5.8,2.2,8141.0,5.8
Senegal,120.0,21.0,55.9,44.0,39.3,42.1,70.9,74.3,51.8,50.8,38.9,86.0,73.1,60.0,40.0,8.5,40.0,30.0,20.2,29.9,15.0,36.7,6.5,4.2,2451,9.3,0.1,345.2,56.8
Serbia,99.0,39.0,58.9,50.3,40.2,38.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70.0,50.0,6.1,15.0,15.0,35.0,44.7,7.2,97.5,0.7,0.4,13671,19.0,1.4,2346.6,77.4
Sierra Leone,145.0,32.0,52.6,37.4,27.0,18.9,81.3,90.2,76.2,49.6,29.7,71.1,69.4,60.0,20.0,10.3,30.0,30.0,8.3,20.3,6.3,10.0,-21.5,5.0,1577,3.4,9.0,518.7,46.1
Singapore,2.0,2.0,88.6,97.1,91.5,87.9,90.5,90.1,80.7,95.1,90.8,84.3,90.0,85.0,80.0,0.0,22.0,17.0,13.4,20.3,5.5,471.9,2.0,4.0,85253,3.3,-0.5,65262.4,98.2
Slovak Republic,57.0,28.0,65.7,69.0,38.0,39.6,79.7,47.2,82.9,64.9,54.4,81.1,87.0,75.0,70.0,1.5,25.0,21.0,31.0,43.2,5.4,161.0,3.6,2.4,29720,11.3,-0.3,802.5,52.6
Slovenia,97.0,38.0,59.2,75.0,55.1,53.6,58.7,28.6,6.1,80.6,60.2,85.3,87.0,70.0,50.0,1.5,50.0,17.0,36.6,44.1,2.1,64.0,2.9,0.6,31007,9.3,-0.5,993.3,83.3
Solomon Islands,126.0,27.0,55.0,39.3,41.9,33.9,62.8,34.4,99.8,68.5,70.5,81.0,83.0,15.0,30.0,8.5,40.0,30.0,35.0,46.4,0.6,1.1,3.3,5.2,1950,34.8,-0.4,21.1,10.4
South Africa,81.0,6.0,62.3,67.6,59.7,47.6,70.2,68.4,70.0,62.0,58.9,75.8,77.3,40.0,50.0,3.9,41.0,28.0,22.6,33.7,54.9,723.5,1.3,2.1,13165,25.1,4.6,1772.4,50.1
Spain,69.0,31.0,63.6,71.2,53.9,57.2,62.5,41.4,26.9,66.9,55.3,85.5,87.0,85.0,70.0,1.5,45.0,25.0,33.2,43.0,46.4,1615.1,3.2,-0.1,34820,21.9,-0.5,9243.0,99.0
Sri Lanka,112.0,25.0,57.4,48.0,48.3,30.0,85.3,90.2,31.2,72.8,57.5,76.0,74.5,35.0,40.0,5.3,24.0,28.0,10.7,18.3,21.1,223.0,5.2,6.1,10566,4.7,0.9,681.2,74.4
Sudan,164.0,40.0,48.8,31.1,19.8,18.9,86.5,95.1,85.5,53.9,49.7,59.3,50.5,15.0,20.0,14.7,10.0,35.0,5.2,12.5,38.4,167.0,3.5,1.2,4344,13.6,16.9,1736.8,68.9
Suriname,167.0,29.0,48.0,45.1,15.4,31.7,70.1,69.6,16.2,48.6,76.1,75.1,68.4,30.0,30.0,10.8,38.0,36.0,15.7,29.7,0.6,9.1,0.1,2.6,16292,7.8,6.9,276.4,43.3
Swaziland,88.0,8.0,61.1,53.5,33.3,30.9,74.8,71.6,93.2,57.5,64.4,75.6,88.9,50.0,40.0,0.6,33.0,27.5,26.0,33.1,1.1,10.8,1.7,2.3,8453,25.6,5.0,-120.9,17.4
Sweden,19.0,10.0,74.9,88.6,82.2,87.4,44.4,21.7,93.4,90.8,53.2,85.3,87.0,85.0,80.0,1.5,57.0,22.0,42.7,49.3,9.8,473.4,4.1,2.0,47922,7.4,0.7,12579.4,44.1
Switzerland,4.0,1.0,81.5,86.9,77.6,80.3,70.9,67.5,95.8,76.8,72.2,84.4,90.0,85.0,90.0,0.0,11.5,8.5,27.1,33.0,8.2,482.3,0.9,1.5,58552,4.3,-1.1,68838.0,45.6
Taiwan ,11.0,5.0,76.5,86.5,67.7,70.5,75.3,89.5,83.7,93.4,55.0,85.2,86.2,65.0,60.0,1.9,45.0,17.0,12.3,18.3,23.5,1099.0,0.7,2.5,46783,3.8,-0.3,2415.0,38.3
Tajikistan,109.0,23.0,58.2,45.5,45.6,32.7,90.9,74.1,95.8,65.6,49.2,69.8,73.9,25.0,30.0,5.6,13.0,15.0,22.8,32.0,8.5,23.3,3.0,6.4,2749,10.9,5.8,226.8,35.9
Tanzania,105.0,14.0,58.6,33.8,28.8,29.2,80.3,89.5,76.6,50.1,64.3,69.6,76.0,55.0,50.0,7.0,30.0,30.0,13.2,18.8,49.1,138.5,7.0,6.8,2904,3.2,5.6,1531.5,40.5
Thailand,55.0,13.0,66.2,51.3,41.7,40.7,81.0,85.3,96.3,69.9,62.8,72.9,82.8,50.0,60.0,3.6,35.0,20.0,16.5,22.3,68.8,1108.1,2.8,2.9,16097,1.1,-0.9,10844.6,43.1
Togo,138.0,29.0,53.2,33.8,39.9,36.8,68.2,79.8,45.1,50.3,46.2,77.5,71.3,60.0,30.0,9.4,45.0,27.0,20.7,27.4,7.2,10.8,5.3,5.4,1483,7.7,1.8,52.7,61.9
Tonga,73.0,17.0,63.0,65.5,19.8,47.6,86.9,74.4,79.6,76.1,86.0,80.6,79.7,40.0,20.0,5.2,20.0,25.0,17.0,32.9,0.1,0.5,2.6,0.9,5045,5.2,-0.1,12.6,49.0
Trinidad and Tobago,87.0,18.0,61.2,54.7,48.7,36.8,81.4,57.7,51.8,67.7,71.4,75.9,78.6,60.0,50.0,5.7,25.0,25.0,24.7,39.8,1.4,44.3,-1.8,0.1,32636,3.8,4.7,1618.6,51.1
Tunisia,123.0,10.0,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35.0,30.0,13.1,35.0,30.0,22.5,27.7,11.1,127.0,0.8,1.5,11428,14.8,4.9,1001.7,54.5
Turkey,60.0,29.0,65.2,61.3,52.5,40.7,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75.0,60.0,2.8,35.0,20.0,28.7,37.0,77.7,1588.8,3.8,4.4,20438,10.3,7.7,16508.0,32.6
Turkmenistan,170.0,41.0,47.4,32.4,5.0,29.6,95.3,92.3,98.9,30.0,20.0,74.8,80.0,0.0,10.0,0.0,10.0,8.0,17.4,16.2,5.9,88.6,6.5,10.6,16445,10.0,5.5,4258.8,23.3
Uganda,91.0,9.0,60.9,39.3,34.6,28.7,73.7,91.0,78.1,42.4,84.6,80.3,78.3,60.0,40.0,5.9,40.0,30.0,11.4,18.0,39.2,79.9,5.0,4.7,2003,3.6,5.8,1057.3,35.4
Ukraine,166.0,44.0,48.1,41.4,22.6,29.2,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25.0,30.0,2.1,20.0,18.0,37.6,43.2,42.7,339.5,-9.9,-2.1,7971,9.9,48.7,2961.0,80.2
United Arab Emirates,8.0,1.0,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40.0,60.0,3.2,0.0,0.0,19.0,35.9,9.6,647.8,3.9,5.0,67617,3.7,4.1,10975.8,19.4
United Kingdom,12.0,4.0,76.4,93.8,93.0,78.3,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90.0,80.0,1.5,45.0,20.0,32.6,43.2,64.9,2679.3,2.2,2.1,41159,5.5,0.1,39532.8,89.3
United States,17.0,3.0,75.1,81.3,75.1,78.1,65.3,55.9,53.3,84.4,91.0,80.1,87.1,80.0,70.0,1.4,39.6,35.0,26.0,37.8,321.2,17947.0,2.4,2.0,55805,5.3,0.1,379894.0,105.8
Uruguay,38.0,5.0,69.7,70.2,66.8,70.3,77.5,69.4,77.2,74.8,62.9,71.3,80.6,85.0,30.0,4.7,30.0,25.0,26.9,31.8,3.4,73.5,1.5,3.7,21507,7.3,8.7,1647.2,61.8
Uzbekistan,148.0,36.0,52.3,48.0,41.9,27.5,90.7,66.2,99.8,64.8,50.4,61.1,66.8,0.0,10.0,6.6,22.0,7.5,19.7,34.4,31.0,187.9,8.0,8.1,6068,10.1,8.5,1068.4,10.7
Vanuatu,52.0,12.0,67.4,65.5,33.0,70.5,97.0,80.4,99.1,51.4,58.1,74.8,73.9,65.0,40.0,5.5,0.0,0.0,17.2,32.9,0.3,0.7,-0.8,1.3,2550,4.3,3.3,29.1,20.5
Venezuela,179.0,32.0,27.0,6.8,10.3,11.6,72.5,51.5,15.2,39.7,28.5,16.8,60.7,0.0,10.0,9.7,34.0,34.0,20.9,41.0,30.9,515.7,-5.7,0.3,16673,8.0,121.7,1591.0,48.8
Vietnam,147.0,35.0,52.4,49.7,32.0,24.6,79.6,74.6,21.1,61.2,62.2,76.0,83.1,25.0,40.0,3.4,35.0,22.0,18.2,28.7,91.6,552.3,6.7,5.9,6024,2.1,0.6,11800.0,59.3
Zambia,122.0,23.0,55.8,49.6,39.8,35.0,73.1,81.6,21.6,66.6,48.2,70.7,78.3,55.0,50.0,3.4,35.0,35.0,15.5,25.6,15.5,62.7,3.6,5.4,3868,10.7,10.1,1653.0,52.9
Zimbabwe,175.0,45.0,44.0,27.3,26.1,14.7,61.1,75.2,90.6,36.2,33.1,76.5,52.8,25.0,10.0,13.6,51.5,25.0,24.8,28.5,13.4,28.1,1.5,6.5,2096,9.3,-2.4,421.0,53.0
Brunei Darussalam,35.0,9.0,69.8,62.5,39.9,40.9,85.6,61.2,100.0,76.6,90.4,76.1,89.1,65.0,50.0,0.5,0.0,18.5,33.1,40.4,0.4,33.2,-0.2,0.0,79587,1.9,-0.4,173.2,3.1
