County,Year,Total population,Children in foster care,Children ages 0 to 17 living with grandparents,Children ages 0 to 17 living in single parent families,Average ACT composite scores,Average daily membership of public schools,Children ages 3 to 21 enrolled in special education in public schools,Average expenditures per student in public schools,Black or African American,Asian and Native Hawaiian and other Pacific Islander,White,American Indian and Alaska Native,Hispanic Origin of Any Race,Children in foster care (percent),Children ages 0 to 17 living with grandparents (percent),Children ages 0 to 17 living in single parent families (percent),Four-year high school cohort graduation rate (percent),Children ages 3 to 21 enrolled in special education in public schools (percent),Black or African American (percent),Asian and Native Hawaiian and other Pacific Islander (percent),White (percent),American Indian and Alaska Native (percent),Hispanic Origin of Any Race (percent),College English (percent),All Four Subject Areas (percent),College Science (percent),College Math (percent),College Reading (percent),TAXVAL (per pupil),GFLEVY (per pupil),Tuition (per pupil),Misc (per pupil),SpReserve (per pupil),Building (per pupil),Sinking (per pupil),TotalLevy (per pupil),LOCREV (per pupil),CNTYREV (per pupil),STREV (per pupil),FEDREV (per pupil),OTHREV (per pupil),TOTREV (per pupil),Salaries and Benefits for Instructors (per pupil),Salaries and Benefits for Instructional Support Staff (per pupil),OTHINS (per pupil),School Admin (per pupil),General Admin (per pupil),OMOP (per pupil),STTRANS (per pupil),Capital Projects (per pupil),EXTRC (per pupil),AOEXP (per pupil),Total Expenditures (per pupil),Ending Balance (per pupil),DENPK,DENK,DEN16,DEN78,DEN912,DENK12,Total Students Enrolled,ADMPK,ADMK,ADM16,ADM78,ADM912,ADMPK12,TAXVAL,GFLEVY,Tuition,Misc,SpReserve,Building,Sinking,TotalLevy,LOCREV,CNTYREV,STREV,FEDREV,OTHREV,TOTREV,Salaries and Benefits for Instructors,Salaries and Benefits for Instructional Support Staff,OTHINS,School Admin,General Admin,OMOP,STTRANS,Capital Projects,EXTRC,AOEXP,Total Expenditures,Ending Balance,Students Enrolled / Population
Oliver,1999,2158.0,,,,20.8,340.15,39,4724.13,,,,,,,,,,0.1215,,,,,,0.59091,0.13635999999999998,0.18182,0.31818,0.45455,10325.028040000001,0.518193146,0.0,0.0,0.0,0.0,0.0,0.518193146,1803.9657320000001,1000.302181,2707.252336,216.5202492,99.7165109,5827.757009,2899.82866,130.0124611,409.3800623,427.1931464,433.7383178,705.8099687999999,313.788162,0.0,111.42679129999999,442.3956386,5873.573209,897.105919,1.0,13.0,119.0,62.0,126.0,320.0,321.0,0.0,13.97,133.27,67.47,125.44,340.15,3314334.0,166.34,0.0,0.0,0.0,0.0,0.0,166.34,579073.0,321097.0,869028.0,69503.0,32009.0,1870710.0,930845.0,41734.0,131411.0,137129.0,139230.0,226565.0,100726.0,0.0,35768.0,142009.0,1885417.0,287971.0,0.001114696
Oliver,2000,2065.0,4,9.0,78.0,22.0,346.34,39,4559.21,1.0,2.0,584.0,6.0,9.0,0.0067,0.0159,0.1378,,0.1383,0.0016699999999999998,0.0033299999999999996,0.9733299999999999,0.01,0.015,0.71875,0.28125,0.40625,0.4375,0.59375,12104.55674,0.590602837,0.0,0.0,0.0,0.0,0.0,0.590602837,2003.647518,1335.701064,3088.068936,370.84578010000007,103.9387943,6902.202092,3238.122234,315.08124110000006,472.93322699999993,270.7710284,585.4612766,717.0572695000001,396.5984043,0.0,212.8159929,476.0960638,6684.936738,1238.439149,0.0,5.0,103.0,48.0,126.0,282.0,282.0,0.0,12.09,132.72,68.14,133.39,346.34,3413485.0,166.55,0.0,0.0,0.0,0.0,0.0,166.55,565028.6,376667.7,870835.44,104578.51,29310.74,1946420.99,913150.47,88852.91,133367.17,76357.43,165100.08,202210.15,111840.75,0.0,60014.11,134259.09,1885152.16,349239.84,0.000807468
Oliver,2001,1967.0,8,,,20.3,279.92,37,5803.62,1.0,2.0,550.0,7.0,9.0,0.0133,,,,0.13699999999999998,0.00179,0.0035700000000000003,0.98214,0.0125,0.016069999999999997,0.75,0.2,0.3,0.25,0.5,12930.485190000001,0.615518519,0.0,0.0,0.0,0.0,0.0,0.615518519,2242.15063,1389.1061849999999,3267.486556,426.69925930000005,92.59259259,7418.0352219999995,3506.1268149999996,129.3263333,489.342037,454.3065185,606.7204074,831.0316296,476.9883333000001,0.0,207.201,506.71685189999994,7207.759926000001,1503.756185,0.0,19.0,93.0,41.0,117.0,270.0,270.0,0.0,5.0,104.35,48.71,121.86,279.92,3491231.0,166.19,0.0,0.0,0.0,0.0,0.0,166.19,605380.67,375058.67,882221.37,115208.8,25000.0,2002869.51,946654.24,34918.11,132122.35,122662.76,163814.51,224378.54,128786.85,0.0,55944.27,136813.55,1946095.18,406014.17,0.000665001
Oliver,2002,1921.0,4,,,20.1,267.17,34,6341.69,1.0,2.0,514.0,9.0,8.0,0.0073,,,,0.1371,0.0019,0.0038,0.97719,0.01711,0.01521,0.68,0.12,0.16,0.2,0.48,14976.20161,0.685483871,0.0,0.0,0.0,0.0,0.0,0.685483871,2380.0792739999997,1600.462581,3420.238226,494.22625,100.80645159999999,7995.812781999999,3931.1925,57.40915323,570.6756855000001,525.0852823,643.1710887,1104.3537900000001,417.847621,0.0,237.94459680000003,718.421371,8206.101089,1449.056895,0.0,9.0,81.0,44.0,114.0,248.0,248.0,0.0,16.0,94.86,40.28,116.03,267.17,3714098.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,590259.66,396914.72,848219.08,122568.11,25000.0,1982961.57,974935.74,14237.47,141527.57,130221.15,159506.43,273879.74,103626.21,0.0,59010.26,178168.5,2035113.07,359366.11,0.000690104
Oliver,2003,1871.0,5,,,20.1,244.26,40,6924.5,1.0,2.0,468.0,7.0,8.0,0.0097,,,,0.16,0.00209,0.00418,0.97908,0.01464,0.01674,0.68,0.12,0.24,0.16,0.56,14815.632,0.68,0.0,0.0,0.0,0.0,0.0,0.68,2654.6678,1602.43184,3549.44936,449.76752,196.2,8452.516520000001,4030.402,56.790119999999995,609.8722,550.3426400000001,639.06232,879.0486400000001,689.05844,0.0,242.36536,468.48627999999997,8165.428000000001,1724.5529600000002,0.0,12.0,77.0,46.0,115.0,250.0,250.0,0.0,7.0,80.96,44.0,112.3,244.26,3703908.0,170.0,0.0,0.0,0.0,0.0,0.0,170.0,663666.95,400607.96,887362.34,112441.88,49050.0,2113129.13,1007600.5,14197.53,152468.05,137585.66,159765.58,219762.16,172264.61,0.0,60591.34,117121.57,2041357.0,431138.24,0.00057986
Oliver,2004,1830.0,4,,,21.0,249.63,42,6891.46,2.0,3.0,444.0,7.0,8.0,0.0083,,,,0.1489,0.00439,0.00658,0.9736799999999999,0.01535,0.01754,0.68,0.16,0.32,0.4,0.6,13231.04255,0.6028368789999999,0.0,0.0,0.0,0.017730496000000002,0.0,0.620567376,3245.305142,1705.025213,3676.0837939999997,508.4262411,524.1147162999999,9658.955106,4446.484894,112.0594326,563.4409929,541.778156,1007.132199,959.0046454,577.2283687999999,0.0,247.6323404,852.6982979000001,9307.459326,2345.705887,1.0,17.0,106.0,44.0,114.0,281.0,282.0,0.0,14.0,109.41,56.74,113.71,293.86,3731154.0,170.0,0.0,0.0,0.0,5.0,0.0,175.0,915176.05,480817.11,1036655.63,143376.2,147800.35,2723825.34,1253908.74,31600.76,158890.36,152781.44,284011.28,270439.31,162778.4,0.0,69832.32,240460.92,2624703.53,661489.06,0.00042631099999999996
Oliver,2005,1789.0,2,,,21.1,279.73,43,7744.78,2.0,4.0,422.0,7.0,9.0,0.0045,,,,0.1623,0.0046,0.0092,0.97011,0.01609,0.02069,0.7391300000000001,0.08696,0.34783000000000003,0.34783000000000003,0.69565,18028.05283,0.659886792,0.0,0.0,0.0,0.018867925,0.0,0.678754717,3227.5416600000003,1484.722151,3840.108226,599.541283,150.9433962,9302.856717,5066.713585,55.90407547,573.5115093999999,704.0088678999999,723.9720755,1051.159547,770.1580755,0.0,274.8373208,542.7305660000001,9762.995623,460.1389057,0.0,15.0,100.0,42.0,108.0,265.0,265.0,0.0,16.58,106.3,44.4,112.45,279.73,4777434.0,174.87,0.0,0.0,0.0,5.0,0.0,179.87,855298.54,393451.37,1017628.68,158878.44,40000.0,2465257.03,1342679.1,14814.58,151980.55,186562.35,191852.6,278557.28,204091.89,0.0,72831.89,143823.6,2587193.84,121936.81,0.002173257
Oliver,2006,1725.0,0,,,19.9,271.98,37,7646.29,2.0,5.0,389.0,8.0,8.0,0.0,,,,0.1451,0.00495,0.01238,0.9628700000000001,0.0198,0.0198,0.5,0.2,0.25,0.35,0.4,19890.30196,0.6861960779999999,0.0,0.019607843,0.0,0.019607843,0.0,0.725411765,3413.694118,1552.0067060000001,4277.2424710000005,485.2622745,156.86274509999998,9885.070195999999,5041.762275,118.03082350000001,547.0414902000001,762.3477647000001,693.0530587999999,993.2081961000001,731.5918431,0.0,298.4480392,513.5616077999999,9699.045098,2226.653216,0.0,20.0,97.0,37.0,101.0,255.0,255.0,0.0,13.37,107.49,42.91,108.21,271.98,5072027.0,174.98,0.0,5.0,0.0,5.0,0.0,184.98,870492.0,395761.71,1090696.83,123741.88,40000.0,2520692.9,1285649.38,30097.86,139495.58,194398.68,176728.53,253268.09,186555.92,0.0,76104.25,130958.21,2473256.5,567796.57,0.000449105
Oliver,2007,1705.0,0,,,21.4,249.75,26,9316.21,2.0,6.0,370.0,8.0,8.0,0.0,,,,0.1097,0.00518,0.01554,0.95855,0.020730000000000002,0.020730000000000002,0.57895,0.21053000000000002,0.31579,0.36841999999999997,0.68421,24590.18565,0.780590717,0.0,0.02164557,0.0,0.02164557,0.0,0.823881857,4350.157468,1690.662532,4735.140042,457.5156118,148.5817722,11382.057429999999,5369.918903,122.36966240000001,1155.1648519999999,841.0224895,838.3149789,1490.609747,621.4839241000001,0.0,328.1108017,217.53067510000002,10984.526029999999,2793.2975109999998,0.0,19.0,96.0,31.0,91.0,237.0,237.0,1.25,17.34,96.21,38.07,96.88,249.75,5827874.0,185.0,0.0,5.13,0.0,5.13,0.0,195.26,1030987.32,400687.02,1122228.19,108431.2,35213.88,2697547.61,1272670.78,29001.61,273774.07,199322.33,198680.65,353274.51,147291.69,0.0,77762.26,51554.77,2603332.67,662011.51,0.00035800000000000003
Oliver,2008,1668.0,0,,,19.6,223.67,24,11163.77,2.0,7.0,360.0,8.0,8.0,0.0,,,,0.11429,0.0053100000000000005,0.01857,0.95491,0.02122,0.02122,0.5625,0.0625,0.125,0.3125,0.375,26773.5381,0.809714286,0.0,0.023809524,0.0,0.023809524,0.0,0.8573333329999999,5484.354238,2071.433286,5579.92681,527.3684762,166.66666669999998,13829.74948,6350.514,152.952381,1443.95919,957.8374286000001,933.6098571,2051.602857,1040.046333,0.0,387.4687619,251.3591429,13569.34995,3412.835286,2.0,14.0,82.0,34.0,78.0,208.0,210.0,0.0,10.36,94.62,30.57,88.12,223.67,5622443.0,170.04,0.0,5.0,0.0,5.0,0.0,180.04,1151714.39,435000.99,1171784.63,110747.38,35000.0,2904247.39,1333607.94,32120.0,303231.43,201145.86,196058.07,430836.6,218409.73,0.0,81368.44,52785.42,2849563.49,716695.41,0.000293012
Oliver,2009,1643.0,2,12.0,35.0,20.6,211.72,24,11891.26,0.0,8.0,362.0,8.0,5.0,0.00602,0.03499,0.10203999999999999,,0.1212,0.0,0.021159999999999998,0.95767,0.021159999999999998,0.01323,0.54545,0.27273000000000003,0.31818,0.31818,0.59091,37310.4899,0.555151515,0.0,0.025252525,0.0,0.025252525,0.0,0.6056565660000001,6246.376566,2157.250404,5806.28899,558.4710606000001,176.7676768,14945.1547,6562.228535,178.8557071,1725.3393429999999,1054.8396460000001,1268.147172,1925.826566,909.4785858999999,0.0,453.44015149999996,334.2996465,14412.45535,4152.373131,2.0,12.0,89.0,26.0,69.0,196.0,198.0,0.0,14.32,83.83,34.7,78.87,211.72,7387477.0,109.92,0.0,5.0,0.0,5.0,0.0,119.92,1236782.56,427135.58,1149645.22,110577.27,35000.0,2959140.63,1299321.25,35413.43,341617.19,208858.25,251093.14,381313.66,180076.76,0.0,89781.15,66191.33,2853666.16,822169.88,0.00024082599999999997
Oliver,2010,1846.0,2,7.0,74.0,21.470589999999998,194.97,23,13765.06,1.0,3.0,415.0,10.0,9.0,0.0052899999999999996,0.01707,0.18049,0.91304,0.1173,0.00233,0.0069900000000000006,0.9673700000000001,0.02331,0.020980000000000002,0.7058800000000001,0.23529,0.29412,0.35294000000000003,0.58824,38342.214289999996,0.561173469,0.0,0.025510203999999998,0.0,0.025510203999999998,0.0,0.612193878,5304.330663000001,1546.830561,7739.908826999999,1784.909235,178.5714286,16554.55071,6798.254387999999,175.5703061,1086.183061,1100.737449,2150.55699,2381.425561,1164.771378,0.0,541.6236223999999,872.3833162999999,16271.50607,4477.788929,0.0,17.0,87.0,26.0,66.0,196.0,196.0,0.0,12.33,89.03,26.76,66.85,194.97,7515074.0,109.99,0.0,5.0,0.0,5.0,0.0,119.99,1039648.81,303178.79,1517022.13,349842.21,35000.0,3244691.94,1332457.86,34411.78,212891.88,215744.54,421509.17,466759.41,228295.19,0.0,106158.23,170987.13,3189215.19,877646.63,0.000223325
Oliver,2011,1847.0,LNE,13.0,40.0,21.33333,196.75,21,11979.64,5.0,2.0,416.0,17.0,7.0,,0.0311,0.09569,1.0,0.1,0.011359999999999999,0.00455,0.94545,0.03864,0.01591,0.73333,0.2,0.26666999999999996,0.33333,0.53333,36308.87143,0.523809524,0.0,0.023809524,0.0,0.023809524,0.0,0.571428571,4550.3882380000005,1231.542952,5266.234381,762.3237142999999,264.4790476,12074.96833,6610.959524,172.7650952,810.7332381,930.0992857000001,1222.266714,1476.957095,856.7061904999999,0.0,611.2919999999999,972.7773810000001,13664.556519999998,3126.22719,0.0,19.0,89.0,37.0,65.0,210.0,210.0,0.0,17.17,87.69,28.35,63.54,196.75,7624863.0,110.0,0.0,5.0,0.0,5.0,0.0,120.0,955581.53,258624.02,1105909.22,160087.98,55540.6,2535743.35,1388301.5,36280.67,170253.98,195320.85,256676.01,310160.99,179908.3,0.0,128371.32,204283.25,2869556.87,656507.71,0.000319874
Oliver,2012,1846.0,LNE,15.0,31.0,19.7,207.34,28,11705.369059999999,4.0,1.0,420.0,15.0,15.0,,0.03282,0.06783,0.875,0.14,0.00909,0.00227,0.95455,0.034089999999999995,0.034089999999999995,0.5625,0.125,0.125,0.3125,0.375,44171.635,0.4747,0.0,0.0216,0.0,0.0216,0.0,0.5179,4768.5231,1679.97015,8258.95415,499.7743,423.06905,15630.29075,6797.1416,149.44795,1019.8295,952.31725,1318.5961,1897.6237,1503.70405,0.0,666.58515,1166.2309,15471.4762,6250.84305,0.0,19.0,94.0,27.0,60.0,200.0,200.0,0.0,19.0,90.29,36.39,61.66,207.34,8834327.0,94.94,0.0,4.32,0.0,4.32,0.0,103.58,953704.62,335994.03,1651790.83,99954.86,84613.81,3126058.15,1359428.32,29889.59,203965.9,190463.45,263719.22,379524.74,300740.81,0.0,133317.03,233246.18,3094295.24,1250168.61,0.000159978
Oliver,2013,1886.0,0,3.0,13.0,,204.54,39,12065.722890000001,5.0,1.0,419.0,18.0,19.0,0.0,0.006959999999999999,0.030160000000000003,0.88235,0.1711,0.011290000000000001,0.0022600000000000003,0.9458200000000001,0.04063,0.04289,,,,,,41908.2807,0.261798246,0.0,0.0,0.0,0.018508772,0.0,0.280307018,4209.437193,1506.399518,7504.419254,448.3220614,193.0937719,13861.6718,6091.7607020000005,106.1805263,713.0884649000001,891.7328947000001,1762.6242539999998,1258.836667,1152.649825,32.62947368,570.4411404,1190.4314470000002,13770.375390000001,5574.492061,1.0,22.0,110.0,21.0,74.0,227.0,228.0,0.0,19.99,96.47,27.4,60.68,204.54,9555088.0,59.69,0.0,0.0,0.0,4.22,0.0,63.91,959751.68,343459.09,1711007.59,102217.43,44025.38,3160461.17,1388921.44,24209.16,162584.17,203315.1,401878.33,287014.76,262804.16,7439.52,130060.58,271418.37,3139645.59,1270984.19,0.000179389
Oliver,2014,1866.0,0,3.0,19.0,,222.64,35,11499.070740000001,4.0,2.0,417.0,20.0,19.0,0.0,0.0070799999999999995,0.04481,0.9333299999999999,0.1683,0.00903,0.00451,0.9413100000000001,0.04515,0.04289,,,,,,51513.067310000006,0.259278846,0.0,0.0,0.0,0.018076923,0.0,0.277355769,3025.428221,1591.218413,9846.996826999999,583.7111057999999,179.924375,15227.27894,6932.773798,124.22004809999999,881.8700481000001,1018.9678849999999,1572.196154,1778.400481,1270.463654,0.0,612.7823557999999,1000.9388460000001,15192.613269999998,6145.166587,0.0,25.0,99.0,26.0,58.0,208.0,208.0,0.0,20.07,106.1,22.18,74.29,222.64,10714718.0,53.93,0.0,0.0,0.0,3.76,0.0,57.69,629289.07,330973.43,2048175.34,121411.91,37424.27,3167274.02,1442016.95,25837.77,183428.97,211945.32,327016.8,369907.3,264256.44,0.0,127458.73,208195.28,3160063.56,1278194.65,0.00016273
Oliver,2015,1863.0,0,4.0,68.0,,217.76,30,13905.467030000002,8.0,1.0,422.0,24.0,17.0,0.0,0.00988,0.1679,0.9285700000000001,0.1339,0.017580000000000002,0.0022,0.9274700000000001,0.05275,0.037360000000000004,,,,,,52082.80357,0.243214286,0.0,0.0,0.0,0.016964286000000002,0.0,0.260178571,3033.303571,1578.799107,9977.138393000001,918.5892857000001,0.580357143,15508.41071,6804.004464,120.8705357,750.8392857000001,1268.723214,1363.870536,3209.794643,790.2723214,0.0,599.0089286,1133.955357,16041.33929,5173.299107,0.0,22.0,110.0,32.0,60.0,224.0,224.0,0.0,25.74,103.19,26.88,61.95,217.76,11666548.0,54.48,0.0,0.0,0.0,3.8,0.0,58.28,679460.0,353651.0,2234879.0,205764.0,130.0,3473884.0,1524097.0,27075.0,168188.0,284194.0,305507.0,718994.0,177021.0,0.0,134178.0,254006.0,3593260.0,1158819.0,0.0001933
Oliver,2016,1898.0,0,9.0,71.0,,219.88,26,12586.25778,8.0,1.0,442.0,25.0,14.0,0.0,0.02326,0.18345999999999998,0.85,0.115,0.01681,0.0021,0.9285700000000001,0.052520000000000004,0.029410000000000002,,,,,,47228.70142,0.30227488199999997,0.0,0.0,0.0,0.021090047,0.0,0.32336492899999997,3241.068863,1717.62218,9965.687867,447.53767769999996,168.3474882,15540.26408,7424.645308,195.1902844,767.4403318,1477.991754,1543.806161,1706.8804739999998,1098.1108060000001,0.0,649.682891,633.9842179999999,15497.732230000001,5536.936161,1.0,11.0,117.0,31.0,51.0,210.0,211.0,0.0,21.84,109.45,30.42,58.17,219.88,9965256.0,63.78,0.0,0.0,0.0,4.45,0.0,68.23,683865.53,362418.28,2102760.14,94430.45,35521.32,3278995.72,1566600.16,41185.15,161929.91,311856.26,325743.1,360151.78,231701.38,0.0,137083.09,133770.67,3270021.5,1168293.53,0.000180605
Oliver,2017,1940.0,0,,,,210.59,24,14034.72544,13.0,1.0,458.0,30.0,13.0,0.0,,,0.9,0.1013,0.0259,0.00199,0.91235,0.05976,0.0259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
