,Estimation Statistics
r**2,0.5335622202817378
Adj. r**2,0.5137739508391443
f-stat,26.96356150949104
Est Var,226525046.67667744
MSE,15050.749040385912
SSE,37376632701.65178
SSR,42755454206.548485
SST,80132086908.20023
Obs.,173.0
DOF,165.0
