CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,
87,"Korea, North ",NorthKorea,Asia-Pacific,180,43,4.9,32.4,5.0,11.6,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0,0,n/a,n/a,n/a,n/a,n/a,"Korea, North ",24.8,$17.4 (2014 nominal),1.0 (2014),n/a,n/a,n/a,n/a,82.9,n/a,,
88,"Korea, South",SouthKorea,Asia-Pacific,23,6,74.3,77.8,59.9,67.3,73.7,68.9,97.4,90.6,57.0,84.0,79.5,65,70,5.2,35.0,22.0,24.6,32.9,"Korea, South",50.6,"$1,848.5 ",2.6,3.0,"$36,511",3.7,0.7,"5,042.0",35.9,,
89,Kuwait,Kuwait,Middle East / North Africa,61,6,65.1,55.5,56.4,41.3,97.7,40.8,99.8,61.2,61.5,73.6,78.7,55,60,3.2,0.0,15.0,0.9,53.6,Kuwait,4.1,$288.4 ,0.9,4.0,"$70,166",3.5,3.4,293.5,10.6,,
90,Kyrgyz Republic,KyrgyzRepublic,Asia-Pacific,89,19,61.1,50.9,17.2,30.3,93.7,55.2,78.9,73.7,79.8,68.5,75.3,60,50,2.3,10.0,10.0,20.8,39.1,Kyrgyz Republic,5.8,$20.1 ,3.5,4.5,"$3,363",8.2,6.5,404.5,68.8,,
91,Lao P.D.R.,Laos,Asia-Pacific,133,31,54.0,35.3,35.9,32.6,86.1,76.6,61.2,66.3,54.4,70.2,74.6,35,20,5.2,24.0,24.0,15.5,26.2,Lao P.D.R.,7.0,$37.3 ,7.0,7.7,"$5,309",1.6,5.3,"1,219.8",64.3,,
92,Latvia,Latvia,Europe,20,11,74.8,72.6,59.7,67.3,84.7,57.4,95.0,79.8,72.0,86.5,87.0,75,60,1.5,23.0,15.0,27.8,37.7,Latvia,2.0,$49.1 ,2.7,3.7,"$24,712",9.8,0.2,643.5,34.8,,
93,Lebanon,Lebanon,Middle East / North Africa,137,11,53.3,43.8,25.3,23.3,91.8,76.1,0.0,51.5,49.5,78.4,84.4,65,50,2.8,20.0,15.0,13.8,28.5,Lebanon,4.6,$83.1 ,1.0,1.8,"$18,240",7.1,-3.7,"2,341.0",139.1,,
94,Lesotho,Lesotho,Sub-Saharan Africa,134,26,53.9,51.6,50.9,39.6,55.7,0.0,92.2,52.2,57.7,76.4,80.2,50,40,2.4,35.0,25.0,50.8,59.3,Lesotho,1.9,$5.8 ,2.5,3.9,"$2,987",27.5,4.8,169.0,60.0,,
95,Liberia,Liberia,Sub-Saharan Africa,161,38,49.1,33.6,41.0,31.4,83.6,60.1,36.2,53.1,48.5,71.8,60.1,50,20,6.1,25.0,25.0,19.7,44.5,Liberia,4.3,$3.7 ,0.0,5.0,$873,4.2,7.7,512.3,40.0,,
96,Libya,Libya,Middle East / North Africa,n/a,n/a,N/A,6.8,22.6,26.7,95,0,11.4,65.0,52.5,69.2,80.0,N/A,N/A,0.0,10.0,20.0,n/a,76.7,Libya,6.3,$92.6 ,-6.4,-0.3,"$14,650",20.6,8.0,725.7,65.4,,
97,Liechtenstein,Liechtenstein,Europe,n/a,n/a,N/A,n/a,n/a,n/a,N/A,N/A,N/A,92.3,85.7,N/A,90.0,85,80,0.0,7.0,12.5,n/a,n/a,Liechtenstein,"38,000",$5.9 (2014 nominal),1.2 (2014),n/a,$15704 (2014),2.6 (2014),n/a,n/a,n/a,,
98,Lithuania,Lithuania,Europe,16,8,75.8,73.0,62.4,69.7,86.9,64.1,93.6,79.1,63.6,90.0,87.0,70,70,1.5,15.0,15.0,29.3,34.9,Lithuania,2.9,$82.4 ,1.6,3.6,"$28,359",9.5,-0.7,863.4,42.5,,
99,Luxembourg,Luxembourg,Europe,14,6,75.9,85.8,77.0,78.3,64.5,46.0,99.0,68.6,43.8,86.2,87.0,95,80,1.5,42.0,19.0,37.8,41.5,Luxembourg,0.6,$55.7 ,4.5,2.9,"$98,987",5.9,0.1,"24,595.8",21.8,,
100,Macau,Macau,Asia-Pacific,32,8,70.7,60.0,60.0,37.1,72.3,92.8,100.0,60.0,50.0,70.8,90.0,85,70,0.0,12.0,39.0,33.2,18.8,Macau,0.6,65.4,-20.3,4.2,98135,1.8,4.6,"3,907.1",0,,
101,Macedonia,Macedonia,Europe,31,18,70.7,67.0,61.4,52.0,91.9,68.9,72.6,81.5,66.7,80.8,86.1,60,60,2.0,10.0,10.0,24.6,33.1,Macedonia,2.1,$29.0 ,3.7,2.4,"$14,009",26.9,-0.2,174.2,38.6,,
102,Madagascar,Madagascar,Sub-Saharan Africa,113,15,57.4,34.8,21.4,25.0,91.0,93.2,79.8,43.3,43.8,73.3,78.0,55,50,6.0,20.0,20.0,9.9,15.5,Madagascar,24.2,$35.4 ,3.0,2.6,"$1,462",2.2,7.4,517.5,35.6,,
103,Malawi,Malawi,Sub-Saharan Africa,149,33,52.2,36.0,44.2,31.3,79.1,69.8,33.5,45.3,56.9,54.7,70.5,55,50,4.8,30.0,30.0,16.9,30.7,Malawi,18.1,$20.4 ,3.0,4.1,"$1,124",6.7,21.9,142.5,83.4,,
104,Malaysia,Malaysia,Asia-Pacific,27,7,73.8,85.3,67.3,51.8,85.3,78.7,76.5,90.8,73.1,85.3,81.2,60,50,4.4,28.0,24.0,14.8,25.2,Malaysia,30.8,$815.6 ,5.0,5.3,"$26,315",2.9,2.1,"11,121.5",57.4,,
105,Maldives,Maldives,Asia-Pacific,157,39,50.3,45.1,33.0,31.4,93.0,51.5,9.4,80.6,70.4,76.3,47.8,35,30,21.1,0.0,0.0,26.4,44.4,Maldives,0.3,$5.2 ,1.9,4.9,"$14,923",11.8,1.4,323.9,72.9,,
106,Mali,Mali,Sub-Saharan Africa,102,12,58.6,36.7,33.8,34.3,69.4,88.0,87.8,44.2,51.1,83.0,70.1,65,40,7.4,40.0,35.0,15.3,20.3,Mali,16.3,$35.8 ,6.1,3.7,"$2,199",8.5,1.4,152.9,36.3,,
107,Malta,Malta,Europe,50,26,67.7,67.7,62.9,53.6,62.8,44.9,85.1,62.5,57.2,83.5,87.0,85,60,1.5,35.0,35.0,35.6,43.3,Malta,0.4,$15.5 ,6.3,3.8,"$36,005",5.4,1.2,"9,532.0",64.0,,
108,Mauritania,Mauritania,Sub-Saharan Africa,131,25,54.4,22.5,13.8,29.2,81.2,73.2,77.1,64.4,57.4,81.9,62.3,50,40,11.4,30.0,25.0,18.9,33.4,Mauritania,3.7,$16.3 ,1.9,5.1,"$4,395",31.1,0.5,495.0,78.1,,
109,Mauritius,Mauritius,Sub-Saharan Africa,21,1,74.7,64.4,72.6,44.3,92.0,81.5,74.9,78.2,68.8,81.1,88.7,80,70,0.6,15.0,15.0,18.6,25.9,Mauritius,1.3,$24.6 ,3.4,3.5,"$19,509",7.9,1.3,208.3,58.1,,
110,Mexico,Mexico,Americas,70,14,63.6,58.1,38.7,30.0,74.9,76.7,66.8,70.7,57.9,78.8,80.0,70,60,5.0,35.0,30.0,19.7,27.6,Mexico,121.1,"$2,227.2 ",2.5,2.8,"$17,534",4.3,2.7,"30,284.6",54.0,,
111,Micronesia,Micronesia,Asia-Pacific,132,30,54.1,30.0,30.0,40.7,90.7,0.0,98.6,57.8,67.7,83.6,85.6,35,30,2.2,10.0,21.0,19.7,59.8,Micronesia,0.1,$0.3 ,-0.2,-1.2,"$2,955",n/a,-1.0,0.8,26.3,,
112,Moldova,Moldova,Europe,110,41,58.0,49.6,23.9,28.6,86.1,54.8,90.6,65.9,38.9,72.0,80.0,55,50,2.5,18.0,12.0,30.4,38.3,Moldova,3.6,$17.8 ,-1.1,3.8,"$5,006",5.0,9.6,228.5,42.0,,
113,Mongolia,Mongolia,Asia-Pacific,129,29,54.8,51.3,28.4,36.8,87.1,57.6,0.0,67.2,76.6,72.3,74.9,45,60,5.0,10.0,25.0,23.7,33.8,Mongolia,3.0,$36.1 ,2.3,10.3,"$12,147",7.1,5.9,195.1,76.5,,
114,Montenegro,Montenegro,Europe,83,35,62.0,58.0,50.4,43.4,83.1,33.1,44.3,72.0,67.4,82.5,84.7,75,50,2.6,9.0,9.0,39.1,48.0,Montenegro,0.6,$10.0 ,4.1,2.0,"$16,123",18.2,1.6,699.1,66.4,,
115,Morocco,Morocco,Middle East / North Africa,86,9,61.5,55.0,41.9,37.1,71.7,69.4,55.0,67.7,33.8,82.7,84.0,70,70,3.0,38.0,30.0,22.0,29.9,Morocco,33.5,$273.5 ,4.5,4.0,"$8,164",9.6,1.6,"3,162.3",63.7,,
116,Mozambique,Mozambique,Sub-Saharan Africa,158,37,49.9,40.6,32.4,30.9,73.2,58.2,22.7,58.8,41.0,79.9,76.7,35,50,4.2,32.0,32.0,25.1,35.4,Mozambique,27.1,$33.2 ,6.3,7.0,"$1,186",22.3,2.4,"3,710.8",74.8,,
117,Namibia,Namibia,Sub-Saharan Africa,78,5,62.5,53.8,50.6,41.3,65.2,55.6,66.4,67.6,84.4,77.2,83.5,65,40,0.8,37.0,34.0,30.9,39.6,Namibia,2.2,$25.3 ,4.5,5.3,"$11,408",25.5,3.4,"1,077.8",27.2,,
118,Nepal,Nepal,Asia-Pacific,125,26,55.1,37.3,32.0,26.7,84.9,89.5,98.4,64.6,47.6,72.2,68.1,10,30,10.9,25.0,25.0,16.1,19.9,Nepal,28.4,$70.1 ,3.4,4.2,"$2,465",3.1,7.2,51.4,28.7,,
119,Netherlands,Netherlands,Europe,15,7,75.8,87.4,69.9,85.7,53.2,37.0,83.0,80.2,70.5,85.8,87.0,90,80,1.5,52.0,25.0,36.7,44.9,Netherlands,16.9,$832.6 ,1.9,0.6,"$49,166",6.1,0.2,"72,648.8",67.6,,
120,New Zealand,NewZealand,Asia-Pacific,3,3,83.7,96.1,88.5,89.9,70.8,46.5,97.8,91.8,86.2,90.1,87.4,80,80,1.3,33.0,28.0,32.4,41.9,New Zealand,4.6,$168.2 ,3.4,2.5,"$36,172",5.9,0.3,-985.8,30.4,,
121,Nicaragua,Nicaragua,Americas,98,20,59.2,31.1,15.9,27.4,77.2,80.8,96.1,59.0,55.6,71.2,81.0,65,50,2.0,30.0,30.0,21.9,26.4,Nicaragua,6.3,$31.3 ,4.5,5.0,"$4,997",6.0,4.0,835.0,31.2,,
122,Niger,Niger,Sub-Saharan Africa,154,36,50.8,33.8,22.6,35.0,76.3,73.4,38.5,39.1,46.1,83.3,66.4,55,40,9.3,35.0,30.0,15.5,31.1,Niger,17.6,$19.1 ,4.0,6.1,"$1,080",2.8,1.0,525.0,43.5,,
123,Nigeria,Nigeria,Sub-Saharan Africa,115,16,57.1,35.3,33.2,12.2,85.2,95.2,87.2,48.9,73.9,71.3,62.3,40,40,11.3,24.0,30.0,2.8,11.8,Nigeria,178.7,"$1,091.7 ",2.7,4.7,"$6,108",5.8,9.0,"3,064.2",11.5,,
124,Norway,Norway,Europe,25,14,74.0,86.7,83.3,88.3,55.6,38.5,98.4,89.5,48.8,75.8,87.7,75,60,1.2,47.8,25.0,39.1,47.7,Norway,5.2,$356.2 ,1.6,1.7,"$68,430",4.2,2.2,"-4,238.6",27.9,,
125,Oman,Oman,Middle East / North Africa,82,8,62.1,60.8,52.3,47.6,98.5,20.5,36.3,68.4,70.3,80.6,85.2,65,60,2.4,0.0,12.0,2.6,59.7,Oman,4.2,$171.4 ,4.1,4.3,"$44,628",6.3,0.2,821.8,20.6,,
126,Pakistan,Pakistan,Asia-Pacific,141,32,52.8,36.4,34.1,30.5,78.9,87.3,30.8,61.2,37.8,74.8,67.2,55,40,8.9,30.0,33.0,11.0,19.8,Pakistan,190.0,$931.0 ,4.2,3.9,"$5,000",5.4,4.5,864.7,64.4,,
127,Panama,Panama,Americas,54,8,66.3,61.1,21.5,40.9,85.2,83.1,84.9,74.4,43.0,78.4,77.8,75,70,6.1,25.0,25.0,15.2,23.2,Panama,4.0,$87.2 ,5.8,7.9,"$21,765",5.2,0.1,"5,038.6",38.8,,
128,Papua New Guinea,PapuaNewGuinea,Asia-Pacific,152,37,50.9,37.7,54.0,32.7,67.8,64.5,16.7,59.8,67.4,69.8,85.4,25,30,2.3,42.0,30.0,23.5,32.6,Papua New Guinea,7.7,$20.5 ,9.0,8.4,"$2,652",3.1,6.0,-27.8,40.8,,
129,Paraguay,Paraguay,Americas,80,17,62.4,38.2,23.3,32.6,96.2,83.0,95.1,62.4,28.5,78.3,76.6,75,60,4.2,10.0,10.0,13.5,24.4,Paraguay,7.0,$61.0 ,3.0,5.0,"$8,708",4.9,2.9,282.7,23.8,,
130,Peru,Peru,Americas,43,7,68.9,58.3,28.2,38.8,80.3,85.1,98.4,69.4,62.8,83.3,87.1,75,60,1.4,30.0,28.0,16.8,22.6,Peru,31.9,$389.1 ,3.3,4.8,"$12,195",3.5,3.5,"6,861.2",23.1,,
131,Philippines,Philippines,Asia-Pacific,58,14,65.6,49.2,37.1,38.7,78.9,89.4,97.2,62.6,57.2,80.6,76.4,60,60,4.3,32.0,30.0,13.6,19.4,Philippines,101.4,$741.0 ,5.8,5.9,"$7,254",6.7,1.4,"5,234.0",37.1,,
132,Poland,Poland,Europe,45,21,68.3,60.8,58.0,55.5,76.0,46.9,76.1,67.8,61.5,84.7,87.0,75,70,1.5,32.0,19.0,31.9,41.6,Poland,38.0,"$1,005.4 ",3.6,3.0,"$26,455",7.4,-0.9,"7,489.4",51.3,,
133,Portugal,Portugal,Europe,77,33,62.6,73.3,68.9,59.0,59.8,25.1,32.1,86.4,43.4,85.9,87.0,70,60,1.5,48.0,21.0,34.4,48.2,Portugal,10.4,$289.8 ,1.5,-0.9,"$27,835",12.1,0.5,"6,030.6",128.8,,
134,Qatar,Qatar,Middle East / North Africa,29,2,73.1,74.8,63.0,59.0,99.6,71.2,97.4,68.1,65.4,80.6,83.1,55,60,3.4,0.0,0.0,6.3,33.1,Qatar,2.4,$319.8 ,3.3,6.0,"$132,099",0.2,1.7,"1,070.9",35.8,,
135,Romania,Romania,Europe,39,20,69.7,63.9,58.5,45.9,87.4,65.3,90.9,65.9,62.5,83.6,87.0,75,50,1.5,16.0,16.0,27.4,34.3,Romania,19.8,$413.8 ,3.7,2.4,"$20,787",6.9,-0.6,"3,388.9",39.4,,
136,Russia,Russia,Europe,114,42,57.1,47.6,44.5,38.2,81.8,61.5,93.4,74.8,50.8,57.3,75.2,30,30,4.9,13.0,20.0,35.3,36.4,Russia,143.7,"$3,717.6 ",-3.7,1.2,"$25,411",5.8,15.5,"9,824.9",17.7,,
137,Rwanda,Rwanda,Sub-Saharan Africa,51,3,67.6,64.4,68.8,45.9,79.8,77.3,83.3,59.0,81.8,80.0,70.3,60,40,7.4,30.0,30.0,14.9,27.2,Rwanda,11.4,$20.4 ,6.9,7.0,"$1,807",2.4,2.5,471.2,34.6,,
138,Saint. Lucia,SaintLucia,Americas,62,11,65.0,65.5,68.8,39.6,76.4,71.6,53.8,77.2,68.7,82.3,71.6,65,40,9.2,30.0,30.0,23.7,31.8,Saint Lucia,0.2,$2.0 ,1.6,0.4,"$11,739",20.1,-0.7,95.0,83.0,,
139,Saint. Vincent and the Grenadines,SaintVincentGrenadines,Americas,59,9,65.2,37.3,68.8,47.6,72.8,71.7,66.7,80.3,74.5,82.9,65.2,75,40,12.4,32.5,32.5,23.9,28.7,Saint Vincent and the Grenadines,0.1,$1.2 ,1.6,1.0,"$10,956",20,-1.7,120.7,73.6,,
140,Samoa,Samoa,Asia-Pacific,108,22,58.4,51.3,22.6,37.1,80.4,51.9,66.6,77.0,73.3,84.5,70.7,55,30,9.7,27.0,27.0,22.4,39.2,Samoa,0.2,$1.0 ,1.7,1.4,"$5,174",5.8,0.9,15.6,55.5,,
141,São Tomé and Príncipe,SaoTomePrincipe,Sub-Saharan Africa,124,24,55.4,37.7,15.9,39.7,87.8,67.9,67.1,65.0,47.2,69.6,71.8,65,30,9.1,20.0,25.0,14.1,35.2,São Tomé and Príncipe,0.2,$0.7 ,4.0,4.4,"$3,244",14,5.3,28.5,82.5,,
142,Saudi Arabia,SaudiArabia,Middle East / North Africa,64,7,64.4,62.0,65.0,45.9,99.7,54.5,65.7,73.8,68.5,70.1,78.2,40,50,3.4,2.5,2.5,4.6,40.9,Saudi Arabia,31.4,"$1,683.0 ",3.4,5.0,"$53,624",5.8,2.2,"8,141.0",5.8,,
143,Senegal,Senegal,Sub-Saharan Africa,120,21,55.9,44.0,39.3,42.1,70.9,74.3,51.8,50.8,38.9,86.0,73.1,60,40,8.5,40.0,30.0,20.2,29.9,Senegal,15.0,$36.7 ,6.5,4.2,"$2,451",9.3,0.1,345.2,56.8,,
144,Serbia,Serbia,Europe,99,39,58.9,50.3,40.2,38.2,83.3,40.3,46.9,62.9,65.9,80.8,77.8,70,50,6.1,15.0,15.0,35.0,44.7,Serbia,7.2,$97.5 ,0.7,0.4,"$13,671",19.0,1.4,"2,346.6",77.4,,
145,Seychelles,Seychelles,Sub-Saharan Africa,85,7,61.8,55.2,42.6,44.3,78.8,63.9,90.7,63.4,55.9,78.3,83.4,55,30,3.3,15.0,33.0,28.4,32.3,Seychelles,0.1,$2.4 ,4.4,4.9,"$26,277",n/a,4.0,194.5,68.1,,
146,Sierra Leone,SierraLeone,Sub-Saharan Africa,145,32,52.6,37.4,27.0,18.9,81.3,90.2,76.2,49.6,29.7,71.1,69.4,60,20,10.3,30.0,30.0,8.3,20.3,Sierra Leone,6.3,$10.0 ,-21.5,5.0,"$1,577",3.4,9.0,518.7,46.1,,
147,Singapore,Singapore,Asia-Pacific,2,2,88.6,97.1,91.5,87.9,90.5,90.1,80.7,95.1,90.8,84.3,90.0,85,80,0.0,22.0,17.0,13.4,20.3,Singapore,5.5,$471.9 ,2.0,4.0,"$85,253",3.3,-0.5,"65,262.4",98.2,,
148,Slovak Republic,Slovakia,Europe,57,28,65.7,69.0,38.0,39.6,79.7,47.2,82.9,64.9,54.4,81.1,87.0,75,70,1.5,25.0,21.0,31.0,43.2,Slovak Republic,5.4,$161.0 ,3.6,2.4,"$29,720",11.3,-0.3,802.5,52.6,,
149,Slovenia,Slovenia,Europe,97,38,59.2,75.0,55.1,53.6,58.7,28.6,6.1,80.6,60.2,85.3,87.0,70,50,1.5,50.0,17.0,36.6,44.1,Slovenia,2.1,$64.0 ,2.9,0.6,"$31,007",9.3,-0.5,993.3,83.3,,
150,Solomon Islands,SolomonIslands,Asia-Pacific,126,27,55.0,39.3,41.9,33.9,62.8,34.4,99.8,68.5,70.5,81.0,83.0,15,30,8.5,40.0,30.0,35.0,46.4,Solomon Islands,0.6,$1.1 ,3.3,5.2,"$1,950",34.8,-0.4,21.1,10.4,,
151,South Africa,SouthAfrica,Sub-Saharan Africa,81,6,62.3,67.6,59.7,47.6,70.2,68.4,70.0,62.0,58.9,75.8,77.3,40,50,3.9,41.0,28.0,22.6,33.7,South Africa,54.9,$723.5 ,1.3,2.1,"$13,165",25.1,4.6,"1,772.4",50.1,,
152,Spain,Spain,Europe,69,31,63.6,71.2,53.9,57.2,62.5,41.4,26.9,66.9,55.3,85.5,87.0,85,70,1.5,45.0,25.0,33.2,43.0,Spain,46.4,"$1,615.1 ",3.2,-0.1,"$34,820",21.9,-0.5,"9,243.0",99.0,,
153,Sri Lanka,SriLanka,Asia-Pacific,112,25,57.4,48.0,48.3,30.0,85.3,90.2,31.2,72.8,57.5,76.0,74.5,35,40,5.3,24.0,28.0,10.7,18.3,Sri Lanka,21.1,$223.0 ,5.2,6.1,"$10,566",4.7,0.9,681.2,74.4,,
154,Sudan,Sudan,Sub-Saharan Africa,164,40,48.8,31.1,19.8,18.9,86.5,95.1,85.5,53.9,49.7,59.3,50.5,15,20,14.7,10.0,35.0,5.2,12.5,Sudan,38.4,$167.0 ,3.5,1.2,"$4,344",13.6,16.9,"1,736.8",68.9,,
155,Suriname,Suriname,Americas,167,29,48.0,45.1,15.4,31.7,70.1,69.6,16.2,48.6,76.1,75.1,68.4,30,30,10.8,38.0,36.0,15.7,29.7,Suriname,0.6,$9.1 ,0.1,2.6,"$16,292",7.8,6.9,276.4,43.3,,
156,Swaziland,Swaziland,Sub-Saharan Africa,88,8,61.1,53.5,33.3,30.9,74.8,71.6,93.2,57.5,64.4,75.6,88.9,50,40,0.6,33.0,27.5,26.0,33.1,Swaziland,1.1,$10.8 ,1.7,2.3,"$8,453",25.6,5.0,-120.9,17.4,,
157,Sweden,Sweden,Europe,19,10,74.9,88.6,82.2,87.4,44.4,21.7,93.4,90.8,53.2,85.3,87.0,85,80,1.5,57.0,22.0,42.7,49.3,Sweden,9.8,$473.4 ,4.1,2.0,"$47,922",7.4,0.7,"12,579.4",44.1,,
158,Switzerland,Switzerland,Europe,4,1,81.5,86.9,77.6,80.3,70.9,67.5,95.8,76.8,72.2,84.4,90.0,85,90,0.0,11.5,8.5,27.1,33.0,Switzerland,8.2,$482.3 ,0.9,1.5,"$58,552",4.3,-1.1,"68,838.0",45.6,,
159,Syria,Syria,Middle East / North Africa,n/a,n/a,N/A,37.3,22.6,30.0,N/A,N/A,0.0,66.4,55.7,N/A,56.6,N/A,N/A,14.2,22.0,28.0,n/a,n/a,Syria,16.8,$68.00 ,-4.8,n/a,n/a,n/a,29.6,n/a,n/a,,
160,Taiwan ,Taiwan,Asia-Pacific,11,5,76.5,86.5,67.7,70.5,75.3,89.5,83.7,93.4,55.0,85.2,86.2,65,60,1.9,45.0,17.0,12.3,18.3,Taiwan ,23.5,"$1,099.0 ",0.7,2.5,"$46,783",3.8,-0.3,"2,415.0",38.3,,
161,Tajikistan,Tajikistan,Asia-Pacific,109,23,58.2,45.5,45.6,32.7,90.9,74.1,95.8,65.6,49.2,69.8,73.9,25,30,5.6,13.0,15.0,22.8,32.0,Tajikistan,8.5,$23.3 ,3.0,6.4,"$2,749",10.9,5.8,226.8,35.9,,
162,Tanzania,Tanzania,Sub-Saharan Africa,105,14,58.6,33.8,28.8,29.2,80.3,89.5,76.6,50.1,64.3,69.6,76.0,55,50,7.0,30.0,30.0,13.2,18.8,Tanzania,49.1,$138.5 ,7.0,6.8,"$2,904",3.2,5.6,"1,531.5",40.5,,
163,Thailand,Thailand,Asia-Pacific,55,13,66.2,51.3,41.7,40.7,81.0,85.3,96.3,69.9,62.8,72.9,82.8,50,60,3.6,35.0,20.0,16.5,22.3,Thailand,68.8,"$1,108.1 ",2.8,2.9,"$16,097",1.1,-0.9,"10,844.6",43.1,,
164,Timor-Leste,TimorLeste,Asia-Pacific,173,42,46.3,6.8,10.3,29.2,64.7,65.6,20.0,72.2,63.9,77.5,80.0,45,20,2.5,10.0,10.0,61.5,51.2,Timor-Leste,1.3,$6.6 ,4.3,5.7,"$5,629",n/a,0.6,43.0,0,,
165,Togo,Togo,Sub-Saharan Africa,138,29,53.2,33.8,39.9,36.8,68.2,79.8,45.1,50.3,46.2,77.5,71.3,60,30,9.4,45.0,27.0,20.7,27.4,Togo,7.2,$10.8 ,5.3,5.4,"$1,483",7.7,1.8,52.7,61.9,,
166,Tonga,Tonga,Asia-Pacific,73,17,63.0,65.5,19.8,47.6,86.9,74.4,79.6,76.1,86.0,80.6,79.7,40,20,5.2,20.0,25.0,17.0,32.9,Tonga,0.1,$0.5 ,2.6,0.9,"$5,045",5.2,-0.1,12.6,49,,
167,Trinidad and Tobago,TrinidadTobago,Americas,87,18,61.2,54.7,48.7,36.8,81.4,57.7,51.8,67.7,71.4,75.9,78.6,60,50,5.7,25.0,25.0,24.7,39.8,Trinidad and Tobago,1.4,$44.3 ,-1.8,0.1,"$32,636",3.8,4.7,"1,618.6",51.1,,
168,Tunisia,Tunisia,Middle East / North Africa,123,10,55.7,49.6,39.9,37.3,73.7,73.4,53.4,80.6,56.1,75.9,63.8,35,30,13.1,35.0,30.0,22.5,27.7,Tunisia,11.1,$127.0 ,0.8,1.5,"$11,428",14.8,4.9,"1,001.7",54.5,,
169,Turkey,Turkey,Europe,60,29,65.2,61.3,52.5,40.7,75.5,57.7,95.7,64.3,48.5,72.2,79.4,75,60,2.8,35.0,20.0,28.7,37.0,Turkey,77.7,"$1,588.8 ",3.8,4.4,"$20,438",10.3,7.7,"16,508.0",32.6,,
170,Turkmenistan,Turkmenistan,Asia-Pacific,170,41,47.4,32.4,5.0,29.6,95.3,92.3,98.9,30.0,20.0,74.8,80.0,0,10,0.0,10.0,8.0,17.4,16.2,Turkmenistan,5.9,$88.6 ,6.5,10.6,"$16,445",10.0,5.5,"4,258.8",23.3,,
171,Uganda,Uganda,Sub-Saharan Africa,91,9,60.9,39.3,34.6,28.7,73.7,91.0,78.1,42.4,84.6,80.3,78.3,60,40,5.9,40.0,30.0,11.4,18.0,Uganda,39.2,$79.9 ,5.0,4.7,"$2,003",3.6,5.8,"1,057.3",35.4,,
172,Ukraine,Ukraine,Europe,166,44,48.1,41.4,22.6,29.2,78.6,38.2,67.9,62.1,48.8,47.4,85.9,25,30,2.1,20.0,18.0,37.6,43.2,Ukraine,42.7,$339.5 ,-9.9,-2.1,"$7,971",9.9,48.7,"2,961.0",80.2,,
173,United Arab Emirates,UnitedArabEmirates,Middle East / North Africa,8,1,76.9,76.7,85.0,74.2,96.4,67.4,99.2,81.1,80.9,78.4,83.5,40,60,3.2,0.0,0.0,19.0,35.9,United Arab Emirates,9.6,$647.8 ,3.9,5.0,"$67,617",3.7,4.1,"10,975.8",19.4,,
174,United Kingdom,UnitedKingdom,Europe,12,4,76.4,93.8,93.0,78.3,65.1,41.9,40.4,89.9,72.8,85.0,87.0,90,80,1.5,45.0,20.0,32.6,43.2,United Kingdom,64.9,"$2,679.3 ",2.2,2.1,"$41,159",5.5,0.1,"39,532.8",89.3,,
175,United States,UnitedStates,Americas,17,3,75.1,81.3,75.1,78.1,65.3,55.9,53.3,84.4,91.0,80.1,87.1,80,70,1.4,39.6,35.0,26.0,37.8,United States,321.2,"$17,947.0 ",2.4,2.0,"$55,805",5.3,0.1,"379,894.0",105.8,,
176,Uruguay,Uruguay,Americas,38,5,69.7,70.2,66.8,70.3,77.5,69.4,77.2,74.8,62.9,71.3,80.6,85,30,4.7,30.0,25.0,26.9,31.8,Uruguay,3.4,$73.5 ,1.5,3.7,"$21,507",7.3,8.7,"1,647.2",61.8,,
177,Uzbekistan,Uzbekistan,Asia-Pacific,148,36,52.3,48.0,41.9,27.5,90.7,66.2,99.8,64.8,50.4,61.1,66.8,0,10,6.6,22.0,7.5,19.7,34.4,Uzbekistan,31.0,$187.9 ,8.0,8.1,"$6,068",10.1,8.5,"1,068.4",10.7,,
178,Vanuatu,Vanuatu,Asia-Pacific,52,12,67.4,65.5,33.0,70.5,97.0,80.4,99.1,51.4,58.1,74.8,73.9,65,40,5.5,0.0,0.0,17.2,32.9,Vanuatu,0.3,$0.7 ,-0.8,1.3,"$2,550",4.3,3.3,29.1,20.5,,
179,Venezuela,Venezuela,Americas,179,32,27.0,6.8,10.3,11.6,72.5,51.5,15.2,39.7,28.5,16.8,60.7,0,10,9.7,34.0,34.0,20.9,41.0,Venezuela,30.9,$515.7 ,-5.7,0.3,"$16,673",8.0,121.7,"1,591.0",48.8,,
180,Vietnam,Vietnam,Asia-Pacific,147,35,52.4,49.7,32.0,24.6,79.6,74.6,21.1,61.2,62.2,76.0,83.1,25,40,3.4,35.0,22.0,18.2,28.7,Vietnam,91.6,$552.3 ,6.7,5.9,"$6,024",2.1,0.6,"11,800.0",59.3,,
