CountryID,Country Name,WEBNAME,Region,World Rank,Region Rank,2017 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Country,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP),,
13,Barbados,Barbados,Americas,130,24,54.5,55.5,33.0,34.3,74.0,39.0,0.0,69.6,67.7,83.7,62.2,75,60,13.9,35.0,25.0,27.4,44.2,Barbados,0.3,$4.6 ,0.5,0.3,"$16,575",12.3,0.5,254.4,103.0,,
14,Belarus,Belarus,Europe,104,40,58.6,50.9,56.3,37.6,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30,10,2.2,13.0,18.0,23.0,42.6,Belarus,9.4,$167.7 ,-3.9,1.2,"$17,654",6.1,13.5,"1,583.9",59.9,,
15,Belgium,Belgium,Europe,49,25,67.8,83.3,69.3,71.5,44.1,9.6,66.3,82.0,61.1,84.9,87.0,85,70,1.5,50.0,33.0,44.7,53.9,Belgium,11.2,$494.1 ,1.4,0.9,"$43,585",8.7,0.6,"31,029.5",106.3,,
16,Belize,Belize,Americas,101,22,58.6,43.5,48.7,35.0,81.3,68.6,60.5,62.7,53.6,79.6,70.1,50,50,10.0,25.0,25.0,24.8,32.8,Belize,0.4,$3.0 ,1.5,2.5,"$8,373",11.8,-0.6,64.6,76.3,,
17,Benin,Benin,Sub-Saharan Africa,96,11,59.2,36.0,29.4,31.3,68.6,85.9,71.3,51.9,52.4,85.4,68.7,80,50,10.6,45.0,30.0,14.8,24.9,Benin,10.9,$22.9 ,5.2,5.2,"$2,113",1.1,0.3,229.3,37.5,,
18,Bhutan,Bhutan,Asia-Pacific,107,21,58.4,60.1,50.7,44.7,83.1,73.6,61.7,72.6,77.6,67.1,60.0,20,30,10.0,25.0,30.0,13.0,25.1,Bhutan,0.8,$6.4 ,7.7,7.1,"$8,201",2.6,7.2,12.1,115.7,,
19,Bolivia,Bolivia,Americas,168,30,47.7,25.7,15.4,32.6,86.1,49.1,81.4,58.9,35.8,66.4,76.0,5,40,4.5,13.0,25.0,24.4,41.9,Bolivia,11.5,$74.4 ,4.8,5.5,"$6,465",3.6,4.1,503.4,39.7,,
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,92,36,60.2,41.2,40.0,32.7,83.5,33.7,89.3,47.4,59.3,84.0,86.6,65,60,1.7,10.0,10.0,38.1,46.8,Bosnia and Herzegovina,3.9,$40.5 ,2.8,1.3,"$10,492",30.3,-1.0,249.5,45.5,,
21,Botswana,Botswana,Sub-Saharan Africa,34,2,70.1,58.1,54.0,57.6,77.1,61.2,99.4,68.8,68.6,77.9,83.8,65,70,0.6,25.0,22.0,34.4,39.7,Botswana,2.1,$34.8 ,-0.3,4.6,"$16,368",18.6,3.0,393.6,17.8,,
22,Brazil,Brazil,Americas,140,25,52.9,55.0,49.7,33.4,70.1,53.1,22.8,61.3,52.3,67.0,69.4,50,50,7.8,27.5,34.0,32.8,41.9,Brazil,204.5,"$3,192.4 ",-3.8,1.0,"$15,615",7.2,9.0,"64,647.9",73.7,,
23,Bulgaria,Bulgaria,Europe,47,23,67.9,62.5,38.9,41.8,91.0,58.4,86.4,66.7,68.3,83.3,87.0,70,60,1.5,10.0,10.0,26.5,38.8,Bulgaria,7.2,$136.9 ,3.0,1.5,"$19,097",9.8,-1.1,"1,773.9",26.9,,
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,93,10,59.6,38.2,28.4,31.7,82.6,82.5,88.4,46.4,53.3,84.6,69.2,70,40,7.9,27.5,27.5,15.2,21.3,Burkina Faso,17.9,$30.9 ,4.0,5.5,"$1,724",2.9,0.9,167.4,31.0,,
25,Burma,Burma,Asia-Pacific,146,34,52.5,23.0,12.9,29.6,86.2,81.5,89.9,50.1,77.1,65.4,74.2,20,20,2.9,20.0,30.0,9.2,25.9,Burma,51.8,$283.5 ,7.0,7.4,"$5,469",4.7,11.5,"2,824.0",32.0,,
26,Burundi,Burundi,Sub-Saharan Africa,139,30,53.2,25.7,19.8,24.6,73.8,69.5,69.6,53.5,67.4,75.2,74.2,55,30,5.4,35.0,35.0,12.9,29.9,Burundi,9.4,$7.7 ,-4.1,2.7,$819,1.5,5.6,7.4,38.4,,
27,Cambodia,Cambodia,Asia-Pacific,94,20,59.5,42.4,22.1,12.8,90.2,88.1,95.7,29.6,62.0,81.0,80.3,60,50,4.9,20.0,20.0,13.4,18.2,Cambodia,15.5,$54.2 ,6.9,7.2,"$3,488",0.5,1.2,"1,701.0",33.6,,
28,Cameroon,Cameroon,Sub-Saharan Africa,150,34,51.8,43.5,29.6,17.4,75.4,84.4,60.9,44.3,47.8,80.1,53.4,35,50,15.8,35.0,33.0,12.2,23.5,Cameroon,23.1,$72.6 ,5.9,5.2,"$3,144",4.6,2.8,620.1,33.5,,
29,Canada,Canada,Americas,7,1,78.5,88.3,80.8,81.6,77.4,52.3,80.3,81.9,73.1,77.8,88.4,80,80,0.8,33.0,15.0,30.8,40.3,Canada,35.9,"$1,631.9 ",1.2,2.2,"$45,553",6.9,1.1,"48,642.8",91.5,,
30,Cabo Verde,CaboVerde,Sub-Saharan Africa,116,17,56.9,42.6,50.2,41.8,78.3,70.7,1.2,65.5,43.2,86.7,68.2,75,60,10.9,35.0,25.0,18.0,29.9,Cabo Verde,0.5,$3.4 ,1.8,1.9,"$6,522",10.8,0.1,94.9,119.3,,
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,151,35,51.8,12.6,33.0,28.7,65.8,94.1,84.1,27.2,42.7,68.2,55.2,80,30,14.9,50.0,30.0,4.4,14.6,Central African Republic,4.8,$3.0 ,4.3,-4.7,$630,7.6,5.4,3.0,65.0,,
32,Chad,Chad,Sub-Saharan Africa,162,39,49.0,30.6,24.1,24.6,46.0,87.2,74.6,27.5,44.9,74.3,54.7,60,40,15.1,60.0,45.0,6.8,17.1,Chad,11.6,$30.5 ,1.8,4.7,"$2,634",5.6,3.6,600.2,39.3,,
33,Chile,Chile,Americas,10,2,76.5,68.2,63.7,70.5,77.6,82.2,96.1,72.3,64.3,82.2,86.4,85,70,1.8,35.0,25.0,19.8,25.8,Chile,18.0,$422.4 ,2.1,3.9,"$23,460",6.4,4.3,"20,176.2",17.1,,
34,China,China,Asia-Pacific,111,24,57.4,48.3,60.7,41.6,70.0,73.0,92.5,53.9,63.4,71.8,73.6,20,20,3.2,45.0,25.0,18.7,31.9,China,1375.0,"$19,392.4 ",6.9,7.8,"$14,107",4.6,1.4,"135,610.0",43.9,,
