,count,mean,std,min,25%,50%,75%,max
Effective Federal Funds Rate Diff (%),214.0,-0.059873874843877836,1.2338758819985103,-4.099000000000002,-0.11881720430107535,0.034677419354838715,0.6454999999999997,2.070322580645162
Currency in Circulation / Total Assets Diff,214.0,-3.7130320922967393,11.704336146299124,-53.11032357428742,-3.7643307619737048,-0.4032097601553488,1.9961622183432706,6.997504885223179
Loss Function Diff,213.0,-0.028153038315399954,17.311742576020713,-117.81162975286881,-0.006143922946883341,1.0003855685312923,4.345547659531672,114.57989306261105
Unemployment Loss Diff,214.0,-0.023364485981308504,2.0608161671961334,-8.700000000000001,-0.7000000000000002,-0.4500000000000002,-0.09999999999999964,11.100000000000001
Inflation Loss Diff,213.0,0.040724487311028255,0.6019636123315267,-1.6194357800627834,-0.31301952006115297,0.028922747145077032,0.3630297252509296,2.454967342422454
