,"  Agriculture, forestry, fishing, and hunting",  Mining,  Utilities,  Construction,  Manufacturing,  Wholesale trade,  Retail trade,  Transportation and warehousing,  Information,"  Finance, insurance, real estate, rental, and leasing",  Professional and business services,"  Educational services, health care, and social assistance","  Arts, entertainment, recreation, accommodation, and food services","  Other services, except government",  Federal,  State and local,Date
"  Agriculture, forestry, fishing, and hunting",1.0,-0.20738736486616105,-0.17435187076584643,-0.011844596799994105,0.3969880998497275,-0.28844636514745264,0.15804276417200866,0.24488224806818384,0.17950461857254565,-0.13070916870377014,0.22311619918599804,0.0726746181900728,-0.22344976122913768,-0.029839177978984246,-0.33213280521917177,0.3080082034586008,0.10870681422910324
  Mining,-0.20738736486613757,1.0,0.5789261246192043,-0.13746636415925576,0.742196424389965,-0.21006770708605588,-0.32721949688405183,-0.08040687616572517,-0.01241455292267283,0.23797498669579611,0.26794085916985205,0.1561351466417755,-0.07333589885615585,0.03962850701760386,-0.409045971104549,0.029039248456177957,-0.4883963232791486
  Utilities,-0.1743518707658735,0.5789261246191864,1.0,0.4882364199620601,-0.37507335464255065,-0.1770030881314674,0.14780478659528876,0.08861856403274844,-0.1504845188427251,-0.5948090549589109,-0.391192580179082,-0.31121484406340455,0.1134468078498856,0.04320819659647494,0.22933584954368222,0.5225935097907755,0.30795847584660824
  Construction,-0.011844596799978553,-0.13746636415922167,0.48823641996206324,1.0,0.22389389816597047,0.32897703973166675,0.2321572817488523,-0.21027944268100104,0.3898527253909664,0.7444738554440072,0.6179372685135023,-0.12598826640754768,-0.011850028621527278,0.1618416406003411,0.12562303039484654,-0.4090835842710809,-0.33136073530258214
  Manufacturing,0.3969880998497186,0.7421964243899746,-0.37507335464258523,0.22389389816600763,1.0,0.02190529069796532,0.2280517546176041,0.4310749676714498,-0.17241411980896476,-0.2151273625260542,-0.39655432503385885,0.10256012880592365,-0.1766246929220756,-0.10400242526362835,0.36300698646090224,0.032317069564842524,0.23217068028417684
  Wholesale trade,-0.2884463651474817,-0.210067707086059,-0.1770030881314495,0.32897703973164844,0.02190529069793767,1.0,-0.2715443405560778,0.3712059685999523,-0.016048028075885963,-0.5367986239007404,-0.11632198675224971,-0.031457198987769365,-0.27335682206551737,0.3827208487853827,-0.009865631925142853,0.21076210455264888,-0.09481620281313113
  Retail trade,0.15804276417198773,-0.32721949688404567,0.1478047865953088,0.2321572817487977,0.22805175461756838,-0.271544340556135,1.0,-0.08083385530605311,0.12662191127743674,-0.2998865703129661,0.022554935566011583,-0.04467015363396925,-0.025046816725982454,0.4074292663387771,-0.21845920163558075,0.0852776036657306,-0.332421344046459
  Transportation and warehousing,0.244882248068172,-0.08040687616573035,0.08861856403275481,-0.21027944268101656,0.4310749676714953,0.37120596859990873,-0.08083385530612001,1.0,0.28842100718099445,0.16834387475245446,0.05667308794246212,-0.42771313275840156,0.5054188684096315,0.0346313702665123,0.36622823236509466,0.047671276761549766,0.050365090079529114
  Information,0.17950461857256178,-0.012414552922668482,-0.1504845188427507,0.38985272539096927,-0.17241411980896673,-0.016048028075900087,0.12662191127741806,0.28842100718096203,1.0,-0.21787717823790861,-0.2551991788542154,0.009653376694697076,-0.09150365717458683,-0.05406523852512067,-0.3266343513959418,0.33505152977966823,-0.04905383375618825
"  Finance, insurance, real estate, rental, and leasing",-0.13070916870381669,0.2379749866957746,-0.5948090549588939,0.7444738554439919,-0.21512736252604076,-0.5367986239007899,-0.29988657031298865,0.16834387475250512,-0.21787717823787736,1.0,-0.48378999975374426,-0.36454586623552143,0.14213392774514366,0.3006301043359091,0.1316744122380104,0.4650395813442676,0.2885329347928213
  Professional and business services,0.22311619918600098,0.2679408591698043,-0.39119258017906405,0.6179372685135197,-0.3965543250337908,-0.11632198675223825,0.02255493556592877,0.05667308794242576,-0.25519917885420323,-0.4837899997537485,1.0,0.18794280693679055,0.4271522346703711,-0.4408049670273545,0.21015742667614734,0.3810610213281873,0.2386043704791195
"  Educational services, health care, and social assistance",0.07267461819002637,0.1561351466418012,-0.3112148440634064,-0.1259882664075722,0.10256012880591783,-0.031457198987849114,-0.04467015363396543,-0.42771313275834544,0.009653376694754903,-0.36454586623557084,0.18794280693677884,1.0,0.27487014187711045,0.6782721438390851,0.48233826601739394,0.18738608133917192,0.07105754855104456
"  Arts, entertainment, recreation, accommodation, and food services",-0.22344976122913948,-0.07333589885611905,0.1134468078498366,-0.011850028621529615,-0.1766246929221328,-0.2733568220654784,-0.02504681672585392,0.5054188684095896,-0.09150365717460762,0.1421339277451595,0.4271522346703208,0.2748701418770744,1.0,0.3004159810612808,-0.24677531133747527,-0.12181180285167507,-0.057862378490968897
"  Other services, except government",-0.02983917797893397,0.039628507017556096,0.0432081965964824,0.16184164060038225,-0.10400242526355359,0.38272084878545265,0.4074292663386865,0.034631370266427215,-0.05406523852516098,0.3006301043359093,-0.440804967027351,0.6782721438390565,0.30041598106134393,1.0,-0.17589075445061678,0.08429858418252147,0.2478450131774837
  Federal,-0.3321328052191332,-0.40904597110455043,0.2293358495436877,0.12562303039482162,0.3630069864608662,-0.009865631925140466,-0.21845920163559046,0.36622823236510677,-0.32663435139598207,0.13167441223804305,0.21015742667620582,0.4823382660173641,-0.24677531133758002,-0.17589075445054353,1.0,0.16199454088407197,-0.1993408781104792
  State and local,0.3080082034585992,0.029039248456199804,0.5225935097907719,-0.40908358427104546,0.03231706956479247,0.2107621045526605,0.08527760366577468,0.04767127676159131,0.3350515297796359,0.46503958134428386,0.38106102132817365,0.18738608133923354,-0.12181180285174274,0.08429858418247216,0.16199454088405743,1.0,0.005491729040966024
Date,0.10870681422911731,-0.4883963232791347,0.3079584758466291,-0.3313607353026283,0.2321706802841358,-0.09481620281314138,-0.33242134404642937,0.05036509007955586,-0.04905383375617453,0.28853293479285996,0.2386043704791715,0.07105754855103899,-0.057862378491051594,0.24784501317752516,-0.19934087811043866,0.005491729040920108,1.0
