,"  Agriculture, forestry, fishing, and hunting",  Mining,  Utilities,  Construction,  Manufacturing,  Wholesale trade,  Retail trade,  Transportation and warehousing,  Information,"  Finance, insurance, real estate, rental, and leasing",  Professional and business services,"  Educational services, health care, and social assistance","  Arts, entertainment, recreation, accommodation, and food services",  Federal,  State and local,Date
"  Agriculture, forestry, fishing, and hunting",1.0,0.5473073540825614,0.6833557717562411,0.285127197697204,0.837247862344119,0.8741176518737651,0.660833184890516,0.7985291706668949,0.7015763116686159,0.670884359279775,0.7316674422443,0.7889256434016502,0.7019891701989595,0.7198180996800833,0.7660533287102753,0.8035594371534963
  Mining,0.5473073540825614,1.0,0.6059656295999215,-0.21978541264756138,0.5877074152421671,0.28356496322853625,0.006048491427553574,0.311475657622979,0.042163977702178744,0.018736595153765023,0.1013445975542398,0.12745042567109977,0.22142709861495327,0.1682564344215397,0.12558749874332473,0.11389268034916328
  Utilities,0.6833557717562411,0.6059656295999215,1.0,0.24578177352718655,0.6686693406542429,0.6096147312594151,0.467804372738543,0.596032075680979,0.4979879488468892,0.47826197518171426,0.5332200338823084,0.5368703320486137,0.49731676908315486,0.534208243783909,0.5615105711579272,0.5439014153949501
  Construction,0.285127197697204,-0.21978541264756138,0.24578177352718655,1.0,0.542545927503995,0.6692419759082797,0.8689116841824044,0.7123542902127242,0.8266252683268973,0.8640019590455739,0.8052511259879683,0.6908550024377926,0.6611911166932423,0.4001741864646792,0.7083582289140481,0.6905001867587056
  Manufacturing,0.837247862344119,0.5877074152421671,0.6686693406542429,0.542545927503995,1.0,0.8812055691459127,0.7625472303507459,0.8786621194755546,0.7590364897689549,0.7498452040118829,0.7853652133961273,0.755531628941511,0.7524462903902637,0.6017649914743669,0.7443850321246952,0.7485282950880867
  Wholesale trade,0.8741176518737651,0.28356496322853625,0.6096147312594151,0.6692419759082797,0.8812055691459127,1.0,0.9247059622940728,0.9685188951013632,0.9412549129908285,0.9310095799202747,0.9576715650789704,0.9639010209606601,0.8933995521072091,0.7891655357193829,0.94844455666286,0.9626759047056292
  Retail trade,0.660833184890516,0.006048491427553574,0.467804372738543,0.8689116841824044,0.7625472303507459,0.9247059622940728,1.0,0.9004927532664828,0.9882572315638406,0.9903501190214662,0.9744613461526986,0.9312039720790798,0.8179814170909443,0.7444589592501921,0.9327599654684833,0.9362066297202751
  Transportation and warehousing,0.7985291706668949,0.311475657622979,0.596032075680979,0.7123542902127242,0.8786621194755546,0.9685188951013632,0.9004927532664828,1.0,0.9201058546189258,0.9178275865344232,0.951970467480781,0.942241964768781,0.9565712235059911,0.7150571394668274,0.9302011972410147,0.9180015869470565
  Information,0.7015763116686159,0.042163977702178744,0.4979879488468892,0.8266252683268973,0.7590364897689549,0.9412549129908285,0.9882572315638406,0.9201058546189258,1.0,0.9946834828891765,0.9925146422181208,0.9662408983527037,0.8402452103752086,0.8116297414867676,0.9704477555280491,0.9687603953709608
"  Finance, insurance, real estate, rental, and leasing",0.670884359279775,0.018736595153765023,0.47826197518171426,0.8640019590455739,0.7498452040118829,0.9310095799202747,0.9903501190214662,0.9178275865344232,0.9946834828891765,1.0,0.9897372248243587,0.9528274814363741,0.8446223147407946,0.7641591484160648,0.9589224469164108,0.956591974065713
  Professional and business services,0.7316674422443,0.1013445975542398,0.5332200338823084,0.8052511259879683,0.7853652133961273,0.9576715650789704,0.9744613461526986,0.951970467480781,0.9925146422181208,0.9897372248243587,1.0,0.9804793377923279,0.8866458691611326,0.8101530116650917,0.9834234706170378,0.9747474815779819
"  Educational services, health care, and social assistance",0.7889256434016502,0.12745042567109977,0.5368703320486137,0.6908550024377926,0.755531628941511,0.9639010209606601,0.9312039720790798,0.942241964768781,0.9662408983527037,0.9528274814363741,0.9804793377923279,1.0,0.8993436028913402,0.8608193607192604,0.9935348496664744,0.989506282444525
"  Arts, entertainment, recreation, accommodation, and food services",0.7019891701989595,0.22142709861495327,0.49731676908315486,0.6611911166932423,0.7524462903902637,0.8933995521072091,0.8179814170909443,0.9565712235059911,0.8402452103752086,0.8446223147407946,0.8866458691611326,0.8993436028913402,1.0,0.6089579278742814,0.8769004692548248,0.8512907481131379
  Federal,0.7198180996800833,0.1682564344215397,0.534208243783909,0.4001741864646792,0.6017649914743669,0.7891655357193829,0.7444589592501921,0.7150571394668274,0.8116297414867676,0.7641591484160648,0.8101530116650917,0.8608193607192604,0.6089579278742814,1.0,0.8756460584094704,0.868904391919101
  State and local,0.7660533287102753,0.12558749874332473,0.5615105711579272,0.7083582289140481,0.7443850321246952,0.94844455666286,0.9327599654684833,0.9302011972410147,0.9704477555280491,0.9589224469164108,0.9834234706170378,0.9935348496664744,0.8769004692548248,0.8756460584094704,1.0,0.9876741635666957
Date,0.8035594371534963,0.11389268034916328,0.5439014153949501,0.6905001867587056,0.7485282950880867,0.9626759047056292,0.9362066297202751,0.9180015869470565,0.9687603953709608,0.956591974065713,0.9747474815779819,0.989506282444525,0.8512907481131379,0.868904391919101,0.9876741635666957,1.0
