,count,mean,std,min,25%,50%,75%,max
Effective Federal Funds Rate Diff-in-Diff (%),202.0,-0.04669984854039189,1.4223245968471168,-3.588387096774189,-0.2552553763440836,0.07596774193548372,0.3412258064516128,4.05225806451613
Currency in Circulation / Total Assets Diff-in-Diff,202.0,-0.51381150067539,16.974403103105306,-51.909298879316964,-2.471960639190499,0.2354334193241332,3.2341639096798307,55.26520011329892
Loss Function Diff-in-Diff,201.0,1.1772946296446045,27.035292024689994,-117.80548582992192,-2.8450609923557977,-0.5915956894630527,0.1592711179831765,232.39152281547985
Unemployment Loss Diff-in-Diff,202.0,-0.07524752475247536,3.0612456717494583,-19.800000000000004,-0.27499999999999947,0.10000000000000053,0.575,11.400000000000002
Inflation Loss Diff-in-Diff,201.0,0.03294303734156467,0.9395243331220202,-1.8238694127568733,-0.6319818936143307,-0.04785445040003111,0.4435309059580117,3.0667676355739193
