"Index","Output","Consumption","Investment","Market investment","Home investment","Hours","Productivity","Capital stock","Capital stock: market","Capital stock: home","Solow residual","Relative price of investment","Tax rate: capital income","Tax rate: labor income","Return to business capital, pre-tax","Return to business capital, pre-tax, no capital gain","Return to business capital, after--tax","Return to business capital, after-tax, no capital gain","Return to all capital, pre-tax","Return to all capital, pre-tax, no capital gain","Return to all capital, after--tax","Return to all capital, after-tax, no capital gain","Return to housing capital, pre-tax","Return to housing capital, pre-tax, no capital gain","Return to housing capital, after--tax","Return to housing capital, after-tax, no capital gain"
"1992-04-01",48.8873897547151,24.7519769921007,11.1788134279965,4.71536221116834,6.46345121682819,0.803644895414877,60.8320789861761,127.712638971957,57.8103228850589,69.9023160868984,56.4367706154947,1.54927498273471,0.344573798915913,0.280679897335715,6.15852040501357,9.48883645772904,2.89274706251552,6.14622174486275,4.37598912680071,7.66443848204286,2.14805921065222,5.3839263992848,2.06948305694137,5.30349049815961,1.17632795926701,4.38917068557951
"1992-07-01",49.1625127235011,24.9574840154901,11.2706859268236,4.75884779373554,6.51183813308805,0.799676379316597,61.4780103490306,127.657466503775,57.6581582600793,69.999308243696,57.3168272864255,1.53956518533754,0.343898837250948,0.281067557498187,6.62506611882792,9.27998891527741,3.42368527189618,6.01877945149913,4.93062731407359,7.5539409670154,2.73639749220991,5.31858700960641,2.75027317253318,5.33272343703033,1.84481732266604,4.41023392716098
"1992-10-01",49.4761824132246,25.1529403035411,11.483975557544,4.83863958483023,6.64533597271377,0.804211780382786,61.5213350762844,127.668953870079,57.5429088281952,70.126045041884,57.5940557496655,1.52806266754162,0.343970033526794,0.281302134683314,6.46861641432799,9.63569982443853,3.15303908492781,6.24613091114128,4.62792652941628,7.75400530340127,2.36754779255326,5.44302309566005,2.27507715673585,5.34847634875291,1.35496047426038,4.40767575488032
"1993-01-01",49.3449621773406,25.1545267987467,11.4925274450578,4.84340967763282,6.649117767425,0.807502086488826,61.108154397349,127.964671874698,57.5466288203657,70.4180430543324,57.177458194279,1.51886462486528,0.354217451054007,0.280431098549969,6.88471004450932,9.43832602378378,3.52852023808963,6.02193632092096,5.13890703426982,7.6612688768765,2.86836810830617,5.34988568043457,2.91857419814527,5.40099735271367,2.02146403313728,4.48768893278486
"1993-04-01",49.471599633269,25.2538091290734,11.7166441633536,4.90969336777545,6.80695079557813,0.812935822885006,60.8554799045521,128.084192969196,57.5515038418281,70.5326891273682,56.998198605828,1.50951716621725,0.356569138716462,0.282649862250737,7.16215643341214,9.77855532305598,3.66095819017986,6.21317234144945,5.26260152031093,7.84424393242675,2.90617641340229,5.44448277232645,2.86106946045319,5.39854385680019,1.94322359570354,4.46374903737572
"1993-07-01",49.6047467192377,25.443517767805,11.8575840569576,4.91935744190841,6.93822661504916,0.817033034634076,60.7132693740519,128.412445806429,57.6180206971212,70.7944251093074,56.9381402930385,1.50231806584535,0.346704292071958,0.285842617824881,7.67751125642206,9.70819652111534,4.28315754673438,6.26575247719985,5.80795181094553,7.81219753052189,3.50238603132691,5.47386391861802,3.45150431624865,5.42225699277603,2.50980276471922,4.46711725317326
"1993-10-01",50.1719243187076,25.5380495935254,12.2649485657821,5.11650929681926,7.14843926896285,0.822181667612373,61.0229177991861,128.83295411706,57.681439796877,71.151514320183,57.491239261374,1.49845830880463,0.360245651415059,0.285890659742929,9.35849468180427,10.4616426933018,5.5286467562611,6.60272721658655,7.15371889910383,8.24016498920106,4.60259408134982,5.6696066166922,4.39169608762795,5.45709679452109,3.43095231253334,4.48899998926766
"1994-01-01",50.5661620012935,25.6944470289526,12.4608037940317,5.16509170076052,7.29571209327114,0.827971155415329,61.0723715078315,129.687854065764,57.9667572834877,71.7210967822763,57.6966404332633,1.4968074318145,0.332706368295406,0.287463210511885,9.97242006630681,10.4464367905358,6.42170392364434,6.88420128270568,7.79106814662864,8.25801927387897,5.39277932041395,5.85192072898386,5.06791888378182,5.5259990238999,4.09691673398345,4.55181985102626
"1994-04-01",51.1201407151085,25.8059411294597,12.6404463934804,5.22305994690575,7.41738644657465,0.838236940393442,60.9853112547322,130.456502756295,58.2064316451703,72.2500711111243,57.7619406162301,1.49172072102966,0.335650487772084,0.288890920835939,9.17888896704513,10.6380400958384,5.55448611320479,6.97721497174046,6.938732881974,8.37540874618543,4.49572229083652,5.90775257625906,4.15031197791693,5.55884609576649,3.16579750748833,4.56435057837252
"1994-07-01",51.2248427201452,25.9600552747838,12.6836980700987,5.26714065625056,7.41655741384811,0.844536919563563,60.6543556989989,131.297256087583,58.4589830991846,72.8382729883988,57.407523820176,1.4842239638376,0.340410207775371,0.286778985366515,8.77263821800074,10.9295883461239,5.01242708483309,7.11334544093789,6.4208006707662,8.54276363905237,3.91265711372741,5.99709283575003,3.51125690127276,5.58966579745661,2.53890570821913,4.60269082347002
"1994-10-01",51.7197859522497,26.0835453225272,12.9934118907479,5.46653228946791,7.52687960128001,0.849030536334223,60.9162847964871,132.114776869566,58.7334115312269,73.381365338339,57.792370339405,1.47795529779703,0.340233276274843,0.285993013786141,9.41020764364708,11.2287287736831,5.53736389345885,7.30748908351062,6.91740020984881,8.70482096728378,4.35171157238503,6.10693196531622,3.85204767260814,5.60097408987341,2.87912311462672,4.61577229894468
"1995-01-01",51.8190814661551,26.1844382037805,13.0434945398963,5.6757141794,7.36778036049627,0.852184635287697,60.8073407104565,133.362883127131,59.265791306109,74.0970918210224,57.5842359632895,1.47704592719029,0.347112204479387,0.288423323024213,10.7084674281084,10.9743353706203,6.80884052867516,7.06765542241012,8.31278685196715,8.57432936124927,5.72023065841016,5.9770652119381,5.36995577521791,5.62615204464731,4.36973948358468,4.62411019062015
"1995-04-01",51.6776677785903,26.3213873922146,12.9568322071025,5.67462103490944,7.28221117219309,0.851844131742667,60.6656380585381,133.900683479583,59.6193725770538,74.2813109025296,57.1704920127864,1.4718637930395,0.338605601700421,0.291266281514077,9.45469389508144,10.9641980126042,5.68520146740867,7.15561264650797,7.08881094493776,8.57381901865399,4.56241354940055,6.02111321756043,4.17919542901934,5.63389063792483,3.16843465258489,4.61255007998747
