ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting

a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,RGDP Per Capita
CRI,2010,Costa Rica,7.28,48.0,2.0,5.485294118,21.35,9.419618529,2.63,10.0,9.47,9.0,25,4.0,43,6.5,7.851228162000001,6.458939539,4.730434784,5.506946638,10.0,5.833333333,3.523501568,8.504397042999999,6.12718317,4.275541901,0.9259259259999999,5.88052357,8.754922274,6.22538863,9.357718247000001,1.605704384,8.86795387,5.660230651,5.0,7.995148597999999,9.166666667000001,1.25,8.92,5.4,6.3496,9.126,8.145422222,5.289643291,8.137980607000001,6.713811949,10.0,7.122407851,6.923076922999999,9.181928229,7.742471001,8.150426292999999,5.0,7.417560543,9.0,7.139186848,2.233333333,5.343411213,6.040454695,8.0,5.658362671,10.0,6.212593652000001,3.44790717,5.757575758,7.962408517,5.357707624,7.555257512000001,7.242505689,6.220560377999999,6.524113626,11989.0
CIV,2010,Cote d'Ivoire,5.69,136.0,4.0,7.247058824,15.36,9.658855586,1.7519999999999998,6.0,27.69,3.0,47,2.0,52,2.5,6.351478602,1.325824521,2.865097528,3.5441233339999996,2.5,4.166666667,2.4662557780000003,4.259161077,2.347013313,3.090365017,0.793103448,2.646272751,7.81328137,10.93359315,8.753217999,3.116955002,9.664866918,1.6756654119999999,0.0,6.557841572,4.88,7.68,7.62,11.9,7.2868,6.7829999999999995,6.5956,5.1529747630000005,5.820540444,5.486757604,10.0,6.913301027999999,0.7692307690000001,2.3231384680000002,3.335223422,6.354395256,8.0,9.576482672000001,10.0,9.192160891,6.666666667,5.991332257000001,7.43557921,6.0,7.5681075,1.0,5.776947606,3.5302268939999997,3.1818181819999998,6.925567752999999,2.45455409,4.629354,6.973481854,4.615833796,6.528314097000001,2608.0
HRV,2010,Croatia,6.68,88.0,3.0,4.323529412,25.3,4.788010899,19.628,8.0,15.4,3.0,44-51,0.0,62-67,1.5,4.652885078,3.42366675,2.805561167,4.880196833,8.333333332999999,7.5,5.3981951189999995,6.390923114,6.158259833,6.965993332999999,0.962962963,5.65509231,9.644360767,-1.7781961659999999,9.233863671,1.9153408219999999,9.790386699999999,1.048066498,5.0,8.417152785,9.52,0.72,9.04,4.8,7.6384,5.904,8.7328,5.628742333,7.488635536,6.558688935,10.0,4.435158,4.615384615,6.637538479,5.229360365,7.630212325,10.0,7.850752808999999,9.0,8.950250936,2.233333333,3.657251833,6.915841082999999,8.0,7.505751282,10.0,6.3853629220000006,2.052877,6.2121212120000004,9.640302594,4.331606595,4.678675338,7.802972012000001,5.786425792,7.040679882999999,18987.0
CYP,2010,Cyprus,7.73,14.0,1.0,5.179411765,22.39,6.128065395,14.71,10.0,3.0746705710000004,8.0,30,7.0,35,7.5,7.20186929,7.148169997,6.069073014,7.358589001,8.333333332999999,8.333333332999999,4.003515462,5.820506281,7.0830946489999995,7.810916252999999,0.897435897,6.53145202,9.031268800000001,4.843656001,9.186477836,2.03380541,9.523748327,2.381258363,10.0,9.435373741,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,6.7346386879999995,9.265478688,8.000058688,10.0,6.3725591260000005,6.153846154,6.416287196,6.314230825,8.163739823,10.0,6.385965532999999,10.0,8.795321844,6.666666667,4.781710466,5.586610447000001,10.0,10,0.0,6.17249793,4.882767951,8.181818182,9.606259244,6.291091316,4.914034741,8.329810356,7.034296965,7.334038913,29488.0
CZE,2010,Czech Rep.,7.22,52.0,2.0,2.929411765,30.04,2.9089918260000003,26.524,8.0,17.56,10.0,15,4.0,45,7.0,5.209600898,4.507832225,3.1576231839999997,5.144317082,10.0,8.333333332999999,3.85475774,8.541385351,4.379606117,7.5032374420000005,0.962962963,6.043973048,8.800334759,5.998326206000001,9.279017786,1.8024555359999999,9.718256415,1.408717924,10.0,9.44940224,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,7.288011212000001,7.490388557,7.389199885,10.0,6.802974002000001,3.076923077,6.416287196,5.432061425,7.790482772000001,10.0,7.976308488,10.0,9.325436163,6.666666667,3.5872560389999997,6.972371381,10.0,7.755176154,10.0,7.496911707000001,2.7022506280000003,7.424242424,9.170781951,4.156693591,8.942603322,3.7564051569999997,6.025496179,7.615948016,25608.0
DNK,2010,Denmark,7.77,13.0,1.0,1.029411765,36.5,3.389918256,24.759,8.0,18.14,3.0,52,2.0,56,2.5,3.729832505,9.255030926,7.236112968,8.416141612999999,10.0,10.0,5.958963649,9.500385458,8.894201323999999,8.726506049,1.0,8.665260221,9.483526813,2.582365935,9.359815745,1.6004606369999999,9.540453976,2.297730121,10.0,9.595949133,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,7.052873485,9.433164708,8.243019096,10.0,6.791199661,7.692307692000001,6.339562961,6.941023437999999,8.381178078,10.0,8.982619664,10.0,9.660873221000001,10.0,8.510680848,5.276635778999999,8.0,10,3.0,7.464552771,5.032554706,7.575757576,9.72593835,9.153431187999999,9.720020462999999,8.486740927,8.282407202,8.469277731,42474.0
DOM,2010,Dominican Rep.,7.16,59.0,2.0,8.352941176,11.6,9.383651226,2.762,6.0,25.1,9.0,25,7.0,33,8.0,7.934148101,2.820775546,3.4114436280000002,4.79347972,5.0,4.166666667,4.512744275,7.649814172,1.6152576669999998,4.051014881,1.0,4.224577395,9.255754196,3.7212290180000003,8.966145902000001,2.584635246,8.73401356,6.329932201,10.0,9.238978414,8.566666667,2.15,8.58,7.1,6.4479999999999995,8.88,7.8648888889999995,4.790624909,8.869415667,6.830020287999999,10.0,6.808327631,5.384615385,6.305661555,6.166201523,7.715277675,5.0,8.522348614,10.0,7.840782871,5.566666667000001,4.765555912,7.263809222000001,8.0,2.778888327,10.0,6.3958200210000005,3.1198626889999996,5.454545455,9.017892259,3.307389449,7.24758878,6.368178223999999,5.752576143,6.663059679,11524.0
ECU,2010,Ecuador,5.77,134.0,4.0,7.420588235,14.77,9.591280654,2.0,0.0,51.8,7.0,35,4.0,47,5.5,5.6279672220000005,2.173568327,2.412713868,3.681358587,2.5,4.166666667,4.380510817,9.007318602,3.566137922,3.8354366210000004,0.8888888890000001,3.748784531,7.478033137000001,12.60983432,8.749845805,3.125385488,9.288775239,3.5561238060000004,0.0,6.379163545,6.533333333,5.2,7.76,11.2,4.8032,12.992,6.365511111,3.425195012,6.926639517000001,5.175917264,10.0,4.011712281,3.8461538460000004,10.0,5.952622043,6.873512605,8.0,9.90872489,10.0,9.302908297,5.566666667000001,3.207912738,5.466614464,8.0,0.646567308,3.0,4.314626863,3.2335780880000002,4.545454545,7.890448058,3.77627324,8.498814726,2.66910049,5.102278191,6.239937783999999,9111.0
EGY,2010,Egypt,6.35,109.0,3.0,7.941176471,13.0,6.874659401000001,11.97,4.0,34.52,10.0,20,5.0,40,7.5,6.578958967999999,6.276873029,4.240522491,5.210084692,4.166666667,5.833333333,3.4080551889999997,8.376285911,4.817909207,4.844829019,0.740740741,4.562148762,8.30611768,8.469411602000001,9.191782815,2.020542963,7.746962347,11.26518827,10.0,8.81121571,8.286666667,2.57,6.6,17.0,0.0,149.472,4.962222222,5.086866762,8.409155624,6.748011193,10.0,5.294818185,4.615384615,0.7743794890000001,3.56152743,6.317940211,2.0,5.692100242,10.0,5.897366747,10.0,4.474163642,6.911636942,8.0,0.646567308,0.0,5.005394648999999,3.323212996,3.333333333,9.717059269,4.356968362,7.082483517999999,5.146361638999999,5.49323652,5.465332639,9578.0
SLV,2010,El Salvador,7.21,54.0,2.0,8.688235294,10.46,9.159673025,3.5839999999999996,8.0,18.2,8.0,30,8.0,30,8.0,8.46197708,3.1358064999999997,3.139644024,4.604009905,4.166666667,2.5,3.833383955,8.19789206,3.570309631,1.420920595,1.0,3.84095926,8.394658587,8.026707064,8.85008462,2.874788449,9.764132846,1.1793357690000001,10.0,9.252219013,9.0,1.5,8.82,5.9,6.696000000000001,8.26,8.172,5.512479582999999,8.366357608,6.939418596,10.0,6.104091185,4.615384615,3.318769239,4.679415013,7.447708402000001,8.0,7.549688377000001,10.0,8.516562792,6.666666667,5.810271857,7.754272476000001,6.0,2.599481826,10.0,6.471782137999999,3.932271964,5.303030303,8.972132058,4.288994864,8.054118536,6.41301553,6.160593876,7.049646269,7260.0
EST,2010,Estonia,7.82,10.0,1.0,3.502941176,28.09,6.744686649,12.447000000000001,7.0,22.8,9.0,21,4.0,44,6.5,5.9369069560000005,7.513783792000001,5.519571396,7.173060542000001,8.333333332999999,6.666666667,5.906678502,9.52832923,7.519643986,7.475039027999999,1.0,7.2929007189999995,9.980144539,-0.09927730300000001,8.350269544,4.12432614,9.405186958,2.97406521,10.0,9.43390026,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,7.563689375,9.433164708,8.498427041000001,10.0,7.036043556,6.923076922999999,6.416287196,6.791802558,8.407724844,10.0,9.98753741,10.0,9.995845803,5.0,5.865663556,8.321866389,4.0,9.251725385,3.0,5.906542555,5.5505282220000005,8.939393939,9.676980879,6.976440599,8.473319904,9.04720725,8.110645132,8.004344497,19917.0
ETH,2010,Ethiopia,5.6,137.0,4.0,8.029411765,12.7,8.446321526,6.202000000000001,0.0,64.83,7.0,35,,,7.0,5.868933322999999,3.5277049480000002,4.473649104,5.7265792289999995,1.6666666669999999,7.5,4.868480192,8.534837665,5.212800323,7.473675448,0.962962963,5.341919464,7.4012282,12.993859,5.8011836489999995,10.49704088,8.372611774,8.136941131,0.0,5.393755906,3.44,9.84,6.54,17.3,5.3636,11.591,5.114533333,4.2834768510000005,3.8956572589999996,4.089567055,10.0,4.734108745,0.0,0.22125128300000002,1.651786676,5.213971766,2.0,7.5517448510000005,5.0,4.850581617,6.666666667,4.807224333,6.965150285,10.0,7.03979273,10.0,7.579805669,4.286999188,3.333333333,8.484014851,4.279074931,8.163821687,7.780553359,6.054632891,6.161673392999999,1049.0
FJI,2010,Fiji,6.93,72.0,2.0,6.3382352939999995,18.45,8.686648501,5.32,8.0,18.02,7.0,31,7.0,31,7.0,7.506220948999999,,4.0,,5.9,,5.10906166,8.057429376,,,0.9259259259999999,5.553044138,9.149357298,4.253213508,8.625790784,3.4355230389999996,8.891897521,5.540512392999999,0.0,6.6667614010000005,7.733333332999999,3.4,7.62,11.9,0.0,35.105,5.117777778,,6.883841501,6.883841501,10.0,,0.0,8.960676947,4.480338473,6.620489438,10.0,4.7282737710000005,9.0,7.90942459,7.766666667000001,,,10.0,8.273212426,10.0,9.009969773,,7.121212121,8.295593975,,8.421740748,8.172879786000001,8.002856657999999,8.307417007,
FIN,2010,Finland,7.79,12.0,1.0,2.714705882,30.77,3.723433243,23.535,8.0,16.77,4.0,46-51,3.0,52-57,3.5,4.484534781,9.021216816,7.91958908,9.077048539,10.0,10.0,6.830351106,8.420565726,9.506269527,8.865533189,1.0,8.848952665,9.109903885,4.450480574,9.601631543,0.995921143,9.756960467999999,1.215197662,10.0,9.617123974,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,8.466203782000001,8.994303672000001,8.730253727000001,10.0,6.834096304,3.076923077,6.416287196,5.442435526000001,8.128339758,10.0,8.934880556,10.0,9.644960185,3.9,4.990485836,3.8826428410000005,8.0,10,3.0,5.628854779,5.620321566,7.575757576,9.51733105,8.818654607000001,9.722761138,8.957532638,8.368726429,7.880847131,38074.0
FRA,2010,France,7.42,34.0,1.0,2.964705882,29.92,2.667574932,27.41,8.0,18.8,6.0,43,4.0,54-56,5.0,4.6580702039999995,6.498959222000001,6.3755586079999995,8.246185859,9.166666667000001,8.333333332999999,6.912832746,6.87980644,7.328682795,7.151791835,0.962962963,7.29500479,9.353667687,3.231661564,9.614721568,0.963196079,9.694072124,1.5296393819999998,10.0,9.665615345,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,6.639529699,8.723128655,7.681329177,10.0,7.1795539989999995,5.384615385,6.416287196,6.32681886,8.087204454,10.0,6.62982892,10.0,8.87660964,3.333333333,2.7570160789999996,7.025084388,4.0,8.503450769,10.0,5.936480762,2.7386459060000004,8.333333332999999,9.766430258,7.155326893,7.893612113,8.520368906,7.401286235,7.404792212,35871.0
GAB,2010,Gabon,5.54,140.0,4.0,2.776470588,30.56,9.809264305,1.2,4.0,34.62,5.0,40,2.0,52-57,3.5,5.021433723,,4.7,,3.333333333,5.0,2.915889045,5.811461746,,,0.75862069,3.826878932,8.813171878,5.934140612,4.087249479,14.7818763,9.707691195,1.461544027,0.0,5.6520281379999995,,,6.44,17.8,6.1552,9.612,6.2976,,7.113971522999999,7.113971522999999,10.0,,1.5384615380000002,0.0,0.7692307690000001,6.045200573,5.0,7.285985986,9.0,7.095328662000001,8.333333332999999,,,8.0,8.503450769,10.0,8.709196026,,2.878787879,7.874761537,,7.601974406,4.529848684,5.721343126,7.1752892710000005,11469.0
GMB,2010,"Gambia, The",7.24,49.0,2.0,8.705882353,10.4,9.57951005,2.0431981169999998,4.0,32.6,,,,,,7.4284641339999995,5.750094017,5.983350681,6.82056791,3.333333333,5.833333333,4.890975125,6.221573798,6.443308312999999,6.929678761,0.9487179490000001,5.65195493,8.912214113,-5.438929435,8.785469842000001,3.036325394,8.990493747,5.047531263,5.0,7.922044426,5.24,7.14,7.2,14.0,6.976,7.56,6.472,6.123790926,6.924886496,6.524338711,10.0,6.611339056,7.692307692000001,6.74816412,7.01727029,7.50340225,10.0,7.884785961,9.0,8.96159532,10.0,5.66286933,6.923575864,6.0,10,10.0,8.097740866,5.619699271,3.939393939,6.970583251,5.714075881,8.237995498,5.7852932479999994,6.044506847999999,7.701281011,1850.0
GEO,2010,Georgia,7.5,27.0,1.0,5.452941176,21.46,6.906816107999999,11.85198489,4.0,38.4,10.0,20,10.0,20,10.0,6.589939321,3.6346068,3.7798650210000004,3.7149432030000002,4.5,,6.499992719,9.929330401,6.626264849,7.017687395,1.0,5.712836299,8.663310772,6.68344614,7.972873721,5.067815698,8.580115967000001,7.099420167000001,10.0,8.804075115,9.74,0.39,9.74,1.3,7.9876,5.031000000000001,9.155866667,6.500275447000001,8.514397641,7.507336544,10.0,5.840164378,7.692307692000001,8.296923098999999,7.276465056,8.484917067,10.0,6.103937093,10.0,8.701312364,10.0,6.7377706360000005,7.459861272,10.0,9.251725385,1.0,7.408226215,5.891107688,7.878787879,9.890797734,6.440990052,9.676222527,5.6619906570000005,7.5733160889999995,7.89428489,8305.0
DEU,2010,Germany,7.59,20.0,1.0,4.2441176469999995,25.57,2.585831063,27.71,10.0,11.94,5.0,47,5.0,47,5.0,5.457487177000001,8.890450208999999,6.610041439,7.876437057,10.0,8.333333332999999,6.6203216220000005,7.534732066,8.14785698,7.716922656,1.0,7.970010596,8.862872506,5.685637471000001,9.732591232,0.668521921,9.772514802,1.137425989,10.0,9.591994635,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,6.210140421,9.140590684,7.675365552000001,10.0,6.3859813579999996,3.8461538460000004,6.416287196,5.5494741329999995,7.891377366,5.0,8.783183103999999,10.0,7.927727701,6.666666667,3.006994552,3.45121318,8.0,6.258626923,5.0,5.39725022,3.416285738,8.939393939,9.471431479,7.7773405360000005,9.247608428,7.522738851000001,7.729133162,7.018037027999999,41215.0
GHA,2010,Ghana,6.75,82.0,3.0,8.529411765,11.0,9.651771117000001,1.778,4.0,30.7,9.0,25,5.0,37,7.0,7.29529572,5.1189626089999996,4.985035245,5.028804485,5.0,4.166666667,5.396887171,9.127328059,5.832300721,5.572869975,0.9655172409999999,5.4847600210000005,6.151267184,19.24366408,9.502355033999999,1.244112415,7.858486376,10.70756812,5.0,7.128027147999999,6.86,4.71,7.4,13.0,7.192,7.02,7.150666667,6.524051397999999,6.760706519,6.642378959,10.0,6.6229967620000005,3.8461538460000004,1.5487589780000002,4.005969862,6.9497538720000005,8.0,5.2415370160000005,10.0,7.747179005,10.0,5.275250947,5.831693487000001,8.0,0,10.0,6.517824072000001,4.318699431000001,6.515151515,9.416042619,3.979563582,6.349516576,7.489110871,6.344680766000001,6.869894614,2682.0
GRC,2010,Greece,6.81,81.0,3.0,4.823529412,23.6,4.0517711169999995,22.33,8.0,18.28,6.0,40,6.0,40,6.0,5.718825132,3.8884502210000003,2.979103732,5.771029976,8.333333332999999,7.5,4.125037966,5.7152788779999995,5.027756039,6.26497954,1.0,5.511663297999999,9.986802113,-0.065989437,9.615679073999999,0.960802314,9.057666667000001,4.711666667,10.0,9.665036963,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,6.81848637,6.926639517000001,6.872562943999999,10.0,4.88881344,3.8461538460000004,6.416287196,5.0504181610000005,7.565912721,8.0,0.0,10.0,6.0,5.566666667000001,3.27018683,3.510614313,4.0,7.755176154,3.0,4.517107327,2.24426417,6.515151515,9.393945157000001,3.766492009,8.156784075,7.489110871,6.260957966,5.592688431,27169.0
GTM,2010,Guatemala,7.15,60.0,2.0,8.608823529,10.73,9.882833787000001,0.93,7.0,21.2,7.0,31,4.0,42,5.5,7.747914328999999,2.745257115,3.129427167,4.308291313,6.666666667,2.5,3.389826813,9.269477424,2.1373349790000002,1.180313063,0.962962963,3.852488705,9.144161658,4.279191711,9.108774927999999,2.22806268,9.22809818,3.859509098,10.0,9.370258692,9.166666667000001,1.25,8.88,5.6,7.5808,6.047999999999999,8.542488889,5.617217667,7.677720562999999,6.647469115,10.0,5.840439005,8.461538462,7.965046175,7.422341213999999,8.153074804,10.0,7.35442912,10.0,9.11814304,5.566666667000001,5.177533229,7.061128292,6.0,1.270129487,3.0,4.6792429460000005,4.334736125,6.515151515,8.190793356,4.177641393,7.247828018,6.143991695,6.10169035,6.633025445,6323.0
GIN,2010,Guinea,,,,7.235294118,15.4,,,,,,,,,,,,,,,,,,,,0.75862069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.424242424,,,,,,,1219.0
GNB,2010,Guinea-Bissau,5.05,148.0,4.0,7.65,13.99,,,0.0,66.91,,,,,,3.825,,3.2,,0.833333333,4.166666667,3.480968692,2.546821011,,,0.794871795,2.553705844,7.4008053689999995,12.99597316,8.161110227,4.597224433,9.49642972,2.517851402,0.0,6.264586329,,,7.62,11.9,7.2868,6.7829999999999995,7.4534,,6.862442493,6.862442493,10.0,,0.7692307690000001,0.0,0.384615385,6.17511447,10.0,7.4879879879999995,10.0,9.162662662999999,3.333333333,,,8.0,2.517253846,0.0,3.462646795,,5.0,7.881591526,,6.277648028,7.668460095,6.706924912000001,6.444078123,1324.0
GUY,2010,Guyana,6.21,117.0,4.0,7.25,15.35,,,0.0,53.56,7.0,33,4.0,41,5.5,4.25,3.774630725,3.749223877,4.424181784,6.666666667,2.5,4.554788309,7.070485497000001,3.6918616269999998,3.54228952,0.923076923,4.270740172,8.442170446,7.7891477710000006,8.813416964,2.966457591,9.582666667,2.086666667,5.0,7.959563519,,,7.82,10.9,5.1168,12.208,6.4684,5.49491051,7.197814533,6.346362522000001,10.0,5.358230809,6.666666667,3.650646163,5.225181213,7.0099859339999995,10.0,6.289289289,9.0,8.429763096,10.0,6.309220755,6.789401255,10.0,5.683031065,10.0,8.130275512,4.292553882,5.454545455,9.014204971,3.538000406,7.707098407,7.051947139,6.17639171,7.578810106000001,
HTI,2010,Haiti,6.21,117.0,4.0,9.952941176,6.16,9.916893733,0.805,2.0,47.16,8.0,30,,,8.0,7.467458727,1.228475,1.8256616669999999,1.95785,0.0,2.5,3.881900279,2.8305058339999998,2.641193333,2.2592033330000003,0.8918918920000001,2.010113005,6.463290916,17.68354542,6.78111493,8.047212673999999,8.860697795,5.696511022999999,10.0,8.02627591,,,9.06,4.7,7.744,5.64,8.402000000000001,4.148921667,5.462016375,4.805469021,10.0,3.321530833,9.230769231,0.0,4.184100021,6.847892261,,8.333733733999999,8.0,8.166866867000001,6.666666667,5.092215,7.464941667000001,10.0,10,10.0,8.203970556,2.695568333,2.272727273,3.29010237,2.494316667,3.616411784,7.93748393,3.717768393,6.696201938,1644.0
HND,2010,Honduras,7.21,54.0,2.0,6.341176471,18.44,10.0,0.3,8.0,15.4,9.0,25,8.0,28,8.5,8.210294118,4.330302724,4.057612487,4.55376512,5.833333333,2.5,2.861203918,7.691663485,4.34265423,2.436473344,0.896551724,4.067788267,9.195767045,4.021164776,9.150155622,2.124610945,9.059890014,4.700549929,10.0,9.35145317,9.386666667,0.92,8.9,5.5,7.0432,7.392,8.443288889,5.392272031,7.281657543,6.336964787,10.0,6.182288952,2.307692308,7.633169251,5.374383504,7.538659295,10.0,8.299825334,9.0,9.099941778,0.0,4.1352090960000005,5.7661696629999994,8.0,2.517253846,10.0,5.069772101,4.096335685,5.0,9.005475532,4.103494596,8.82582318,7.489110871,6.420039977,6.863251285,4189.0
HKG,2010,Hong Kong,9.02,1.0,1.0,8.055882353,12.61,9.477111717,2.419,8.0,16.81,10.0,17,10.0,17,10.0,8.883248517,8.467693194,7.697097199,8.540568946,8.333333332999999,8.333333332999999,7.066297747,7.9719113770000005,8.709933968,8.512912172,1.0,8.181453474,8.205964693,8.970176536,9.502764114,1.2430897159999998,9.532520325,2.337398374,10.0,9.310312283,9.986666667,0.02,10.0,0.0,10.0,0.0,9.995555556000001,8.252946117999999,9.433164708,8.843055413,10.0,8.186385957,7.692307692000001,10.0,8.626231216,9.366210546,10.0,10.0,10.0,10.0,10.0,7.7845891510000005,8.460271914,10.0,9.499231604,10.0,9.290682111,6.702065022,9.545454545,9.883991919,8.091028347,9.794764994,9.103253882999999,8.853426452,9.381369521,44857.0
HUN,2010,Hungary,7.31,44.0,2.0,3.214705882,29.07,4.545504087,20.518,8.0,18.17,7.0,32,1.0,56,4.0,4.9400524919999995,4.8678192430000005,3.41573083,5.542252971,10.0,6.666666667,6.576328444,8.035156776000001,5.412231321,6.5249111410000005,0.962962963,6.220531197000001,9.762874429,1.185627857,9.596890076000001,1.007774811,9.023912221,4.880438896,10.0,9.595919181000001,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,7.617203073,7.699119571000001,7.658161322000001,10.0,7.156088362999999,3.8461538460000004,6.416287196,5.806176467999999,7.951251892,10.0,8.35794836,10.0,9.452649453,7.233333332999999,5.286773177,7.380061137,6.0,7.755176154,10.0,7.275890634,2.230595971,7.424242424,9.760298499,4.84016501,9.245487741,6.895016568,6.7326343689999995,7.820391485,20365.0
ISL,2010,Iceland,6.48,103.0,3.0,1.882352941,33.6,7.423978202000001,9.954,7.0,20.0,4.0,46,2.0,56,3.0,4.826582786,8.046525445,6.2956035770000005,6.961771944,10.0,10.0,6.8237035729999995,9.135496081,8.788396545,8.938676285,1.0,8.332241494,5.782382667,21.08808666,8.99647193,2.508820176,8.920699047000001,5.396504767000001,0.0,5.924888411,9.746666667000001,0.38,8.88,5.6,0.9056,22.736,6.510755556,4.731849545,7.69736655,6.2146080470000005,9.479084451,3.472694647,0.7692307690000001,6.416287196,3.552737538,6.439296398,5.0,0.0,9.0,4.666666667,5.566666667000001,7.234872696,5.508967102000001,8.0,10,10.0,7.718417744,5.244565105,7.727272727000001,9.763943524,8.277948834,9.675498609,8.430694295,8.186653848999999,6.857246087,36515.0
IND,2010,India,6.39,106.0,3.0,6.764705882,17.0,8.969257575,4.282824701,6.0,25.3,7.0,31,7.0,31,7.0,7.1834908639999995,5.573202091000001,4.694261406,5.487757857999999,6.666666667,6.666666667,2.5938544080000003,6.7688415179999994,5.14583481,6.359034939,0.962962963,5.447889668999999,8.930850626,5.34574687,9.132694237,2.1682644069999997,7.601540616,11.99229692,0.0,6.41627137,7.666666667,3.5,7.48,12.6,4.004,14.99,6.383555556,5.334546904,7.574231567000001,6.454389236,10.0,6.125191313999999,0.0,0.33187692399999996,2.152356079,6.247575218,2.0,9.000681992,9.0,6.666893997000001,10.0,4.976473699,7.0246666310000005,10.0,6.299740913,10.0,8.050146874,3.289137872,4.545454545,8.089448225,3.9190655469999998,4.264218005,7.152831077,5.210025879,6.642355583,4353.0
IDN,2010,Indonesia,6.85,78.0,3.0,7.720588235,13.75,9.361580381,2.843,7.0,,8.0,30,7.0,35,7.5,7.895542154,4.33228275,4.529095042,4.9422025000000005,4.166666667,5.0,1.168872561,6.034135412,4.56458075,5.5736370829999995,0.896551724,4.247377398999999,8.659917726,6.700411367999999,8.31770306,4.20574235,8.97344902,5.132754900000001,10.0,8.987767452,9.48,0.78,8.64,6.8,5.5392,11.152000000000001,7.8864,5.525474833,7.053280543,6.289377687999999,10.0,5.9792404999999995,1.5384615380000002,1.216882054,2.9115280310000005,6.77182643,5.0,9.463157482,10.0,8.154385827,2.233333333,5.278585833,5.4709534170000005,10.0,0,5.0,4.663812097,4.279793667,5.454545455,8.218448105,3.950032536,8.151821479,7.01831916,6.178826732999999,6.332341552999999,7378.0
IRN,2010,Iran,5.91,131.0,4.0,5.711764706,20.58,7.989100817000001,7.88,6.0,26.7,7.0,35,7.0,37,7.0,6.675216381,4.69446651,3.7588352169999997,5.630340474,8.333333332999999,6.666666667,5.625799005,5.868159459,5.768125962999999,5.695586326,0.517241379,4.38662408,9.796568287000001,-1.017158566,6.936788862999999,7.658027843999999,7.972570566,10.13714717,10.0,8.676481929,7.52,3.72,4.8,26.0,0.0,28.08,4.106666667,4.052482143,6.070316452999999,5.061399298,10.0,3.111793075,0.0,0.0,1.037264358,5.0513325810000005,0.0,8.924924925,4.0,4.308308308,7.766666667000001,4.393633135,4.112804402,8.0,2.517253846,1.0,4.631726341999999,3.0419735980000002,3.03030303,9.701655826,4.709163516,5.055939631,6.143991695,5.280504549,4.740179733,17716.0
IRL,2010,Ireland,7.67,16.0,1.0,3.411764706,28.4,5.267847411,17.867,7.0,21.21,5.0,41,3.0,55,4.0,4.919903028999999,8.776842817999999,5.806449804,8.313150155,10.0,10.0,3.931480739,7.145205933,8.386847948,7.785701102999999,1.0,7.793964278,9.225746887,3.871265565,8.888871157,2.777822108,9.810766721,-0.946166395,10.0,9.481346191,9.632409333,0.5513859999999999,8.98,5.1,6.4096,8.976,8.340669777999999,7.87589268,8.828370673,8.352131677000001,10.0,8.369047887,8.461538462,8.739425664,8.523337337000001,8.804034697999999,8.0,0.0,10.0,6.0,8.9,4.56299699,5.058028416,10.0,9.129699063,10.0,7.941787411,4.010396649,9.242424242,9.579583299,7.9030567320000005,8.559828999999999,9.148091187999999,8.073896852,7.3385614210000005,48910.0
