ISO_Code,Year,Countries,Economic Freedom Summary Index,Rank,Quartile,Government Consumption,1A data,Transfers and subsidies,1B data,Government enterprises and investment,1C data,Top marginal income tax rate,1Di data,Top marginal income and payroll tax rate,1Dii data,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,3A data,Standard deviation of inflation,3B data,Inflation: Most recent year,3C data,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector),4Ai data,Mean tariff rate,4Aii data,Standard deviation of tariff rates,4Aiii data,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting

a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,RGDP Per Capita
BGD,2015,Bangladesh,6.32,118.0,3.0,9.723529412000001,6.94,9.581689663999999,2.0351989319999997,7.0,23.61,9.0,25,9.0,25,9.0,8.826304769,3.175273527,3.0430307830000003,4.73456947,4.166666667,3.333333333,0.941148344,3.087607391,3.477366368,4.298547449,0.794871795,3.01713395,9.826859697,0.865701513,9.529689589,1.175776028,8.761143954,6.19428023,0.0,7.02942331,6.526666667000001,5.21,7.22,13.9,6.1636,9.591000000000001,6.636755556000001,5.908625956,0.162721893,3.035673925,10.0,5.23988962,0.0,7.633169251,4.291019623,5.9908622760000005,5.0,8.632,10.0,7.877333332999999,10.0,5.481346126,6.723143772,10.0,1.36606213,10.0,7.261758671,3.6009680669999997,3.777777778,9.230716001000001,2.01905558,6.526637241,5.1239429869999995,5.046516275,6.728536093,3068.0
BRD,2015,Barbados,6.48,108.0,3.0,7.25,15.35,5.968941943,15.29398307,6.0,29.0,6.0,38,6.0,38,6.0,6.304735486,6.43016363,4.110034171000001,6.498498057000001,9.8,,3.8030033289999996,6.174797133999999,7.495681957,4.895975012,0.871794872,5.756723061000001,7.851123006,10.74438497,9.251455353999999,1.871361614,9.787756706,-1.061216469,0.0,6.722583767000001,8.353333333,2.47,7.86,10.7,5.6344,10.914000000000001,7.282577777999999,6.036763717,5.286997017,5.661880367,10.0,6.842255023,0.0,9.403179512000001,5.415144845,7.089900747000001,8.0,0.8590000000000001,10.0,6.286333332999999,8.9,3.902928673,6.350840487,8.0,5.683031065,10.0,7.139466704,4.17781926,6.666666667,9.438867635,4.353261423,4.999638041,7.3433896270000005,6.1632737760000005,6.529691271,
BEL,2015,Belgium,7.44,45.0,2.0,2.405882353,31.82,2.312475571,28.71321466,10.0,10.2102675,2.0,50-55,0.0,67-70,1.0,3.9295894810000003,7.88354695,5.901105294,7.886131474,10.0,8.333333332999999,5.5650377529999995,4.767009987,8.133333524,6.821897258,1.0,7.254599507999999,8.997155302000001,5.014223492,9.755244839,0.611887902,9.887881204,0.56059398,10.0,9.660070336,9.100559738,1.349160394,8.98,5.1,7.0012,7.497000000000001,8.360586579,6.616761495,9.963313765,8.29003763,10.0,7.579257915,3.8461538460000004,7.743794892,6.389735551,8.26008994,10.0,8.815,10.0,9.605,8.9,3.741834142,4.792579769,6.0,10,10.0,7.239068985,3.727821033,8.666666667000001,9.763677072,6.888927796,7.459619696,8.195298439,7.450335117000001,8.098134701000001,39531.0
BLZ,2015,Belize,6.51,105.0,3.0,6.570588235,17.66,8.431259972000001,6.257275902000001,4.0,37.43,9.0,25,,,9.0,7.0004620520000005,3.4276800000000005,4.3,4.732721667,6.4,,3.329065561,7.288231811,3.3289999999999997,4.767009987,0.837837838,4.31589901,8.223353187999999,8.883234061,9.808329507,0.47917623299999995,9.82294369,-0.885281552,0.0,6.963656596,7.34,3.99,7.82,10.9,5.0732,12.317,6.7444,3.89624,5.82368947,4.859964735,10.0,5.1620925,0.0,6.305661555,3.822584685,6.356737355,10.0,9.84382553,10.0,9.947941842999999,7.766666667000001,6.029968332999999,,8.0,6.546424852,10.0,7.66861197,3.163708333,4.8888888889999995,8.259506764,2.8361028569999998,9.138166003,8.352229009,6.106433643,7.907662485,
BEN,2015,Benin,5.78,134.0,4.0,5.917647059,19.88,9.771474636,1.3386880859999999,4.0,31.77,4.0,45,3.0,46,3.5,5.797280423999999,3.934192598,3.905482113,4.738601724,6.3,,1.068746974,3.951912272,5.126262506000001,5.51865677,0.658536585,3.580765453,8.960045627000001,5.199771866,8.843996413,2.890008968,9.935920256000001,0.320398718,0.0,6.9349905739999995,5.84,6.24,7.56,12.2,7.0232,7.442,6.807733333,3.6655410930000003,5.155640889,4.410590991,10.0,4.904829741,0.7692307690000001,1.770010261,2.481356924,5.924920312,10.0,5.275,10.0,8.425,6.1,4.344017088,7.38246274,8.0,7.5681075,1.0,5.732431221000001,3.905361454,2.222222222,9.670763841,2.9807733460000003,9.478953083,6.973481854,5.871925967,6.676452396,2141.0
BTN,2015,Bhutan,7.11,70.0,2.0,4.611764706000001,24.32,9.899419951,0.86912878,8.0,16.93,9.0,25,8.0,26,8.5,7.752796163999999,6.362658389,5.66813362,6.230340745,9.2,,7.365354835,6.901202527000001,7.581121127,7.763226348,0.923076923,6.859619903,9.909581959,-0.452090204,9.109634236,2.2259144109999998,9.095658291,4.521708543,0.0,7.028718621,9.813333333,0.28,5.54,22.3,4.202,14.495,6.518444444,4.991342785,9.501185608,7.246264197,10.0,3.5804146510000003,0.0,0.33099191899999997,1.30380219,6.267127707999999,5.0,8.911,9.0,7.6370000000000005,10.0,5.0742637,7.061729512,10.0,10,10.0,8.689332202000001,4.470668703,2.444444444,9.479835052,5.494815851,8.454420089,9.04720725,6.5652318979999995,7.630521367,
BOL,2015,Bolivia,6.05,126.0,4.0,5.8382352939999995,20.15,8.836512262000001,4.77,0.0,63.24,10.0,13,10.0,13,10.0,6.168686889,0.9562560590000001,1.7036460219999998,3.41251835,5.0,4.166666667,3.993334023,6.75412581,2.460317612,5.990888701,0.871794872,3.5811338839999998,8.502350799,7.488246007000001,7.218714069,6.953214827,9.187807255,4.060963726000001,10.0,8.727218031,9.237933285,1.143100072,7.68,11.6,6.3808,9.048,7.766244427999999,4.917059725,1.893491124,3.4052754239999996,10.0,4.038498776,4.615384615,10.0,6.21796113,6.8473702460000005,8.0,4.8919999999999995,10.0,7.630666667000001,1.1,2.0130986230000003,5.629298853,8.0,,3.0,3.948479495,2.542555873,1.333333333,7.990964469,2.10330488,5.665245615,0.0,3.2725673619999998,4.950571175,5969.0
BIH,2015,Bosnia and Herzegovina,6.62,97.0,3.0,5.680498801000001,20.68630408,5.140514989,18.33430999,4.0,32.73,10.0,10,3.0,47,6.5,5.330253447,3.182647375,2.765796522,3.5687556839999997,5.1,,3.79305681,7.837119866,4.924924771000001,5.064245907,0.871794872,4.23921142,9.341706259,3.291468707,9.678614879,0.803462803,9.75,-1.25,5.0,8.442580284,10.0,0.0,8.74,6.3,6.976,7.56,8.572000000000001,4.927628005,9.595859387,7.261743696,10.0,4.234496616,3.076923077,8.518174381,5.276531358,7.777568764,10.0,8.63,10.0,9.543333333,4.433333333,3.762868587,7.078900287000001,10.0,7.505751282,10.0,7.130142247999999,2.632546216,4.666666667,7.733183262000001,3.194266007,7.9663148029999995,5.392966822000001,5.264323963,7.312599848,10305.0
BWA,2015,Botswana,7.37,49.0,2.0,3.835294118,26.96,7.164032698,10.908,4.0,30.06,9.0,25,9.0,25,9.0,5.999831704,6.106442475,5.880076104,6.712916092,8.333333332999999,5.833333333,3.3360712510000003,8.09678184,6.403508981,5.501300864,0.974358974,6.164800355,8.06421763,9.678911851,8.887385147,2.781537132,9.387928592,3.0603570419999997,10.0,9.084882842,3.76,9.36,8.48,7.6,5.5312,11.172,5.9237333329999995,6.028552895,9.195862963,7.612207928999999,10.0,6.670992701,5.384615385,10.0,7.351869362,7.721952656,8.0,9.582,10.0,9.193999999999999,10.0,4.7551834269999995,6.578386039,10.0,3.783564734,10.0,7.519522367,4.144449477,6.222222222,8.454802897,5.142476683,9.288069887,8.296182377000001,6.92470059,7.879407652,14626.0
BRA,2015,Brazil,5.77,136.0,4.0,4.655882353,24.17,6.351135938,13.89133111,4.0,30.46,8.0,28,4.0,44,6.0,5.251754573,4.61221637,2.901949104,5.215888328,6.666666667,3.333333333,3.742242077,8.387559107000001,4.037940502,2.766374195,0.923076923,4.45130018,9.059565855,4.702170724,9.609112844,0.97721789,8.194552045,9.027239774,5.0,7.965807686000001,8.253333332999999,2.62,7.3,13.5,6.112,9.72,7.221777778,4.459823113000001,5.826045917999999,5.142934516,10.0,5.226519357,2.307692308,7.9851800410000005,5.173130569,6.884460716,5.0,3.7030000000000003,7.0,5.234333333,2.233333333,1.54053579,5.154770003,6.0,7.126625477,3.0,4.175877433999999,1.139116307,4.666666667,7.400062492999999,2.681466113,4.999276082,0.0,3.4810979439999996,4.297102904,15377.0
