State,Year,EFW,GDP,Population,GDP Per Capita,Log GDP,GDP % Growth,Log Population,Population % Growth,Log GDP Per Capita,GDP Per Capita % Growth,T01,T09,T10,T11,T12,T13,T14,T15,T16,T19,T20,T21,T22,T23,T24,T25,T27,T28,T29,T40,T41,T50,T51,T53,T99,TotalTax,TotalTax/GDP
KY,1990,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,1990,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,1990,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,1990,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,1990,8.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,1990,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,1990,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,1990,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,1990,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,1990,8.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,1990,8.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,1990,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,1990,8.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,1990,8.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,1990,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,1990,8.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,1990,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,1990,8.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,1990,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,1990,8.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,1990,8.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,1990,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,1990,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,1990,8.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,1990,8.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,1990,8.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,1990,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,1990,8.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
