DATE,PPI: Lumber and Wood Products Annual % Change,PPI: Copper and Copper Products Annual % Change,PPI: Gas and Oil Extraction Annual % Change
2000-01-31,,,
2000-02-29,,,
2000-03-31,,,
2000-04-30,,,
2000-05-31,,,
2000-06-30,,,
2000-07-31,,,
2000-08-31,,,
2000-09-30,,,
2000-10-31,,,
2000-11-30,,,
2000-12-31,,,
2001-01-31,-11.898466419883658,0.8961911874533213,138.1104033970276
2001-02-28,-11.099365750528545,-0.30007501875469744,70.27290448343079
2001-03-31,-10.07957559681698,0.5384615384615321,40.560747663551396
2001-04-30,-8.749329039184117,-0.9338521400778177,47.71178188899707
2001-05-31,0.443704936217415,-1.6691957511380973,33.45554537121907
2001-06-30,2.0044543429843964,-2.601377199693944,-6.010518407212617
2001-07-31,-0.3975014196479165,-5.651846269781446,-19.87951807228916
2001-08-31,0.7505773672055405,-10.118168389955684,-16.01255886970173
2001-09-30,0.9918319719953272,-12.981455064194003,-32.41719520789288
2001-10-31,-2.505827505827496,-15.461703650680025,-47.78877887788779
2001-11-30,-2.5234741784037618,-12.564671101256476,-37.711577522004056
2001-12-31,-3.2429245283018826,-13.115942028985506,-54.26401869158879
2002-01-31,1.0204081632653184,-10.066617320503324,-62.5501560410165
2002-02-28,1.843043995243776,-7.750188111361933,-55.40927303949628
2002-03-31,3.1268436578171244,-4.590665646518732,-38.36436170212766
2002-04-30,2.764705882352936,-2.199528672427331,-26.235992089650615
2002-05-31,-4.472667034787403,-3.3179012345678993,-22.596153846153843
2002-06-30,-7.3144104803493315,0.3142183817753441,-18.705035971223015
2002-07-31,-2.9646522234891726,0.15974440894568342,-4.135338345864669
2002-08-31,-1.7765042979942636,-2.054231717337718,-0.9345794392523366
2002-09-30,-1.8486424032351123,-2.2131147540983664,17.622523461939508
2002-10-31,0.478182904961133,0.16934801016088574,51.07458912768648
2002-11-30,0.9030704394942912,3.381234150464918,40.000000000000014
2002-12-31,2.1937842778793293,3.0025020850708906,71.00893997445723
2003-01-31,-0.11883541295306665,3.4567901234567877,81.54761904761905
2003-02-28,-0.467016929363695,3.4257748776509,118.48523748395374
2003-03-31,-3.3180778032036673,0.9623095429029727,137.32470334412082
2003-04-30,-3.0910131654264372,-0.5622489959839383,34.22698838248435
2003-05-31,-2.0809248554913284,0.47885075818037137,35.492457852706295
2003-06-30,0.7067137809187107,-0.5481597494126911,66.4700098328417
2003-07-31,2.9964747356051813,2.7910685805422553,57.549019607843135
2003-08-31,2.683780630105015,9.312080536912749,42.54716981132074
2003-09-30,7.886992348440258,10.47778709136631,32.446808510638306
2003-10-31,6.722189173111248,15.638207945900273,22.25941422594142
2003-11-30,7.517899761336522,18.070318887980385,11.56832298136643
2003-12-31,7.811568276684566,20.485829959514177,15.832710978342046
2004-01-31,9.280190362879237,26.491646778042966,18.754098360655735
2004-02-29,11.847507331378292,36.35646687697162,1.3513513513513598
2004-03-31,18.16568047337277,46.46544876886418,-24.818181818181817
2004-04-30,22.031896042528043,51.69628432956384,14.314247669773629
2004-05-31,26.446280991735517,39.95234312946783,23.182711198428297
2004-06-30,22.573099415204666,39.448818897637786,16.952155936207912
2004-07-31,18.996006845407855,42.74631497284715,22.339763534536417
2004-08-31,24.431818181818187,41.7498081350729,34.149569821310386
2004-09-30,19.203491543917075,42.109256449165386,23.15930388219545
2004-10-31,14.214046822742477,41.88596491228069,38.94592744695415
2004-11-30,7.4361820199777995,34.76454293628808,63.395963813500366
2004-12-31,7.577433628318575,35.95430107526882,38.42682140554481
2005-01-31,7.566684812193802,26.981132075471702,11.816675869685266
2005-02-28,7.76088096486629,19.72238288027761,19.304347826086964
2005-03-31,3.3550325488232335,15.075921908893708,33.796856106408704
2005-04-30,-0.871248789932233,13.631522896698623,37.68200349446711
2005-05-31,-8.076563958916893,22.5312145289444,19.085592769803306
2005-06-30,-3.482824427480913,29.07961603613778,12.222222222222223
2005-07-31,-5.08149568552253,25.76086956521739,26.347914547304185
2005-08-31,-11.415525114155257,29.236599891716295,30.98174642328566
2005-09-30,-9.51945080091534,31.340096102509342,72.22826086956519
2005-10-31,-4.4411908247925735,34.93044822256568,73.79310344827587
2005-11-30,-1.0847107438016534,41.264131551901315,43.356047700170365
2005-12-31,-0.6683804627249379,42.56055363321798,45.41220307405682
2006-01-31,0.9109311740890691,45.715700842000984,52.543209876543195
2006-02-28,-2.2384428223844233,47.3913043478261,25.9475218658892
2006-03-31,-3.0038759689922534,48.44486333647504,11.658382286488923
2006-04-30,-2.9296875,70.75913776944702,8.756345177664993
2006-05-31,1.8791264601320412,113.43214451134784,15.758928571428577
2006-06-30,-4.943153732081063,94.22572178477691,8.775877587758774
2006-07-31,-5.4040404040403995,100.86430423509074,1.6908212560386326
2006-08-31,-5.97938144329897,88.85630498533726,1.7325800376647882
2006-09-30,-7.84016186140617,82.5609756097561,-23.60366046071315
2006-10-31,-10.827374872318696,66.8957617411226,-45.663265306122454
2006-11-30,-10.391644908616193,52.63732266278649,-27.361853832442073
2006-12-31,-10.71428571428571,44.72954230235784,-17.9372197309417
2007-01-31,-11.283851554663993,31.781101291638336,-29.52411783748786
2007-02-28,-11.996017919362867,24.28711897738445,-4.205246913580241
2007-03-31,-11.338661338661337,26.126984126984134,2.1448806151355804
2007-04-30,-10.96579476861167,25.98792535675083,0.0
2007-05-31,-12.462612163509467,3.342013888888884,3.4323177786347747
2007-06-30,-7.8523140925637165,4.729729729729737,12.081092263136117
2007-07-31,-4.324612920448489,4.173838209982783,6.730007917656389
2007-08-31,-3.0701754385964897,2.5510204081632626,-5.923731951129218
2007-09-30,-4.3907793633369945,2.9392117568470155,5.824039653035928
2007-10-31,-1.9473081328751474,9.40288263555249,45.852895148669816
2007-11-30,-2.564102564102566,4.671115347950416,28.75255623721882
2007-12-31,-3.014492753623177,1.3416387158600829,23.30210772833723
2008-01-31,-7.4618428490672795,13.438225432035079,47.86403307303628
2008-02-29,-8.427601809954755,25.05274261603376,34.91743858236005
2008-03-31,-8.676056338028172,27.05763906367984,47.226624405705245
2008-04-30,-8.022598870056486,12.938357656284039,52.003111629716045
2008-05-31,-3.7015945330296174,7.1818563628727405,62.63982102908279
2008-06-30,-3.8374717832956984,6.860215053763441,68.32779623477299
2008-07-31,-6.863839285714279,5.349029326724497,81.89910979228485
2008-08-31,-5.373303167420818,3.7205277958035854,50.96418732782371
2008-09-30,-4.305396096440872,-2.249621457927764,33.17720530835284
2008-10-31,-6.892523364485969,-21.183605186114598,-7.224606580829773
2008-11-30,-6.2799043062200965,-31.693989071038253,-36.62642947903431
2008-12-31,-7.411835026897795,-35.744680851063826,-41.72206394428617
2009-01-31,-8.124618204031753,-40.109140518417476,-43.9888164026095
2009-02-28,-8.27671402100062,-45.25516659637283,-54.0
2009-03-31,-10.672424429364579,-48.296354992076076,-58.53067814854682
2009-04-30,-10.933660933660938,-42.50723240115718,-59.8259979529171
2009-05-31,-15.020697811945594,-39.42006269592476,-61.34800550206327
2009-06-30,-15.140845070422538,-35.379351982290196,-57.85087719298245
2009-07-31,-9.586578789694421,-36.639874534405024,-63.315660685154974
2009-08-31,-9.503885236102816,-22.168925964546403,-49.217935349322204
2009-09-30,-8.458308338332332,-16.618720955963706,-45.31066822977725
2009-10-31,-5.018820577164362,0.10612894667021422,-18.735543562066294
2009-11-30,-2.169751116783647,29.866666666666664,17.042606516290725
2009-12-31,0.9683666881859176,51.2877115526122,27.919608908202065
2010-01-31,4.521276595744661,63.70539104024297,50.637825845812536
2010-02-28,12.05387205387205,58.51309707241909,66.96950032446465
2010-03-31,16.85082872928174,65.47892720306511,62.81635301752111
2010-04-30,21.241379310344843,49.51358604495135,52.86624203821657
2010-05-31,25.26096033402925,33.69987063389392,34.51957295373666
2010-06-30,17.634854771784237,21.582061663033315,17.95005202913631
2010-07-31,10.93439363817097,22.92698019801982,29.349638688160073
2010-08-31,8.982826948480849,14.442658092175797,20.89322381930183
2010-09-30,7.404980340760159,17.462845010615723,17.684887459807076
2010-10-31,7.397622192866571,25.52345613570104,10.721062618595823
2010-11-30,6.849315068493156,24.15297741273099,0.8993576017130689
2010-12-31,6.39386189258313,21.206225680933844,8.87473460721868
2011-01-31,7.506361323155231,19.294990723562154,-3.6450662739322626
2011-02-28,1.3822115384615197,29.283110571081416,0.9327633113097367
2011-03-31,0.47281323877068626,19.587867561935646,9.605420486249505
2011-04-30,-4.038680318543808,18.577518510208655,24.0
2011-05-31,-7.833333333333325,21.77068214804063,27.469135802469147
2011-06-30,-2.821869488536144,30.404713114754124,24.34936038817821
2011-07-31,-0.8960573476702538,34.759627485527304,23.24881822088527
2011-08-31,1.6363636363636358,19.316319363146796,12.229299363057322
2011-09-30,1.0372178157413092,10.393131495707175,23.31511839708562
2011-10-31,1.4760147601476037,-6.503378378378377,12.639245929734354
2011-11-30,-0.3663003663003761,-6.53297498449451,17.99660441426145
2011-12-31,-1.3822115384615419,-9.81139646869984,4.407176287051495
2012-01-31,-2.8994082840236746,-11.9945567651633,1.0317157050057313
2012-02-29,-1.4819205690574933,-10.131578947368414,-1.0011551790527373
2012-03-31,-0.4117647058823448,-7.182962245885771,-5.563636363636371
2012-04-30,0.8298755186721962,-11.485335856196777,-16.767473118279586
2012-05-31,5.364677516576255,-9.21732220897894,-21.3420961604981
2012-06-30,5.686630369025991,-14.378314672952275,-26.07307555870876
2012-07-31,2.893309222423146,-18.061262607396333,-23.500697350069732
2012-08-31,4.472271914132375,-14.71742543171115,-9.080590238365494
2012-09-30,5.555555555555558,-6.876790830945567,-10.339734121122602
2012-10-31,3.3939393939393936,3.7714543812104706,-8.596424496006073
2012-11-30,8.455882352941192,-2.2119000221189955,-13.237410071942445
2012-12-31,10.847044485070079,0.8898776418242438,-9.376167351512887
2013-01-31,16.331505179768445,0.7952286282306265,-5.559757942511345
2013-02-28,17.990373044524667,-3.9113156243463787,-2.683780630105026
2013-03-31,20.555227406969866,-7.092198581560282,-4.158644589911431
2013-04-30,22.516166960611407,-7.716973065412569,4.561970125151404
2013-05-31,14.816933638443919,-7.067833698030634,15.303430079155667
2013-06-30,10.13165426445335,-3.7164487267721924,24.712092130518215
2013-07-31,11.59929701230229,-6.450877592888082,23.245214220601618
2013-08-31,11.01598173515983,-1.9098021168890922,12.068248023304196
2013-09-30,12.299771167048057,-6.6373626373626315,11.902800658978574
2013-10-31,17.467760844079727,-7.573449401523402,8.863920099875156
2013-11-30,15.593220338983048,-4.817914498982134,2.4046434494195745
2013-12-31,12.91918636613525,-7.056229327453146,6.8013190436933435
2014-01-31,10.267155578837084,-6.22397545474469,6.407689227072488
2014-02-28,9.535951045385026,-8.07575097953852,21.02318145483615
2014-03-31,6.95737383635473,-7.453973955994608,14.664523905182802
2014-04-30,3.3109404990403046,-6.926106092193651,8.996138996139003
2014-05-31,8.171400099651226,-4.002825523899222,6.598016781083138
2014-06-30,12.422037422037423,-3.4786752442220514,7.772220084647952
2014-07-31,13.175853018372695,1.340155945419097,-0.4437869822485174
2014-08-31,11.362467866323911,-2.979122683556179,-5.941329372447079
2014-09-30,11.411105450840541,-3.225047080979282,-8.759661391240336
2014-10-31,6.7864271457085845,-4.7562985636920185,-13.60856269113151
2014-11-30,3.2258064516129004,-4.800380228136881,-13.643724696356275
2014-12-31,2.2395326192794496,-6.903914590747339,-27.209571593979163
2015-01-31,-0.23752969121140222,-11.942042533302166,-47.61008656379375
2015-02-28,-3.2588454376163867,-14.11318967558608,-53.566710700132106
2015-03-31,-6.27576729271645,-11.25667151868025,-51.3665031534688
2015-04-30,-5.805852299117509,-7.615729218516676,-50.12398157987956
2015-05-31,-8.47535697835099,-5.6414029923963716,-45.25939177101967
2015-06-30,-8.368007397133626,-7.92396939027401,-44.698322027847205
2015-07-31,-7.189239332096475,-14.474633325318587,-47.17682020802377
2015-08-31,-9.233610341643583,-17.359767891682786,-50.17765495459929
2015-09-30,-12.299954275262904,-17.1491121381659,-49.49576442113756
2015-10-31,-10.140186915887849,-17.40420271940667,-44.469026548672566
2015-11-30,-7.481060606060597,-19.370943584623067,-47.304266291608066
2015-12-31,-8.047619047619047,-21.126401630988777,-46.60657476139979
2016-01-31,-7.571428571428573,-19.612526539278143,-33.405172413793096
2016-02-29,-6.737247353224252,-15.439757375241248,-38.83357041251778
2016-03-31,-3.8123167155425186,-12.821213778020791,-34.22190201729107
2016-04-30,-0.5424063116370892,-14.601293103448276,-27.41477272727273
2016-05-31,2.2647206844489176,-17.702105536781897,-25.751633986928113
2016-06-30,2.724520686175591,-16.99731903485254,-20.787604906391223
2016-07-31,2.3488255872064157,-10.289569862243454,-7.876230661040784
2016-08-31,4.9338758901322555,-6.348741954359271,-1.5055467511885912
2016-09-30,7.090719499478615,-7.868467410452151,3.514376996805102
2016-10-31,6.552262090483607,-3.8611194253217684,12.988047808764946
2016-11-30,4.145342886386905,4.8297213622291,15.480427046263356
2016-12-31,5.178663904712577,14.571890145395816,54.518371400198596
2017-01-31,4.636785162287471,16.50709805216244,79.18015102481122
2017-02-28,8.41073271413828,19.302249755461354,86.16279069767441
2017-03-31,7.621951219512191,13.201630605205406,48.30230010952903
2017-04-30,7.040158651462569,13.406940063091488,45.98825831702542
