DATE,Private Hourly Nonsupervisory Earnings Annual % Change,$\pi_{Urban}$
1991-01-31,3.592814371257491,5.651491365777073
1991-02-28,3.1777557100297837,5.312500000000009
1991-03-31,2.9673590504451175,4.895104895104896
1991-04-30,3.359683794466428,4.8875096974398735
1991-05-31,3.2480314960629864,4.953560371517041
1991-06-30,3.039215686274521,4.695919938414161
1991-07-31,3.131115459882561,4.447852760736182
1991-08-31,3.125,3.7993920972644313
1991-09-30,2.9182879377432025,3.3911077618688834
1991-10-31,2.8155339805825186,2.921348314606753
1991-11-30,2.8100775193798277,2.9895366218236186
1991-12-31,2.9013539651837617,3.064275037369213
1992-01-31,2.5048169556840083,2.600297176820199
1992-02-29,2.6948989412896918,2.8189910979228294
1992-03-31,2.6897214217098897,3.185185185185202
1992-04-30,2.48565965583174,3.1804733727810675
1992-05-31,2.3832221163012424,3.0235988200590036
1992-06-30,2.473834443387246,3.088235294117636
1992-07-31,2.371916508538896,3.1571218795888534
1992-08-31,2.367424242424243,3.1478770131771583
1992-09-30,2.2684310018903586,2.988338192419837
1992-10-31,2.455146364494798,3.2023289665211063
1992-11-30,2.4505183788878337,3.0478955007256836
1992-12-31,2.3496240601503793,2.9006526468455363
1993-01-31,2.725563909774431,3.258508327299059
1993-02-28,2.6241799437675573,3.2467532467532534
1993-03-31,2.8063610851262855,3.086862885857844
1993-04-30,2.518656716417911,3.2258064516129004
1993-05-31,2.5139664804469275,3.2211882605583497
1993-06-30,2.41411327762302,2.9957203994293913
1993-07-31,2.4096385542168752,2.77580071174377
1993-08-31,2.4051803885291267,2.767920511000721
1993-09-30,2.5878003696857554,2.689313517338987
1993-10-31,2.580645161290329,2.7503526093088704
1993-11-30,2.575896964121438,2.6760563380281877
1993-12-31,2.662993572084482,2.748414376321362
1994-01-31,2.4702653247941297,2.524544179523147
1994-02-28,2.7397260273972712,2.515723270440251
1994-03-31,2.3657870791628843,2.506963788300842
1994-04-30,2.547770700636942,2.361111111111125
1994-05-31,2.5431425976385036,2.288488210818307
1994-06-30,2.538531278331835,2.4930747922437657
1994-07-31,2.624434389140262,2.7700831024930705
1994-08-31,2.619692863595291,2.900552486187835
1994-09-30,2.6126126126126303,2.963473466574773
1994-10-31,2.6954177897573928,2.6080988332189525
1994-11-30,2.690582959641241,2.674897119341546
1994-12-31,2.5939177101967914,2.674897119341546
1995-01-31,2.5000000000000133,2.8043775649794878
1995-02-28,2.488888888888874,2.862985685071595
1995-03-31,2.666666666666684,2.853260869565233
1995-04-30,2.5732031943212164,3.0529172320217013
1995-05-31,2.657218777679371,3.186440677966096
1995-06-30,2.8293545534924913,3.0405405405405483
