,Ticker,Beta,Percent Return,Beta Decitile
0,MMM,0.9947594167782554,182.86211816259458,4
1,AOS,1.095466827693861,761.0723778775719,5
2,ABT,0.6589258073136559,443.2291206712497,1
3,ABBV,0.9840888598967749,321.90460269697985,4
4,ABMD,1.3157534626970289,3609.3823878390585,6
5,ACN,1.1291160288163604,672.0382118930602,5
6,ATVI,0.6564675525871195,816.8900335447767,1
7,ADM,0.8335519547331602,114.52568983484201,2
8,ADBE,1.0676512994164298,1248.3957753025043,4
9,AAP,1.1946428540828482,302.8041919024238,5
10,AMD,2.2908778541618653,845.463926678371,9
11,AES,1.0914993426477098,121.42278902931093,5
12,AFL,1.1680309723081737,145.30906975355109,5
13,A,1.2304708722123243,475.7764752138862,6
14,APD,0.909175853302789,369.2904021917388,3
15,AKAM,0.6511527976761085,305.0540029117973,1
16,ALK,1.4272610027394752,563.3235500140266,7
17,ALB,1.702567066786776,359.8281288960874,8
18,ARE,0.8773067631282967,291.3753053183524,3
19,ALGN,1.9730912661300788,2788.5405669341217,9
20,ALLE,1.103927928352735,154.96940873630908,5
21,LNT,0.4422435206505275,402.34290692354546,0
22,ALL,0.9740796803107236,358.3563233150192,4
23,GOOGL,1.130341409952909,458.7195424902794,5
24,GOOG,1.1287141877370954,461.13171760117905,5
25,MO,0.46566073282943377,275.0744760922363,0
26,AMZN,1.046027622732571,2332.360029947796,4
27,AMCR,0.6604011150209265,102.61442915165698,1
28,AEE,0.3060979015770065,334.81808578275013,0
29,AAL,0.9719293088263957,250.6878168861376,4
30,AEP,0.2959251505787714,267.6049922692502,0
31,AXP,1.112821455970331,249.1476688617721,5
32,AIG,1.5311480564177555,79.80468363882837,8
33,AMT,0.2944886977638402,509.9300653844321,0
34,AWK,0.25227827651051177,786.4188679059735,0
35,AMP,1.6488545261628256,531.7426204798853,8
36,ABC,0.5467486615299842,334.23841919781444,1
37,AME,1.181747880808927,656.8393206005037,5
38,AMGN,0.6407370133473016,399.6673128508723,1
39,APH,1.277878468327487,519.4010047897395,6
40,ADI,1.2260809349314272,518.2154148914748,6
41,ANSS,1.1365961920652405,714.9641415033941,5
42,ANTM,0.9026459908543991,528.4217609669531,3
43,AON,1.0018983240162502,533.5548338238997,4
44,APA,4.026192546978681,-84.07205398940425,9
45,AAPL,1.2056867897814931,1912.4593323360448,6
46,AMAT,1.5885091773192224,651.5740593013231,8
47,APTV,1.8074457014352259,712.8173623203512,9
48,ANET,1.0152444121505817,428.30910422585225,4
49,AJG,0.7963555563926159,688.7072330631845,2
50,AIZ,0.8221410624871567,466.2848771189063,2
51,T,0.6217612991767204,86.05206641873134,1
52,ATO,0.3318053425408148,354.49049862403064,0
53,ADSK,1.516530998015845,1089.4818676680484,7
54,ADP,0.8267893866446342,517.2355853152607,2
55,AZO,0.6131636077788148,650.1360188338821,1
56,AVB,0.8893649423009545,181.68903624767444,3
57,AVY,1.0653141246407345,449.57170287356786,4
58,BKR,1.74676318430261,-11.602046117211827,8
59,BLL,0.6033204296288578,679.4450784099034,1
60,BAC,1.5562045310700812,120.73615050463636,8
61,BBWI,1.2831019945578745,92.59450818015624,6
62,BAX,0.598038290156334,211.8048446504763,1
63,BDX,0.802222151540571,285.78932115560997,2
64,BRK-A,0.7493090589722157,249.21184738955824,2
65,BRK-B,0.7445849555480365,250.150997950594,2
66,BBY,1.6331341582409855,236.20266935473362,8
67,BIO,0.9449217940558118,495.6268377255815,3
68,TECH,0.918219462157475,429.9691692690538,3
69,BIIB,0.6368203219837838,356.4877020815276,1
70,BLK,1.2517782799516,307.92019943137194,6
71,BK,1.1923697967588005,87.34034504934002,5
72,BA,1.429464050027437,392.74923465846183,7
73,BKNG,1.1594186223052494,894.4945315066119,5
74,BWA,1.669567766714681,154.1010469207882,8
75,BXP,1.0797487567993,98.6802313942905,4
76,BSX,0.9487495209517433,299.0011082097491,3
77,BMY,0.5341858123817596,246.15203438347967,1
78,AVGO,0.9046623817928052,2864.8059714356045,3
79,BR,0.8706054531035442,762.5532327603294,2
80,BRO,0.8184879807843284,505.0325779487406,2
81,BF-B,0.6762413621364174,720.5599959984407,1
82,CHRW,0.535696226676449,103.78693029340798,1
83,CDNS,1.1026038041351454,2129.2482880221155,5
84,CZR,3.328369439363163,1607.3562820994998,9
85,CPB,0.4840205411463317,99.89030707667546,0
86,COF,1.5758920981437938,199.49492825497742,8
87,CAH,0.8157329354205409,122.5461868217246,2
88,KMX,1.6975688996014786,293.9115966958167,8
89,CCL,1.882141861697465,-8.719069513214585,9
90,CARR,-4.9986347485776275,217.23808193004075,0
91,CTLT,1.5584290856279974,420.6103095868267,8
92,CAT,1.2469869356046395,329.5400070709185,6
93,CBOE,0.7171045465028203,237.20692568925256,2
94,CBRE,1.729527259049367,353.83504056221244,8
95,CDW,0.9701830028350775,674.8821831748468,4
96,CE,1.5558012214650223,361.9698626253617,8
97,CNC,0.8184022560939267,1006.5437173959857,2
98,CNP,0.8144428747218984,137.15327951023795,2
99,CDAY,3.3694942329538433,241.42903135043218,9
100,CERN,0.6875246563335945,279.47268429704224,1
101,CF,1.1937623111219884,172.81419186819576,5
102,CRL,1.2088564352064632,644.2955105205874,6
103,SCHW,1.307179476335091,209.97594827030755,6
104,CHTR,0.836405440697747,1790.142822265625,2
105,CVX,1.306543087991128,63.868257296967165,6
106,CMG,1.111538981505825,1478.6771616010749,5
107,CB,0.8063020803619633,362.2573219917997,2
108,CHD,0.4489747523788434,573.989046283471,0
109,CI,0.6648135890327364,475.6854921088376,1
110,CINF,0.7067244569005124,396.0078071398238,2
111,CTAS,1.3098041863143004,1496.9564955107944,6
112,CSCO,0.9992983103522087,140.41419032237246,4
113,C,1.8868393720718872,104.44175531275309,9
114,CFG,1.9591509974684083,84.98446106364594,9
115,CTXS,0.6296293336211206,292.23127048643585,1
116,CLX,0.336995442979426,351.2794066402412,0
117,CME,0.7356922700394364,313.38556293861933,2
118,CMS,0.18044086503207,461.1705770357498,0
119,KO,0.5471139924836391,191.43072767599895,1
120,CTSH,1.3187770666913112,266.57784996246204,6
121,CL,0.5826174944590955,167.57855217256653,1
122,CMCSA,1.08164453584361,656.5977446796367,4
123,CMA,1.6009818746895934,134.99881236075777,8
124,CAG,0.6233276004952183,181.67526400074573,1
125,COP,1.5636210518627407,45.42016354245011,8
126,ED,0.14667078330930827,148.4534155411951,0
127,STZ,0.9842076880989185,1362.1274327025046,4
128,CPRT,0.9083794093008423,1297.9675971797012,3
129,GLW,1.3704948119318816,136.31164865870818,7
130,CTVA,2.801177158450913,37.37108037507675,9
131,COST,0.5832088740290464,745.5499287690278,1
132,CTRA,0.6436449289656684,40.86092016308058,1
133,CCI,0.3743258684071327,415.35810585815074,0
134,CSX,1.257905121004505,589.37528499772,6
