Date,Value
12/1/2021,28.43
11/30/2021,28.77
11/1/2021,29.4
10/1/2021,28.1
9/30/2021,33.6
9/1/2021,28.3
8/31/2021,35.28
8/1/2021,28.06
7/1/2021,27.49
6/30/2021,45.65
6/1/2021,26.7
5/1/2021,28.05
4/30/2021,42.57
4/1/2021,29.92
3/31/2021,40.45
3/1/2021,30.5
2/1/2021,33.24
1/1/2021,35.96
12/31/2020,37.85
12/1/2020,39.26
11/30/2020,36.66
11/1/2020,37.16
10/1/2020,35.3
9/30/2020,28.91
9/1/2020,34.27
8/31/2020,30.09
8/1/2020,34.41
7/31/2020,28.12
7/1/2020,32.44
6/30/2020,22.23
6/1/2020,31.29
5/1/2020,27.82
4/30/2020,20.88
4/1/2020,24.97
3/31/2020,19.45
3/1/2020,22.8
2/28/2020,22.23
2/1/2020,26.42
1/31/2020,24.27
1/1/2020,24.88
12/31/2019,24.21
12/1/2019,22.78
11/1/2019,22.62
10/1/2019,22.04
9/1/2019,22.44
8/1/2019,21.67
7/1/2019,22.28
6/1/2019,21.37
5/31/2019,20.43
5/1/2019,21.15
4/1/2019,21.56
3/1/2019,20.86
2/1/2019,20.6
1/1/2019,19.6
12/1/2018,19.39
11/1/2018,20.67
10/1/2018,21.25
9/1/2018,22.25
8/1/2018,22.37
7/1/2018,22.33
6/1/2018,22.49
5/1/2018,22.49
4/1/2018,22.53
3/1/2018,23.41
2/1/2018,23.82
1/1/2018,24.97
12/1/2017,24.25
11/1/2017,23.81
10/1/2017,23.67
9/1/2017,23.28
8/1/2017,23.16
7/1/2017,23.36
6/1/2017,23.4
5/1/2017,23.31
4/1/2017,23.24
3/1/2017,23.6
2/1/2017,23.68
1/1/2017,23.59
12/1/2016,23.76
11/1/2016,23.35
10/1/2016,23.57
9/1/2016,24.22
8/1/2016,24.57
7/1/2016,24.52
6/1/2016,23.97
5/1/2016,23.81
4/1/2016,23.97
3/1/2016,23.39
2/1/2016,22.02
1/1/2016,22.18
12/1/2015,23.74
11/1/2015,23.67
10/1/2015,22.68
9/1/2015,21.45
8/1/2015,22.15
7/1/2015,22.4
6/1/2015,22.12
5/1/2015,21.92
4/1/2015,21.42
3/1/2015,20.96
2/1/2015,20.77
1/1/2015,20.02
12/1/2014,20.08
11/1/2014,19.75
10/1/2014,18.5
9/1/2014,18.81
8/1/2014,18.68
7/1/2014,18.96
6/1/2014,18.88
5/1/2014,18.46
4/1/2014,18.35
3/1/2014,18.48
2/1/2014,18.06
1/1/2014,18.15
12/1/2013,18.04
11/1/2013,18.15
10/1/2013,17.86
9/1/2013,17.88
8/1/2013,17.91
7/1/2013,18.12
6/1/2013,17.8
5/1/2013,18.25
4/1/2013,17.69
3/1/2013,17.68
2/1/2013,17.32
1/1/2013,17.03
12/1/2012,16.44
11/1/2012,16.12
10/1/2012,16.62
9/1/2012,16.69
8/1/2012,16.14
7/1/2012,15.55
6/1/2012,15.05
5/1/2012,15.22
4/1/2012,15.7
3/1/2012,15.69
2/1/2012,15.37
1/1/2012,14.87
12/1/2011,14.3
11/1/2011,14.1
10/1/2011,13.88
9/1/2011,13.5
8/1/2011,13.79
7/1/2011,15.61
6/1/2011,15.35
5/1/2011,16.12
4/1/2011,16.21
3/1/2011,16.04
2/1/2011,16.52
1/1/2011,16.3
12/1/2010,16.05
11/1/2010,15.88
10/1/2010,15.9
9/1/2010,15.61
8/1/2010,15.47
7/1/2010,15.72
6/1/2010,16.15
5/1/2010,17.3
4/1/2010,19.01
3/1/2010,18.91
2/1/2010,18.91
1/1/2010,20.7
12/1/2009,21.78
11/1/2009,28.51
10/1/2009,42.12
9/1/2009,83.3
8/1/2009,92.95
7/1/2009,101.87
6/1/2009,123.32
5/1/2009,123.73
4/1/2009,119.85
3/1/2009,110.37
2/1/2009,84.46
1/1/2009,70.91
12/1/2008,58.98
11/1/2008,34.99
10/1/2008,27.22
9/1/2008,26.48
8/1/2008,26.83
7/1/2008,25.37
6/1/2008,26.11
5/1/2008,25.81
4/1/2008,23.88
3/1/2008,21.81
2/1/2008,21.74
1/1/2008,21.46
12/1/2007,22.35
11/1/2007,20.81
10/1/2007,20.68
9/1/2007,19.05
8/1/2007,18.02
7/1/2007,18.36
6/1/2007,17.83
5/1/2007,17.92
4/1/2007,17.48
3/1/2007,16.92
2/1/2007,17.49
1/1/2007,17.36
12/1/2006,17.38
11/1/2006,17.24
10/1/2006,17.14
9/1/2006,16.77
8/1/2006,16.67
7/1/2006,16.61
6/1/2006,16.82
5/1/2006,17.46
4/1/2006,17.77
3/1/2006,17.8
2/1/2006,17.8
1/1/2006,18.07
12/1/2005,18.07
11/1/2005,18.01
10/1/2005,17.64
9/1/2005,18.44
8/1/2005,18.72
7/1/2005,19
6/1/2005,19
5/1/2005,18.93
4/1/2005,19.02
3/1/2005,19.84
2/1/2005,20.11
1/1/2005,19.99
12/1/2004,20.48
11/1/2004,20.05
