Date,Value
10/1/2004,19.25
9/1/2004,19.35
8/1/2004,19.03
7/1/2004,19.51
6/1/2004,20.17
5/1/2004,20.14
4/1/2004,21.23
3/1/2004,21.61
2/1/2004,22.46
1/1/2004,22.73
12/1/2003,22.17
11/1/2003,23.15
10/1/2003,24.75
9/1/2003,26.42
8/1/2003,26.57
7/1/2003,27.65
6/1/2003,28.6
5/1/2003,28.24
4/1/2003,28.05
3/1/2003,27.92
2/1/2003,28.46
1/1/2003,31.43
12/1/2002,32.59
11/1/2002,32.03
10/1/2002,29.24
9/1/2002,28.89
8/1/2002,31.53
7/1/2002,32.46
6/1/2002,37.92
5/1/2002,41.41
4/1/2002,43.81
3/1/2002,46.71
2/1/2002,44.57
1/1/2002,46.17
12/1/2001,46.37
11/1/2001,43.62
10/1/2001,39.72
9/1/2001,36.9
8/1/2001,37.85
7/1/2001,35.46
6/1/2001,33.67
5/1/2001,32.02
4/1/2001,27.96
3/1/2001,26.1
2/1/2001,27.81
1/1/2001,27.55
12/1/2000,26.62
11/1/2000,26.9
10/1/2000,26.5
9/1/2000,27.34
8/1/2000,27.97
7/1/2000,28.05
6/1/2000,28.16
5/1/2000,27.49
4/1/2000,28.5
3/1/2000,28.31
2/1/2000,27.76
1/1/2000,29.04
12/1/1999,29.66
11/1/1999,29.74
10/1/1999,28.66
9/1/1999,29.99
8/1/1999,30.89
7/1/1999,32.88
6/1/1999,32.24
5/1/1999,33.19
4/1/1999,34
3/1/1999,33.39
2/1/1999,32.67
1/1/1999,32.92
12/1/1998,31.56
11/1/1998,30.25
10/1/1998,27.2
9/1/1998,26.8
8/1/1998,28
7/1/1998,29.9
6/1/1998,28.44
5/1/1998,28.3
4/1/1998,28.26
3/1/1998,27.23
2/1/1998,25.85
1/1/1998,24.29
12/1/1997,24.23
11/1/1997,23.46
10/1/1997,23.58
9/1/1997,23.06
8/1/1997,22.83
7/1/1997,22.8
6/1/1997,21.61
5/1/1997,20.6
4/1/1997,18.94
3/1/1997,19.69
2/1/1997,20.09
1/1/1997,19.53
12/1/1996,19.19
11/1/1996,19.45
10/1/1996,19
9/1/1996,18.75
8/1/1996,18.6
7/1/1996,18.26
6/1/1996,19.15
5/1/1996,19.1
4/1/1996,18.85
3/1/1996,19.01
2/1/1996,19.1
1/1/1996,18.08
12/1/1995,18.1
11/1/1995,17.33
10/1/1995,16.76
9/1/1995,16.45
8/1/1995,16.01
7/1/1995,16.07
6/1/1995,15.67
5/1/1995,15.5
4/1/1995,15.31
3/1/1995,15.15
2/1/1995,15.11
1/1/1995,14.89
12/1/1994,14.88
11/1/1994,15.62
10/1/1994,16.32
9/1/1994,17.09
8/1/1994,17.44
7/1/1994,17.42
6/1/1994,18.05
5/1/1994,18.5
4/1/1994,19
3/1/1994,20.42
2/1/1994,21.02
1/1/1994,21.34
12/1/1993,21.29
11/1/1993,21.63
10/1/1993,22.19
9/1/1993,22.5
8/1/1993,22.65
7/1/1993,22.72
6/1/1993,23.18
5/1/1993,22.83
4/1/1993,22.53
3/1/1993,22.69
2/1/1993,22.55
1/1/1993,22.5
12/1/1992,22.82
11/1/1992,22.56
10/1/1992,22.43
9/1/1992,23.2
8/1/1992,23.6
7/1/1992,23.88
6/1/1992,23.95
5/1/1992,24.75
4/1/1992,24.73
3/1/1992,25.16
2/1/1992,25.6
1/1/1992,25.93
12/1/1991,24.33
11/1/1991,23.27
10/1/1991,22.49
9/1/1991,21.73
8/1/1991,21.22
7/1/1991,20.14
6/1/1991,19.49
5/1/1991,18.98
4/1/1991,18.58
3/1/1991,17.78
2/1/1991,17.19
1/1/1991,15.35
12/1/1990,15.41
11/1/1990,14.68
10/1/1990,14.21
9/1/1990,14.51
8/1/1990,15.33
7/1/1990,16.81
6/1/1990,16.95
5/1/1990,16.37
4/1/1990,15.7
3/1/1990,15.62
2/1/1990,14.97
1/1/1990,15.13
12/1/1989,15.24
11/1/1989,14.7
10/1/1989,14.84
9/1/1989,14.66
8/1/1989,14.32
7/1/1989,13.43
6/1/1989,12.84
5/1/1989,12.49
4/1/1989,12.07
3/1/1989,11.73
2/1/1989,11.97
1/1/1989,11.82
12/1/1988,11.64
11/1/1988,11.57
10/1/1988,12.02
9/1/1988,11.79
8/1/1988,11.78
7/1/1988,12.22
6/1/1988,12.49
5/1/1988,12.41
4/1/1988,13.39
3/1/1988,14.29
2/1/1988,14.16
1/1/1988,14.02
12/1/1987,13.77
11/1/1987,14.45
10/1/1987,17.08
9/1/1987,20.09
8/1/1987,21.42
7/1/1987,20.81
6/1/1987,20.9
5/1/1987,19.74
4/1/1987,19.45
3/1/1987,19.37
2/1/1987,18.86
1/1/1987,18.01
12/1/1986,17.17
11/1/1986,16.78
10/1/1986,16.12
9/1/1986,16.05
8/1/1986,16.55
7/1/1986,16.28
6/1/1986,16.68
5/1/1986,16.28
4/1/1986,16.32
3/1/1986,16
2/1/1986,15.08
1/1/1986,14.28
12/1/1985,14.19
11/1/1985,13.33
10/1/1985,12.39
9/1/1985,12.09
8/1/1985,12.26
7/1/1985,12.43
6/1/1985,12.1
5/1/1985,11.65
4/1/1985,11.2
3/1/1985,10.95
2/1/1985,10.98
1/1/1985,10.36
12/1/1984,9.89
11/1/1984,10.01
10/1/1984,9.94
9/1/1984,10.03
8/1/1984,10
7/1/1984,9.26
6/1/1984,9.45
5/1/1984,9.86
4/1/1984,10.12
3/1/1984,10.31
2/1/1984,10.59
1/1/1984,11.52
12/1/1983,11.72
11/1/1983,11.98
10/1/1983,12.38
9/1/1983,12.57
8/1/1983,12.43
7/1/1983,13.02
6/1/1983,13.22
5/1/1983,13.09
4/1/1983,12.64
3/1/1983,12.23
2/1/1983,11.75
1/1/1983,11.48
12/1/1982,11.03
11/1/1982,10.67
10/1/1982,10.01
9/1/1982,9.03
8/1/1982,7.97
7/1/1982,7.83
6/1/1982,7.74
5/1/1982,8.09
4/1/1982,7.97
3/1/1982,7.48
2/1/1982,7.64
1/1/1982,7.73
12/1/1981,8.06
11/1/1981,8.02
10/1/1981,7.83
9/1/1981,7.75
8/1/1981,8.54
7/1/1981,8.55
6/1/1981,8.81
5/1/1981,8.86
4/1/1981,9.13
3/1/1981,9.14
2/1/1981,8.76
1/1/1981,9.02
12/1/1980,9.01
11/1/1980,9.19
10/1/1980,8.86
9/1/1980,8.64
8/1/1980,8.38
7/1/1980,8.07
6/1/1980,7.67
5/1/1980,7.15
4/1/1980,6.79
3/1/1980,6.85
2/1/1980,7.61
1/1/1980,7.39
12/1/1979,7.25
11/1/1979,7.01
10/1/1979,7.11
9/1/1979,7.42
8/1/1979,7.45
7/1/1979,7.23
6/1/1979,7.27
5/1/1979,7.25
4/1/1979,7.55
3/1/1979,7.53
2/1/1979,7.57
1/1/1979,7.88
12/1/1978,7.79
11/1/1978,7.84
10/1/1978,8.51
9/1/1978,8.98
8/1/1978,9.07
7/1/1978,8.57
6/1/1978,8.7
5/1/1978,8.75
4/1/1978,8.41
3/1/1978,8.13
2/1/1978,8.16
1/1/1978,8.28
12/1/1977,8.62
11/1/1977,8.71
10/1/1977,8.7
9/1/1977,8.99
8/1/1977,9.21
7/1/1977,9.53
6/1/1977,9.53
5/1/1977,9.58
4/1/1977,9.72
3/1/1977,9.98
2/1/1977,10.08
1/1/1977,10.41
12/1/1976,10.57
11/1/1976,10.34
10/1/1976,10.54
9/1/1976,11.05
8/1/1976,10.93
7/1/1976,11.14
6/1/1976,11.01
5/1/1976,11.18
4/1/1976,11.51
3/1/1976,11.67
2/1/1976,11.94
1/1/1976,11.82
12/1/1975,11.14
11/1/1975,11.41
10/1/1975,11.32
9/1/1975,10.91
8/1/1975,10.95
7/1/1975,11.72
6/1/1975,11.61
5/1/1975,11.09
4/1/1975,10.22
3/1/1975,9.91
2/1/1975,9.32
1/1/1975,8.3
12/1/1974,7.54
11/1/1974,8
10/1/1974,7.68
9/1/1974,7.48
8/1/1974,8.46
7/1/1974,8.95
6/1/1974,10.27
5/1/1974,10.41
4/1/1974,10.89
3/1/1974,11.66
2/1/1974,11.27
1/1/1974,11.68
12/1/1973,11.62
11/1/1973,12.74
10/1/1973,13.99
9/1/1973,13.73
8/1/1973,13.77
7/1/1973,14.33
6/1/1973,14.5
5/1/1973,15.13
4/1/1973,15.89
3/1/1973,16.53
2/1/1973,17.11
1/1/1973,18.09
12/1/1972,18.3
11/1/1972,18.19
10/1/1972,17.58
9/1/1972,17.82
8/1/1972,18.25
7/1/1972,17.79
6/1/1972,18.09
5/1/1972,18.2
4/1/1972,18.56
3/1/1972,18.54
2/1/1972,18.22
1/1/1972,18.01
12/1/1971,17.4
11/1/1971,16.54
10/1/1971,17.62
9/1/1971,18.31
8/1/1971,18.03
7/1/1971,18.48
6/1/1971,18.74
5/1/1971,19.22
4/1/1971,19.61
3/1/1971,19.08
2/1/1971,18.71
1/1/1971,18.12
12/1/1970,17.55
11/1/1970,16.19
10/1/1970,15.97
9/1/1970,15.41
8/1/1970,14.39
7/1/1970,13.85
6/1/1970,13.69
5/1/1970,13.69
4/1/1970,15.37
3/1/1970,15.75
2/1/1970,15.35
1/1/1970,15.76
12/1/1969,15.76
11/1/1969,16.54
10/1/1969,16.32
9/1/1969,16.05
8/1/1969,16.04
7/1/1969,16.17
6/1/1969,16.98
5/1/1969,17.93
4/1/1969,17.39
3/1/1969,17.06
2/1/1969,17.5
1/1/1969,17.65
12/1/1968,18.49
11/1/1968,18.41
10/1/1968,18.23
9/1/1968,17.9
8/1/1968,17.43
7/1/1968,17.91
6/1/1968,18.04
5/1/1968,17.71
4/1/1968,17.45
3/1/1968,16.38
2/1/1968,16.8
1/1/1968,17.71
12/1/1967,17.88
11/1/1967,17.42
10/1/1967,18.02
9/1/1967,18.08
8/1/1967,17.79
7/1/1967,17.48
6/1/1967,17.15
5/1/1967,17.24
4/1/1967,16.81
3/1/1967,16.41
2/1/1967,15.93
1/1/1967,15.31
12/1/1966,14.65
11/1/1966,14.63
10/1/1966,13.96
9/1/1966,14.12
8/1/1966,14.68
7/1/1966,15.67
6/1/1966,15.76
5/1/1966,16.01
4/1/1966,17.03
3/1/1966,16.64
2/1/1966,17.52
1/1/1966,17.81
12/1/1965,17.67
11/1/1965,18
10/1/1965,18.1
9/1/1965,17.95
8/1/1965,17.53
7/1/1965,17.38
6/1/1965,17.57
5/1/1965,18.65
4/1/1965,18.59
3/1/1965,18.55
2/1/1965,18.71
1/1/1965,18.75
12/1/1964,18.45
11/1/1964,18.89
10/1/1964,18.87
9/1/1964,18.66
8/1/1964,18.54
7/1/1964,19.01
6/1/1964,18.53
5/1/1964,18.86
4/1/1964,18.9
3/1/1964,18.85
2/1/1964,18.75
1/1/1964,18.77
12/1/1963,18.45
11/1/1963,18.16
10/1/1963,18.35
9/1/1963,18.4
8/1/1963,18.11
7/1/1963,17.8
6/1/1963,18.26
5/1/1963,18.47
4/1/1963,18.32
3/1/1963,17.7
2/1/1963,17.83
1/1/1963,17.66
12/1/1962,17.07
11/1/1962,16.57
10/1/1962,15.7
9/1/1962,16.43
8/1/1962,16.67
7/1/1962,16.32
6/1/1962,16.03
5/1/1962,18.33
4/1/1962,20
3/1/1962,20.86
2/1/1962,21.21
1/1/1962,21.25
12/1/1961,22.49
11/1/1961,22.61
10/1/1961,21.96
9/1/1961,22.05
8/1/1961,22.27
7/1/1961,21.55
6/1/1961,21.66
5/1/1961,21.8
4/1/1961,21.44
3/1/1961,20.75
2/1/1961,19.74
1/1/1961,18.6
12/1/1960,17.37
11/1/1960,16.96
10/1/1960,16.43
9/1/1960,16.76
8/1/1960,17.3
7/1/1960,17.11
6/1/1960,17.56
5/1/1960,16.72
4/1/1960,16.65
3/1/1960,16.23
2/1/1960,16.45
1/1/1960,17.12
12/1/1959,17.42
11/1/1959,16.82
10/1/1959,16.68
9/1/1959,16.63
8/1/1959,17.37
7/1/1959,17.52
6/1/1959,16.9
5/1/1959,17.55
4/1/1959,17.81
3/1/1959,18.06
2/1/1959,18.04
1/1/1959,18.77
12/1/1958,18.51
11/1/1958,18.19
10/1/1958,17.67
9/1/1958,17
8/1/1958,16.47
7/1/1958,15.78
6/1/1958,15.27
5/1/1958,14.57
4/1/1958,13.79
3/1/1958,13.41
2/1/1958,12.83
1/1/1958,12.49
12/1/1957,11.97
11/1/1957,11.86
10/1/1957,12
9/1/1957,12.67
8/1/1957,13.27
7/1/1957,14.12
6/1/1957,13.9
5/1/1957,13.71
4/1/1957,13.22
3/1/1957,12.95
2/1/1957,12.77
1/1/1957,13.34
12/1/1956,13.62
11/1/1956,13.35
10/1/1956,13.43
9/1/1956,13.54
8/1/1956,13.83
7/1/1956,13.73
6/1/1956,12.85
5/1/1956,12.82
4/1/1956,13.13
3/1/1956,12.87
2/1/1956,12.12
1/1/1956,12.12
12/1/1955,12.53
11/1/1955,12.63
10/1/1955,12.03
9/1/1955,12.89
8/1/1955,12.6
7/1/1955,12.96
6/1/1955,12.35
5/1/1955,12
4/1/1955,12.39
3/1/1955,12.33
2/1/1955,12.7
1/1/1955,12.56
12/1/1954,12.62
11/1/1954,12.28
10/1/1954,12.02
9/1/1954,11.96
8/1/1954,11.7
7/1/1954,11.49
6/1/1954,11.05
5/1/1954,11.06
4/1/1954,10.74
3/1/1954,10.42
2/1/1954,10.26
1/1/1954,10.09
12/1/1953,9.89
11/1/1953,9.71
10/1/1953,9.45
9/1/1953,9.13
8/1/1953,9.61
7/1/1953,9.63
6/1/1953,9.54
5/1/1953,10
4/1/1953,10.06
3/1/1953,10.7
2/1/1953,10.69
1/1/1953,10.86
12/1/1952,10.85
11/1/1952,10.49
10/1/1952,10.22
9/1/1952,10.5
8/1/1952,10.7
7/1/1952,10.69
6/1/1952,10.42
5/1/1952,10.06
4/1/1952,9.97
3/1/1952,9.92
2/1/1952,9.84
1/1/1952,9.97
12/1/1951,9.59
11/1/1951,9.22
10/1/1951,9.39
9/1/1951,9.35
8/1/1951,8.87
7/1/1951,8.28
6/1/1951,7.92
5/1/1951,7.96
4/1/1951,7.85
3/1/1951,7.64
2/1/1951,7.76
1/1/1951,7.48
12/1/1950,6.95
11/1/1950,7.08
10/1/1950,7.2
9/1/1950,7.01
8/1/1950,6.93
7/1/1950,6.68
6/1/1950,7.38
5/1/1950,7.43
4/1/1950,7.35
3/1/1950,7.32
2/1/1950,7.31
1/1/1950,7.22
12/1/1949,7.13
11/1/1949,6.87
10/1/1949,6.71
9/1/1949,6.48
8/1/1949,6.39
7/1/1949,6.16
6/1/1949,5.82
5/1/1949,6.18
4/1/1949,6.24
3/1/1949,6.26
2/1/1949,6.29
1/1/1949,6.62
12/1/1948,6.63
11/1/1948,6.9
10/1/1948,7.55
9/1/1948,7.61
8/1/1948,7.97
7/1/1948,8.51
6/1/1948,9.04
5/1/1948,8.92
4/1/1948,8.75
3/1/1948,8.36
2/1/1948,8.41
1/1/1948,9.02
12/1/1947,9.34
11/1/1947,9.6
10/1/1947,9.84
9/1/1947,9.72
8/1/1947,10.22
7/1/1947,10.68
6/1/1947,10.31
5/1/1947,10.37
4/1/1947,11
3/1/1947,11.94
2/1/1947,13.17
1/1/1947,13.46
12/1/1946,14.27
11/1/1946,14.64
10/1/1946,15.58
9/1/1946,16.96
8/1/1946,20.27
7/1/1946,21.07
6/1/1946,22.12
5/1/1946,21.74
4/1/1946,21.2
3/1/1946,19.48
2/1/1946,19.64
1/1/1946,19.17
12/1/1945,18.05
11/1/1945,17.57
10/1/1945,16.84
9/1/1945,16
8/1/1945,14.93
7/1/1945,14.83
6/1/1945,15.09
5/1/1945,15.02
4/1/1945,14.67
3/1/1945,14.51
2/1/1945,14.67
1/1/1945,14.35
12/1/1944,14.09
11/1/1944,13.93
10/1/1944,14.19
9/1/1944,14
8/1/1944,14.13
7/1/1944,14.23
6/1/1944,13.77
5/1/1944,13.1
4/1/1944,12.83
3/1/1944,13.01
2/1/1944,12.61
1/1/1944,12.65
12/1/1943,12.21
11/1/1943,11.48
10/1/1943,11.5
9/1/1943,11.1
8/1/1943,10.8
7/1/1943,11.3
6/1/1943,11
5/1/1943,10.91
4/1/1943,10.59
3/1/1943,10.35
2/1/1943,10.12
1/1/1943,9.67
12/1/1942,9.24
11/1/1942,9.47
10/1/1942,9.61
9/1/1942,9.23
8/1/1942,9.01
7/1/1942,8.94
6/1/1942,8.5
5/1/1942,7.93
4/1/1942,7.69
3/1/1942,7.87
2/1/1942,8.01
1/1/1942,7.97
12/1/1941,7.55
11/1/1941,8.01
10/1/1941,8.33
9/1/1941,8.61
8/1/1941,8.83
7/1/1941,9.13
6/1/1941,8.95
5/1/1941,8.73
4/1/1941,9.01
3/1/1941,9.39
2/1/1941,9.36
1/1/1941,10.02
12/1/1940,10.03
11/1/1940,10.36
10/1/1940,10.03
9/1/1940,9.84
8/1/1940,9.56
7/1/1940,9.48
6/1/1940,9.3
5/1/1940,10.34
4/1/1940,12.19
3/1/1940,12.27
2/1/1940,12.73
1/1/1940,13.23
12/1/1939,13.74
11/1/1939,14.56
10/1/1939,15.36
9/1/1939,15.77
8/1/1939,14.55
7/1/1939,15.08
6/1/1939,15.04
5/1/1939,15.11
4/1/1939,14.9
3/1/1939,17.45
2/1/1939,18.06
1/1/1939,18.84
12/1/1938,19.83
11/1/1938,20.64
10/1/1938,20.84
9/1/1938,18.95
8/1/1938,18.37
7/1/1938,17
6/1/1938,13.26
5/1/1938,11.93
4/1/1938,10.95
3/1/1938,10.63
2/1/1938,10.79
1/1/1938,10.5
12/1/1937,9.75
11/1/1937,9.66
10/1/1937,10.32
9/1/1937,11.78
8/1/1937,13.91
7/1/1937,13.96
6/1/1937,13.37
5/1/1937,14.13
4/1/1937,15.05
3/1/1937,16.3
2/1/1937,16.77
1/1/1937,16.75
12/1/1936,16.73
11/1/1936,17.48
10/1/1936,17.47
9/1/1936,17.07
8/1/1936,17.25
7/1/1936,17.29
6/1/1936,16.69
5/1/1936,16.58
4/1/1936,18.15
3/1/1936,18.81
2/1/1936,18.65
1/1/1936,17.87
12/1/1935,17.16
11/1/1935,17.16
10/1/1935,15.68
9/1/1935,15.28
8/1/1935,14.64
7/1/1935,13.42
6/1/1935,12.49
5/1/1935,12.45
4/1/1935,11.95
3/1/1935,11.52
2/1/1935,13.82
1/1/1935,16.25
12/1/1934,18.9
11/1/1934,18.94
10/1/1934,18.58
9/1/1934,18.6
8/1/1934,19.23
7/1/1934,20.18
6/1/1934,21.38
5/1/1934,21.29
4/1/1934,23.91
3/1/1934,23.73
2/1/1934,25.25
1/1/1934,23.73
12/1/1933,22.66
11/1/1933,22.35
10/1/1933,21.95
9/1/1933,24.46
8/1/1933,24.81
7/1/1933,26.27
6/1/1933,24.45
5/1/1933,20.99
4/1/1933,16.4
3/1/1933,14.92
2/1/1933,15.06
1/1/1933,17.19
12/1/1932,16.63
11/1/1932,16.52
10/1/1932,16.06
9/1/1932,17.96
8/1/1932,15.8
7/1/1932,10.16
6/1/1932,9.35
5/1/1932,10.46
4/1/1932,11.56
3/1/1932,14.75
2/1/1932,14.27
1/1/1932,13.99
12/1/1931,13.84
11/1/1931,16.23
10/1/1931,15.3
9/1/1931,16.9
8/1/1931,19.04
7/1/1931,18.86
6/1/1931,17.56
5/1/1931,17.48
4/1/1931,18.66
3/1/1931,19.92
2/1/1931,18.9
1/1/1931,17
12/1/1930,15.99
11/1/1930,16.25
10/1/1930,16.64
9/1/1930,18.39
8/1/1930,17.57
7/1/1930,17.03
6/1/1930,16.68
5/1/1930,17.83
4/1/1930,18.22
3/1/1930,16.51
2/1/1930,15.35
1/1/1930,13.94
12/1/1929,13.29
11/1/1929,12.94
10/1/1929,17.81
9/1/1929,20.17
8/1/1929,19.63
7/1/1929,18.81
6/1/1929,17.49
5/1/1929,17.38
4/1/1929,17.35
3/1/1929,17.68
2/1/1929,17.62
1/1/1929,17.77
12/1/1928,16.78
11/1/1928,16.99
10/1/1928,16.18
9/1/1928,16.14
8/1/1928,15.33
7/1/1928,15.11
6/1/1928,15.28
5/1/1928,16.37
4/1/1928,16.17
3/1/1928,15.51
2/1/1928,15
1/1/1928,15.47
12/1/1927,15.73
11/1/1927,15.22
10/1/1927,14.73
9/1/1927,14.82
8/1/1927,13.9
7/1/1927,13.08
6/1/1927,12.67
5/1/1927,12.39
4/1/1927,11.87
3/1/1927,11.48
2/1/1927,11.22
1/1/1927,10.9
12/1/1926,10.88
11/1/1926,10.63
10/1/1926,10.48
9/1/1926,10.72
8/1/1926,10.56
7/1/1926,10.14
6/1/1926,9.73
5/1/1926,9.28
4/1/1926,9.21
3/1/1926,9.46
2/1/1926,10.15
1/1/1926,10.13
12/1/1925,9.97
11/1/1925,10.02
10/1/1925,9.93
9/1/1925,9.84
8/1/1925,9.84
7/1/1925,9.94
6/1/1925,9.91
5/1/1925,9.98
4/1/1925,9.91
3/1/1925,10.29
2/1/1925,10.85
1/1/1925,11.06
12/1/1924,10.92
11/1/1924,10.32
10/1/1924,9.73
9/1/1924,9.81
8/1/1924,9.87
7/1/1924,9.5
6/1/1924,9.04
5/1/1924,8.83
4/1/1924,8.82
3/1/1924,8.99
2/1/1924,9.13
1/1/1924,9.05
12/1/1923,8.72
11/1/1923,8.65
10/1/1923,8.62
9/1/1923,8.98
8/1/1923,9.17
7/1/1923,9.38
6/1/1923,9.99
5/1/1923,10.69
4/1/1923,11.57
3/1/1923,12.37
2/1/1923,12.57
1/1/1923,12.46
12/1/1922,12.72
11/1/1922,13.4
10/1/1922,14.86
9/1/1922,15.36
8/1/1922,15.86
7/1/1922,16.26
6/1/1922,17.24
5/1/1922,18.68
4/1/1922,19.4
3/1/1922,19.85
2/1/1922,20.91
1/1/1922,22.58
12/1/1921,25.21
11/1/1921,21.23
10/1/1921,17.87
9/1/1921,15.83
8/1/1921,14.02
7/1/1921,13
6/1/1921,12.02
5/1/1921,12.12
4/1/1921,10.97
3/1/1921,10.23
2/1/1921,9.87
1/1/1921,9.39
12/1/1920,8.51
11/1/1920,9.23
10/1/1920,9.59
9/1/1920,9.45
8/1/1920,9.01
7/1/1920,9.26
6/1/1920,9.16
5/1/1920,9.2
4/1/1920,9.7
3/1/1920,9.66
2/1/1920,8.92
1/1/1920,9.61
12/1/1919,9.59
11/1/1919,9.83
10/1/1919,10.07
9/1/1919,9.53
8/1/1919,9.34
7/1/1919,9.96
6/1/1919,9.59
5/1/1919,9.3
4/1/1919,8.65
3/1/1919,8.33
2/1/1919,8.04
1/1/1919,7.97
12/1/1918,7.98
11/1/1918,7.95
10/1/1918,7.57
9/1/1918,7.09
8/1/1918,6.97
7/1/1918,6.76
6/1/1918,6.56
5/1/1918,6.42
4/1/1918,6.09
3/1/1918,6.03
2/1/1918,6.03
1/1/1918,5.74
12/1/1917,5.31
11/1/1917,5.41
10/1/1917,5.81
9/1/1917,6.05
8/1/1917,6.26
7/1/1917,6.35
6/1/1917,6.43
5/1/1917,6.21
4/1/1917,6.34
