Date,Base: Currency in Circulation ($ Mil),Balance Sheet: Total Assets ($ Mil),Effective Federal Funds Rate,Adj Close,Log Total Asset,Currency in Circulation/Total Asset,Log Stock Price,Unemployment Rate
1/31/2000,594.68,0,5.45,1394.46,0,0,7.240262523,4.1
2/29/2000,566.14,0,5.73,1366.42,0,0,7.21994946,4.0
3/31/2000,563.71,0,5.85,1498.58,0,0,7.312273272,3.8
4/30/2000,564.73,0,6.02,1452.43,0,1,7.280993295,4.0
5/31/2000,565.84,0,6.27,1420.6,0,0,7.258834597,4.0
6/30/2000,568.33,0,6.53,1454.6,0,2,7.282486228,4.0
7/31/2000,571.22,0,6.54,1430.83,0,0,7.266009974,4.1
8/31/2000,569.31,0,6.5,1517.68,0,3,7.324938132,3.9
9/30/2000,570.68,0,6.52,1436.51,0,0,7.26997184,3.9
10/31/2000,571.48,0,6.51,1429.4,0,4,7.265010055,3.9
11/30/2000,575,0,6.51,1314.95,0,0,7.181553921,3.9
12/31/2000,583.12,0,6.4,1320.28,0,5,7.185599114,4.2
1/31/2001,585.11,0,5.98,1366.01,0,0,7.219649361,4.2
2/28/2001,582.52,0,5.49,1239.94,0,6,7.12281827,4.3
3/31/2001,585.08,0,5.31,1160.33,0,0,7.056459726,4.4
4/30/2001,587.93,0,4.8,1249.46,0,7,7.130466737,4.3
5/31/2001,590.87,0,4.21,1255.82,0,0,7.135544025,4.5
6/30/2001,594.37,0,3.97,1224.38,0,8,7.110189872,4.6
7/31/2001,600.39,0,3.77,1211.23,0,0,7.099391651,4.9
8/31/2001,606.13,0,3.65,1133.58,0,9,7.033136045,5.0
9/30/2001,613.56,0,3.07,1040.94,0,0,6.94787943,5.3
10/31/2001,615.01,0,2.49,1059.78,0,10,6.965816618,5.5
11/30/2001,621.87,0,2.09,1139.45,0,0,7.038300969,5.7
12/31/2001,630.28,0,1.82,1148.08,0,11,7.045846261,5.7
1/31/2002,635.43,0,1.73,1130.2,0,0,7.030149887,5.7
2/28/2002,635.88,0,1.74,1106.73,0,12,7.009165001,5.7
3/31/2002,639.7,0,1.73,1147.39,0,0,7.045245077,5.9
4/30/2002,643.58,0,1.75,1076.92,0,13,6.981860394,5.8
5/31/2002,648.29,0,1.75,1067.14,0,0,6.972737452,5.8
6/30/2002,654.77,0,1.75,989.82,0,14,6.897523108,5.8
7/31/2002,660.96,0,1.73,911.62,0,0,6.815223237,5.7
8/31/2002,660.56,0,1.74,916.07,0,15,6.820092781,5.7
9/30/2002,662.19,0,1.75,815.28,0,0,6.703531613,5.7
10/31/2002,662.24,0,1.75,885.76,0,16,6.786446034,5.9
11/30/2002,667.44,0,1.34,936.31,0,0,6.841946618,6.0
12/31/2002,676.47,725800.5,1.24,879.82,13.49503046,0.000932033,6.779717341,5.8
1/31/2003,679.41,724718.4,1.24,855.7,13.49353844,0.000937481,6.751919847,5.9
2/28/2003,679.83,721326,1.26,841.15,13.48884646,0.000942473,6.734770003,5.9
