,Estimation Statistics
r**2,0.031800399287321264
f-stat,10.641740981413179
Est Var,0.00438785845525529
rootMSE,0.06624091224655115
SSE,8.529996837016283
SSR,0.28016671886358585
SST,8.810163555879866
Obs.,1951.0
DOF,1944.0
