H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: H0: AGO != ALB != ARE != ARG != ARM != AUS != AUT != AZE != BDI != BEL != BEN != BFA != BGD != BGR != BHR != BIH != BOL != BRA != BWA != CAF != CAN != CHE != CHL != CHN != CIV != CMR != COD != COG != COL != CPV != CRI != CYP != CZE != DEU != DNK != DOM != DZA != ECU != EGY != ESP != EST != ETH != FIN != FRA != GAB != GBR != GEO != GHA != GIN != GMB != GNB != GRC != GTM != HKG != HND != HRV != HTI != HUN != IDN != IND != IRL != IRN != ISL != ISR != ITA != JAM != JOR != JPN != KAZ != KEN != KGZ != KHM != KOR != KWT != LAO != LBN != LBR != LBY != LKA != LSO != LTU != LUX != LVA != MAR != MDA != MDG != MEX != MKD != MLI != MLT != MMR != MNE != MNG != MOZ != MRT != MUS != MWI != MYS != NAM != NER != NGA != NIC != NLD != NOR != NPL != NZL != OMN != PAK != PAN != PER != PHL != POL != PRT != PRY != QAT != ROU != RUS != RWA != SAU != SEN != SGP != SLE != SLV != SRB != SVK != SVN != SWE != SWZ != SYC != SYR != TCD != TGO != THA != TJK != TTO != TUN != TUR != TWN != TZA != UGA != UKR != URY != USA != VEN != VNM != YEM != ZAF != ZMB != 0,
f-stat,1.6577334998118738
p-value,2.8863869532269604e-06
dfn,148.0
dfd,1880.0
