DATE,Total Liabilities,Federal Reserve Notes Outstanding,U.S. Treasury General Account,Deposits from Dep. Institutions,Other Deposits,Reverse Repos,Other Liabilities
2002-12-31,0.7079515,0.648745,0.0056285,0.021322,0.000363,0.0211505,0.0107425
2003-01-31,0.7075214000000001,0.6460228,0.0056502,0.026136799999999998,0.0005732000000000007,0.0189204,0.010217999999999979
2003-02-28,0.70410825,0.64841725,0.004637,0.02325625,0.000383,0.01771525,0.0096995
2003-03-31,0.706357,0.65160025,0.0049525,0.022239,0.00036025,0.018133,0.009072
2003-04-30,0.7193672,0.6550454,0.008352,0.025664799999999998,0.00039579999999999927,0.0201252,0.009783999999999932
2003-05-31,0.720685,0.65852225,0.0064205,0.0246355,0.0003845,0.0210765,0.00964575
2003-06-30,0.72107575,0.6593095,0.00638725,0.02373775,0.0003955,0.02184425,0.0094015
2003-07-31,0.7240138,0.6618531999999999,0.0060038,0.025747,0.00067,0.020126599999999998,0.009613200000000093
2003-08-31,0.72245125,0.66234625,0.0060235,0.02503625,0.0004995,0.01941575,0.00913
2003-09-30,0.7250965,0.66437775,0.005912,0.0254205,0.00054475,0.01906225,0.00977925
2003-10-31,0.729101,0.6681242,0.0051018,0.0262488,0.0004894000000000015,0.019416,0.009720800000000043
2003-11-30,0.729819,0.6744195,0.00494525,0.02245525,0.00049,0.018561,0.008948
2003-12-31,0.741706,0.6836061999999999,0.0054768,0.0226062,0.0004607999999999993,0.020153599999999997,0.009402400000000045
2004-01-31,0.7418015,0.67843025,0.005825,0.026808,0.00042725,0.02018425,0.01012675
2004-02-29,0.735604,0.680241,0.005297,0.01993075,0.00044225,0.019827,0.009866
2004-03-31,0.737341,0.6807466,0.0051632,0.0231342,0.00039159999999999857,0.019707,0.008198400000000028
2004-04-30,0.7439505,0.6836405,0.00547225,0.02708425,0.000431,0.01937275,0.00794975
2004-05-31,0.744277,0.68683875,0.005051,0.024879,0.000349,0.019242,0.00791725
2004-06-30,0.7516854000000001,0.693418,0.0054216,0.0254828,0.00037979999999999926,0.0189796,0.008003600000000027
2004-07-31,0.75720875,0.7006915,0.0044025,0.0242675,0.00038325,0.019733,0.007731
2004-08-31,0.75179625,0.70085625,0.00450775,0.01788375,0.0004145,0.0208695,0.0072645
2004-09-30,0.765947,0.7042202,0.0055964,0.023931,0.0003461999999999971,0.0240602,0.007793000000000047
2004-10-31,0.76772075,0.70690275,0.00510225,0.02129975,0.000396,0.02533125,0.00868875
2004-11-30,0.7773365,0.714067,0.0047405,0.02216775,0.000402,0.027448,0.00851125
2004-12-31,0.7862594,0.7195452,0.004979,0.024790200000000002,0.00035659999999999853,0.02831,0.008278400000000075
