DATE,1 M (%),3 M (%),6 M (%),1 Y (%),2 Y (%),3 Y (%),5 Y (%),7 Y (%),10 Y (%),20 Y (%),30 Y (%),Federal Funds Target (Pre-Crisis),Federal Funds (Upper) Target,Effective Federal Funds Rate,Interest on Excess Reserves
2008-09-30,0.8857142857142858,1.1466666666666665,1.640952380952381,1.912857142857143,2.0761904761904764,2.3157142857142854,2.8842857142857143,3.2485714285714287,3.6861904761904762,4.3238095238095235,4.269047619047619,2.0,,1.8116666666666668,
2008-10-31,0.2918181818181818,0.6859090909090909,1.2259090909090908,1.4204545454545454,1.6122727272727273,1.8645454545454547,2.726363636363636,3.186818181818182,3.814090909090909,4.450909090909091,4.173181818181818,1.564516129032258,,0.9693548387096774,0.8413043478260869
2008-11-30,0.09333333333333332,0.1938888888888889,0.741111111111111,1.0666666666666667,1.2127777777777777,1.5144444444444445,2.2916666666666665,2.818888888888889,3.526666666666667,4.271111111111111,4.004444444444444,1.0,,0.3876666666666667,0.9416666666666667
2008-12-31,0.030000000000000002,0.03409090909090909,0.2559090909090909,0.49454545454545457,0.8209090909090908,1.07,1.521818181818182,1.8927272727272728,2.4163636363636365,3.1759090909090912,2.87,1.0,0.25,0.15516129032258064,0.6129032258064516
2009-01-31,0.0505,0.1295,0.3045,0.4445,0.807,1.134,1.5965,1.9780000000000002,2.5175,3.457,3.128,,0.25,0.15419354838709678,0.25
2009-02-28,0.21947368421052632,0.29526315789473684,0.45894736842105266,0.6226315789473684,0.9752631578947369,1.3689473684210527,1.8715789473684212,2.303157894736842,2.87,3.834736842105263,3.586842105263158,,0.25,0.22214285714285714,0.25
2009-03-31,0.10454545454545455,0.2159090909090909,0.42590909090909085,0.644090909090909,0.9313636363636365,1.3122727272727273,1.8159090909090911,2.4177272727272725,2.819545454545455,3.78,3.6431818181818185,,0.25,0.18064516129032257,0.25
2009-04-30,0.09523809523809523,0.15809523809523812,0.3504761904761905,0.5476190476190477,0.927142857142857,1.3166666666666667,1.8580952380952382,2.4652380952380955,2.927142857142857,3.8438095238095236,3.76,,0.25,0.15033333333333332,0.25
2009-05-31,0.1375,0.177,0.3035,0.5015,0.9295,1.3925,2.134,2.8105,3.293,4.2195,4.226999999999999,,0.25,0.1774193548387097,0.25
2009-06-30,0.09863636363636363,0.17863636363636365,0.3145454545454545,0.5136363636363637,1.184090909090909,1.7595454545454545,2.705909090909091,3.365,3.7218181818181817,4.508636363636364,4.516363636363637,,0.25,0.20633333333333334,0.25
