,Beta Estimates,t-stats,p-values,Standard Errors
Size of Government,-52.17926414548107,-1.3689086090106772,0.17118210372538956,38.11741982044477
Legal System & Property Rights,149.46533292745622,3.482545228508689,0.0005073821573942985,42.91841831770292
Sound Money,5.735677570461995,0.13675038171740253,0.891241916814262,41.94268051342548
Freedom to trade internationally,-1.1386559177335158,-0.01830960182094381,0.9853937003304096,62.189004920415094
Regulation,5.733255840880048,0.1084956666155003,0.9136134393065519,52.84317816303424
RGDP Per Capita Lag,0.9916304002379911,306.65132383879603,0.0,0.0032337391791573762
