,Estimation Statistics
r**2,0.5070126189016958
f-stat,43.19487842960595
Est Var,235143498.01675883
rootMSE,15334.389391715564
SSE,39504107666.81548
SSR,40627979241.38489
SST,80132086908.20023
Obs.,173.0
DOF,168.0
