,Real GDP,Nominal GDP,GDP Deflator,Base Money,IOER,Excess Reserves,Effective Base
Mean,16689.04481578947,17053.925578947372,101.91792105263158,3111573.8421052634,0.4342105263157895,1799737.1842105263,1311836.6578947369
Median,16576.6905,16965.942499999997,102.2175,3451150.0,0.25,1971035.0,1292758.5
Variance,981428.5314250981,3131466.6320838216,20.74264028324102,673676457373.133,0.14698753462603883,360496302641.88696,67571512841.54087
