ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,4504,648,5579,2728,35463,4548,3487,818,16999,8676,1249,1367,12649,6200,2942,2725,4118,4494,1309,5512,6420,10082,5064,2883,5719,918,1737,2242,1289,8642,1879,19212,8421,633,11438,3506,3564,12371,1076,4149,765,5845,22103,2352,619,7365,6131,1811,5474,502
T01,204534,48741,305971,468955,1909554,0,0,0,346230,58953,0,0,56729,4510,0,54030,441311,40730,46853,288889,72,2427493,585416,1324,21489,186503,2183,110157,504881,3135,44848,0,0,1435,38735,0,26185,71664,1681,6139,0,0,0,0,415716,20037,1499544,3526,75907,146450
T09,1764557,0,4332982,1951630,24899025,1833200,3065486,0,14963444,4770869,1792698,842006,6558746,4210262,1589917,1888543,2387206,2488627,857495,2720162,3708069,7685308,3903717,2459984,2819814,0,1426914,2192321,0,5936057,1368200,8841872,4005124,360831,6761515,1480137,0,7561149,764217,2555851,539396,5414674,14347144,1485977,220827,2692151,8007337,978022,3738000,425244
T10,126519,22466,54067,33817,290564,30286,42491,12239,607748,142010,41185,6326,141981,37679,12659,83982,75858,52721,44243,25651,66956,124149,62832,39520,26810,19300,17834,17284,12045,83075,36600,181499,199582,5662,87258,66325,13005,219908,10452,142155,11069,87650,567796,28156,16247,139455,180557,8652,41109,1283
T11,127,2586,627,0,0,98052,424317,0,0,0,0,0,681799,671812,177570,675,193,519059,0,11404,5523,90945,55731,184588,288513,45816,6237,739252,1695,348552,38996,578,11100,14181,0,6672,184,605,0,35784,25,0,21431,0,0,66,217,0,349,0
T12,230382,43391,230359,89015,1879784,174789,225267,63628,510940,323361,76670,71483,328198,177292,142236,121317,298072,333447,77872,238258,366430,231076,226830,125261,238803,54790,38908,174014,74291,373276,52309,624221,417165,28295,376476,162208,57342,558508,51732,146378,49926,322236,1109363,100286,44258,333004,316689,101813,114900,16187
T13,516858,37353,642050,431449,3202511,578754,450330,107268,1909506,678115,80194,211278,1388323,750089,348520,411458,469944,555621,194472,716686,676426,1100931,638722,416277,705019,192770,307181,265846,125614,530957,207094,546846,1156905,114409,1456148,406052,419329,1767817,138781,373814,131133,815210,2839858,333161,72164,865248,752392,286018,884738,61438
T14,3416,0,583,4431,42028,4597,10710,203,31224,0,0,0,11915,5054,3150,3875,18556,5928,4761,3302,6547,11823,1357,0,0,113,950,0,4206,0,1150,38123,0,2718,15509,2709,2636,28083,4934,0,1055,0,12217,0,0,0,1710,10491,1894,152
T15,479357,3655,32856,0,471673,9700,197960,34214,1654278,0,114115,1810,1382344,10940,0,758,0,19567,8201,130142,0,27791,52,15986,0,32547,3153,10872,69732,872512,12422,1022131,321807,33910,794303,19251,10880,870563,75061,42588,5448,6083,763352,1804,10242,102765,329851,191126,357257,1999
T16,65609,42681,217955,99681,1055505,64523,253817,36437,478622,113056,72297,29619,605057,352375,94934,133760,19665,82071,94398,279016,451044,892140,176123,56445,108149,18453,66190,67191,94029,642829,18318,1116655,41999,20462,599940,72098,242896,877085,94938,29192,21672,113925,582717,51833,87639,15421,362367,49689,309200,10347
