,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
T01,98027,69048,288356,11089,2946074,7382,12,0,490073,27758,0,12,223973,4431,0,34043,338548,42584,41453,193770,195,321346,7961,22617,12896,182204,207,41099,319,14158,21400,0,112183,1908,11581,0,136,210818,17858,12585,0,0,0,271,9754,15351,1386622,2053,53960,87697,903319
T09,1115516,0,2088288,1032536,16089973,913599,2090143,0,8325978,2687346,1294723,441601,4241572,2590600,1010228,958165,1366872,1268695,573418,1579785,1978654,3665541,2190676,1182356,1916680,0,663159,892721,0,4049282,982572,6005503,2171041,232720,3751523,971331,0,4499734,388987,1452014,289325,2514798,8575890,802439,157030,1570789,5031574,796889,2127315,182547,442496
T10,110997,12034,41091,27441,296811,21520,43443,10875,525717,114867,41492,5459,59434,33419,12631,54791,54163,62112,36400,25277,64675,122309,53368,34207,23570,14853,15725,14854,11181,80547,17425,235004,155515,4905,64205,56744,10741,144665,9131,109870,9381,63234,386848,17090,13961,97155,119885,8582,39664,1242,5835
T11,103,1479,884,0,0,1179,20120,0,2336,0,0,0,26361,0,14706,899,278,2495,0,2120,9353,0,55327,1540,0,0,8333,366136,1895,257023,810,696,0,5701,0,0,28,382,152,19796,0,0,15427,0,0,65,21,41,508,0,0
T12,221685,25451,115857,51952,1173297,90513,160843,44686,311977,166827,61551,46108,197720,122788,97447,88613,206917,208193,46376,138719,284809,178304,130617,90154,182969,27768,35892,67107,37747,206458,41000,610046,202157,18745,281301,109998,59506,404806,33751,66733,28566,155160,516081,31085,16723,174788,110016,55964,88306,10894,31785
T13,330895,43247,369946,307534,2248089,360498,361770,72874,1084611,449782,72106,132019,1030266,542470,333425,250999,360058,470116,143483,462777,541069,745000,464916,317098,384342,121493,222145,139131,92534,410625,182739,495208,861487,75245,1128832,340208,271561,694408,94074,287393,82685,656573,1953453,136352,55854,629104,627136,207992,568929,38326,28586
T14,4698,0,8085,18634,121255,19328,53838,144,93540,0,0,1000,44046,0,4754,0,6852,10464,1070,2843,26089,19972,1797,0,0,142,567,0,7810,6955,1135,76770,0,0,13955,7261,4406,11799,9408,0,569,0,0,0,207,0,5899,8650,12093,254,0
T15,299164,2101,105152,0,40222,5260,159639,21057,391380,0,82255,1616,717660,3412,0,355,0,21826,477,122240,0,0,17941,0,1395,13983,1855,5085,27376,1701161,6327,1572830,248274,12824,605503,14004,4859,660117,60673,37418,694,5587,217599,4893,14614,100917,190610,11319,253295,0,115297
T16,67346,16972,52548,65948,717624,61599,118713,19662,435947,84261,27384,22995,310187,111196,97433,55549,14045,86783,52127,91867,139856,245937,164767,51778,79683,13397,38751,48292,38140,269465,18408,593580,40363,13770,224199,68854,87528,336244,36545,28461,13952,80105,582793,26100,13996,15315,146930,32088,153564,5632,17065
T19,68480,2,0,13743,26594,10224,64846,26043,205774,0,79982,2000,112158,0,0,9220,218801,30968,0,314057,55863,11516,279429,0,0,10521,12486,5302,470057,26034,56348,1069214,294144,24180,0,7816,0,513740,34448,50145,24065,372621,1355505,0,95338,269519,116861,100623,0,0,30768
