,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T21,0,21,0,497,19466,754,232,305,0,14000,0,0,267,14861,6724,23268,7261,248,0,643,2776,170841,0,1181,33981,1799,4587,864,86564,164,53812,633,0,176,549,15970,152751,841,16567,149,1478,6709,323,19776,0,29,102,6038,2932,709,0
T22,156398,0,10105,27177,66966,17400,27828,1206182,34942,309821,39094,1647,2301,358214,7556,42286,22556,100367,146329,9845,108642,25653,22820,7824,170546,29978,3594,5849,97596,54896,286599,25199,26511,630888,0,236774,58478,36048,116289,4861,129851,5228,790557,129394,465,3409,57686,34595,927,19623,14153
T23,22443,28713,34229,24492,103499,75758,5116,3316,94,17303,23867,514,37603,39734,19508,27891,25092,27925,31098,16802,18360,5489,62501,63283,2372,32827,53632,13786,10513,10093,13566,19163,49489,32130,17809,37698,20777,53396,73925,1790,18888,28783,33333,108204,28720,7449,25656,45738,12230,67232,33580
T24,211144,60460,207819,157628,3860058,490175,219903,54663,37649,1381688,351212,178663,142970,1675694,255110,594080,226837,202663,76004,106876,485119,441078,1018071,727385,162773,278327,157999,101808,173550,122490,637074,181434,1357402,607531,122799,745550,724318,540392,892816,55054,223718,80835,278716,2107627,176458,70033,449616,564178,2409,470542,77492
T25,26342,0,30534,18177,308834,33055,49256,5681,4363,155703,102248,272,10580,118374,223978,20871,11314,16428,11082,9600,35987,109266,56917,45713,45902,18016,9560,10395,29919,12369,55398,3684,140400,116386,5329,80658,29862,42035,76668,4949,9493,3698,47806,137645,16283,8907,40018,116458,105298,39053,2217
T27,14670,866,17546,9032,474429,13529,676,0,0,25316,0,20755,56699,18196,0,9793,5248,0,6989,0,0,0,29803,734,9054,19696,7,0,0,21456,7762,1503,12601,19194,6,31172,4,15945,61678,0,10526,0,5966,7924,0,0,0,18529,136,81944,0
T28,58668,44663,148516,140712,4527845,42881,135825,112096,38465,216891,82893,39372,77194,455585,39773,139123,74704,128470,110702,108891,197289,295550,159782,484485,122097,139677,108470,36832,247871,95760,492866,40392,115113,297086,78671,933678,68132,287006,947136,49502,99602,141048,335982,687419,53264,19403,239148,312495,9896,340205,26326
T29,1,10278,3224,1840,4369,312,4811,5741,42258,9597,22802,11208,3829,36593,90268,2151,2614,5238,4148,9069,1908,161913,196405,59143,56425,22551,10698,1040,3320,856,1979,0,1460,25165,0,47772,527,6728,19793,4401,16903,21694,8641,160413,2895,1859,4028,165201,3757,5464,0
T40,3336587,0,3760883,2664153,77929551,6375248,8182071,1140248,1868468,0,9678524,1987915,1478368,15913816,5232976,3471617,2262951,4069501,2983104,1533130,8346145,14491903,8825375,10370047,1783438,5856131,1180478,2239582,0,96038,13250002,1381254,43713484,11197650,536619,8882973,3252290,7309115,11488974,1215368,3741800,0,302196,0,3157718,709310,11903945,0,1932457,7069248,0
T41,533586,227852,690960,476553,9007182,673230,689685,400746,448259,2237500,1000536,72249,217082,4054267,903572,463238,458306,751910,253650,168966,1003588,2227381,1185568,1476629,534547,425776,168039,344477,0,576679,2579391,249947,5084187,1330223,186039,2586,388530,621727,2510135,176336,377329,4334,1400973,0,368681,112643,817851,0,188758,1032411,0
T50,0,0,0,3,0,0,160712,5846,48274,410,0,12071,0,354570,4594,89807,-131,50976,4,31196,243412,340903,110,141262,3898,92,0,0,0,0,793508,1,1108529,3225,0,3070,127,110994,970838,42231,0,0,84211,0,0,9890,97,150295,0,-113,0
T51,39274,0,17622,35508,0,0,184030,77590,480592,2467410,224,78701,0,66084,0,19415,0,3263,0,26678,170410,261898,258399,207431,0,11630,0,9078,69202,117672,435084,0,1155309,62453,0,0,18065,3179,484779,18903,71605,198,190034,0,0,33622,345747,793650,10970,57820,0
T53,79235,105233,24862,104383,69960,292683,0,0,0,37220,0,0,6143,0,2015,0,148077,220613,731330,0,0,0,36883,58931,78726,1,269287,5282,121604,0,0,1001741,0,1870,2849324,22891,556546,24149,0,0,0,8098,2195,4005371,130212,0,2258,43893,668880,9263,883913
T99,0,0,0,26535,81203,0,626,1035,80112,0,0,0,0,0,0,0,0,0,0,0,197795,197503,5,0,0,44,3635,0,411914,0,0,0,1447230,0,0,0,0,0,21850,0,0,0,19396,0,0,4361,109909,0,0,11570,5223
