ITE,US,AL,AK,AR,AR    .1,CA,CO,CT,DE,DC,FL,GE,HI,ID,IL,IN,IA,KS,KY,LS,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VI,WA,WV,WI,WY
T23,1014527,17318,16089,14639,20455,74157,53553,3175,939,0,15315,20648,228,23271,23704,15023,17682,12338,17266,21886,12234,10887,6284,44799,37473,11226,27109,28772,10431,454,6412,12026,10850,31191,15017,7280,29574,12078,25895,44708,1474,13689,12388,19106,64672,14178,4861,18730,29368,14927,49495,19253
T24,12840491,170633,28827,132099,97100,1510949,139184,210777,27602,0,809031,202056,61447,77588,769224,115619,262488,128781,152787,96045,56078,190265,244911,652888,510434,116986,237057,49406,74352,98298,56304,399809,123162,612900,345984,38458,557388,545620,333843,505700,47314,95938,30050,201217,785558,47696,36417,263540,244433,75486,226204,44558
T25,1186284,16113,0,10723,16165,111056,14796,27503,161,0,98776,35750,376,6112,50546,0,11512,9416,8222,9350,8811,15950,62310,38539,26503,13676,18660,5034,7045,10721,8420,28885,6670,95200,68698,3160,34557,5580,17802,52173,359,17242,2009,36546,83896,9664,3217,24705,24472,3657,22663,2883
T27,344250,8261,29,0,8316,62056,0,836,3063,0,27399,0,8088,27907,0,0,8320,3360,4704,2628,0,0,0,16556,0,4162,16512,8,0,0,3395,2248,53,34448,0,0,1036,4,9921,42785,0,0,0,4565,14416,0,0,0,11569,15439,0,2166
T28,5783942,99876,30519,49966,65737,1121598,41225,78260,148505,0,251101,69966,16938,38517,237460,44913,69657,32258,90041,54534,33146,116715,56279,216180,228375,40487,114388,27209,50982,94569,35668,110903,25418,72011,98368,27421,219739,88466,114747,279612,19589,96501,41446,71935,429080,15517,16708,87326,149966,25004,236149,2967
T29,398812,159,85,4908,4263,7217,405,4219,6522,0,9654,35295,366,4063,4364,482,3113,2055,3304,1256,642,2197,39300,23825,13974,0,13987,1192,16234,3517,2625,3542,624,3500,2721,0,4841,339,2242,9840,1141,79622,6206,1759,26739,1522,2399,4357,29322,210,7823,840
T40,144950037,1687599,0,1668414,1246600,23272871,2560337,2979796,663111,0,0,4741200,976579,711657,6286770,3750826,1719566,1512816,2205023,1560048,771810,3768560,7181821,5930404,4778972,791009,3038167,406276,937297,0,52682,4825411,747814,17554367,5458963,163316,6141212,1697600,3272594,5574994,639703,1932992,0,128189,0,1237332,323140,4727791,0,786190,4538218,0
T41,30717861,226616,331337,600890,229982,5803652,224275,567955,172562,0,1232731,726321,67570,138277,1803931,904265,221041,291080,292753,380155,97146,343499,1213366,2228753,699234,225924,411045,81999,137338,0,208388,1263979,173205,3042094,981378,75223,737363,221172,384073,1575707,89198,239350,36888,479660,0,195800,45327,425154,0,251230,638975,0
T50,5913125,44511,1666,66973,18555,756777,34641,226837,31755,0,536523,60296,22169,4052,199423,115363,88213,76029,95287,77735,14771,105967,202707,79484,48465,12487,81160,14562,15231,27666,40557,313447,17838,889323,144846,4807,101975,80514,33856,615495,12614,28174,21488,60558,207486,10282,18015,92163,88469,17367,50825,3721
T51,2698557,23326,0,0,16831,0,0,74974,43838,0,996000,190,5781,0,38943,0,7608,0,3180,0,11542,78126,59019,0,86533,0,0,0,5322,2360,33332,74811,0,293834,0,0,0,6885,16638,237201,5084,20818,131,94926,0,0,13692,102774,306004,5318,33536,0
T53,4867898,80238,1058602,0,13450,37416,30274,0,0,0,75844,0,0,3021,0,611,0,87185,186642,408340,0,0,0,41154,3218,32933,114,93907,1806,38892,0,0,405828,0,1970,135552,9155,404050,52898,0,0,0,6958,1124,1147660,25137,0,1715,82170,184656,2181,213197
T99,244577,0,0,0,3387,0,498,0,0,0,0,20887,0,0,0,0,0,0,0,0,0,27370,0,0,0,0,3015,51516,0,0,0,0,0,0,0,0,0,9079,0,29839,74,0,0,26937,0,0,11803,59101,0,0,1071,0
