,USTotals,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
T11,1343642,91,1685,917,989,0,1248,133455,0,397,0,0,0,206892,0,8508,1077,240,1862,0,5173,8350,0,57507,126941,9366,0,10821,426694,2480,287154,966,662,0,11354,0,12399,80,361,0,18318,37,0,7034,0,0,61,14,0,509,0
T12,8610074,166346,26109,134971,62942,977529,103191,167845,50009,378461,198773,174515,48464,141426,132472,103327,95619,260391,246250,40341,147489,290189,201094,150069,97296,195004,32506,40494,77279,40037,257910,34929,688284,225408,17311,325865,134882,64295,433370,36844,69666,29746,171340,754674,39959,17931,196416,146309,66813,103806,13878
T13,24489699,445279,40507,423061,320905,2526231,405952,405748,75874,1252347,490883,76374,147220,1096031,599025,354145,284490,380406,465940,149826,587845,562584,794603,486797,340587,472024,157743,256014,171967,97912,446284,196439,490283,908553,83158,1242480,352618,354578,751182,119641,303918,87326,684479,2171338,187377,59680,670770,632262,204654,634631,39728
T14,529059,5180,0,8506,14676,119159,8414,13771,118,93376,0,0,0,46896,0,1696,8299,15548,5544,1621,2993,13426,17415,217,0,0,190,854,0,6180,4707,1153,67069,0,0,14089,3601,2698,15669,7286,0,374,0,13725,0,103,0,3790,2500,7964,252
T15,8490420,376822,2609,112214,0,39955,5866,147141,24652,459376,0,92292,2088,779552,3787,0,806,0,19513,1112,137723,0,0,788,0,346,13457,2233,4930,50390,1612339,8875,1750317,279467,25961,662691,14637,6435,649913,68944,38827,781,5596,263277,0,16074,114236,202422,223738,268238,0
T16,6717102,68116,16788,53076,89134,622313,62490,124795,20669,438864,80620,32658,19134,416937,79653,96202,54097,17151,81910,46132,139767,237307,395792,169681,54204,99091,13825,46292,47943,42850,255568,23899,704853,37925,23966,287042,73067,104699,307679,41125,29166,14248,81420,573337,27649,14227,15039,215284,33596,180171,5651
T19,9074960,106870,0,0,57582,29124,40267,99420,27898,351813,0,104714,0,555227,260,0,10688,429693,31209,0,413706,62819,11478,391804,0,0,9645,29447,41740,234146,223140,78328,1311447,399315,73583,59336,149393,0,680159,27204,77019,30952,412835,1771199,0,103142,368963,150098,119297,0,0
T20,299173,2698,1883,3037,1391,36746,3493,5888,599,38286,4704,0,1000,4283,7564,8332,2724,2125,0,2941,493,1127,11797,779,3034,3332,1390,241,0,3035,4880,3347,27685,5758,240,24680,2354,1738,14072,241,9649,257,1677,25705,700,408,6193,8371,8051,238,7
T21,239217,0,96,28,4494,0,2135,250,66,10090,0,0,0,867,3352,2017,207,361,2229,506,13,938,629,351,0,1455,33456,0,74535,492,49946,170,239,5854,320,0,4561,786,44,180,31186,163,0,5365,0,176,9,681,5,965,0
T22,4503820,94207,1001,4415,8670,96538,3508,10988,307008,117592,25065,1475,613,90494,4146,37184,17307,82226,260744,2367,13490,18286,18669,2183,50490,69015,928,6617,10486,3848,124061,2143,37514,164406,0,310468,34494,7468,893118,10190,28920,748,249682,1228233,0,1837,24814,9170,4484,8631,3879
