ITE,US,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T22,5013615,125569,1095,4524,9452,19276,4012,9611,332004,121887,28903,1642,705,102196,4330,31463,17962,97666,271139,2442,14437,18822,20318,2447,61184,77034,962,5398,12167,3909,120496,2160,37497,184382,0,403609,37488,4590,959058,9910,33809,791,278658,1479480,3268,1119,25387,9960,5938,9062,4397
T23,955419,17011,17145,15297,13545,66334,55240,4364,903,14453,20010,283,22631,18819,14644,16704,11704,16029,14497,11392,10174,4442,38587,37242,11308,21499,27257,9049,4819,6356,11790,13428,32046,15229,6853,29033,15335,22043,43001,1539,12924,12350,18138,49635,13179,4918,19244,31219,14724,48049,19004
T24,12414315,182439,24496,246154,91764,1454043,123295,198301,32206,751821,207837,61277,54158,730669,156784,260191,123211,162329,88115,56249,190977,250921,591029,478082,102809,228433,44777,66690,86833,53444,393759,115612,658242,320167,40197,495860,460841,277265,493305,53991,91619,29344,197450,744547,47826,38614,279192,232684,84448,219004,41014
T25,1144927,16434,2564,10141,12825,112596,12981,26176,124,96635,36279,382,4838,42794,0,10277,9201,9282,13472,10127,20625,63952,36853,22560,10504,16733,3260,6257,9598,7748,34335,5750,102789,58569,3108,36354,5764,14947,50952,363,13282,1990,36251,69796,9585,3670,22933,22675,3369,20932,2295
T27,368381,7815,311,0,8447,78092,0,0,4127,24396,0,7207,29944,0,0,8164,3550,4340,5516,0,0,0,18168,0,0,15303,1273,0,0,4349,3993,102,50027,0,0,696,5,8305,42922,0,0,0,4939,7905,0,0,0,14155,12533,14,1783
T28,5297020,128876,28029,39317,54708,1109449,59910,66578,151034,241050,65387,12537,32211,46402,40297,60767,29060,78278,48853,30425,117667,55156,115168,158908,37546,105942,25915,48491,113862,29869,94516,14588,98549,117518,25274,338184,48034,171158,260903,17884,96396,37581,64290,393055,15568,13534,72335,137533,18111,127658,2659
T29,352988,137,183,24924,3710,6924,6824,5587,3962,9759,36654,339,3741,3202,494,3185,2020,2546,1244,665,2734,33554,21017,11339,15,11616,835,14455,3691,2805,3055,576,3990,2164,0,3942,336,2182,8071,1023,32789,5207,1828,15542,8941,2153,4155,25265,1920,11294,394
T40,125610125,1482662,0,1482749,1047119,18344342,2101708,2474355,562371,0,3841595,925714,599724,5312159,3257299,1617498,1232989,1964843,1061606,640472,3400487,5974201,5473072,3663517,683247,2535063,372093,740902,0,37758,4540082,591734,17589489,4699115,142997,5552503,1416921,2797575,4929522,530406,1655954,0,101511,0,1024072,250283,4315545,0,709923,3932948,0
T41,29075019,236279,528005,417481,191600,5747929,190026,698918,193649,944969,653296,47296,129470,1481460,874305,220675,261408,340912,283076,63290,365759,1205667,2130395,665756,203339,369424,75520,123924,0,166451,1028947,150343,2814568,906007,69880,713252,166746,312001,1784579,82160,250214,39914,493072,0,147374,48274,367832,0,218686,670891,0
T50,4904482,34705,1158,48771,21667,466214,27628,212853,27971,409253,74762,16438,7350,179513,106055,89224,56604,79512,61232,17124,92218,209281,73372,35415,12264,71923,15382,7409,23389,29065,275824,8962,759377,118457,6394,83362,70666,26014,563093,12155,26980,22427,44482,171606,24956,9748,77676,41972,8513,40784,3282
T51,2339934,16550,0,0,10642,0,0,62647,39079,804804,775,6410,0,33001,0,7167,0,3770,0,9692,71737,46140,0,70947,0,0,0,4453,1862,30390,60609,0,343150,0,0,0,5968,21572,207519,3477,18341,121,76016,0,0,13320,84046,252213,4861,28655,0
T53,4467629,63326,1159882,0,12865,42242,24648,0,0,72941,0,0,2538,0,640,0,82464,196686,382527,0,0,0,27198,2457,28656,21,83241,1573,46990,1,0,294297,0,1919,113425,9135,309553,77847,0,0,0,6205,903,890093,21404,0,1800,97776,176756,2255,233365
T99,298065,0,7,0,15706,0,263,0,637,0,20774,0,30497,0,0,0,0,0,0,0,35786,0,10776,0,0,3713,48759,0,0,1919,0,0,0,0,0,0,20858,0,22450,61,0,0,24368,0,0,11185,42478,0,0,7828,0
