ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY,Unnamed: 100
T01,315698,,184254,,758304,,961130,,3207301,,0,,0,,0,,320,,76704,,0,,0,,58273,,5232,R,0,,71876,,514814,,51791,,45514,,793304,,6167,,1970274,,774891,,24454,,29719,,243684,,119,,320228,,399498,,4228,,58329,,0,,0,,2292,,0,,0,,21846,,47658,,2122,,8311,,0,,0,,0,,0,,955512,,39042,,1857838,,6016,,147346,,284351,
T09,2174639,,0,,5874113,,2736946,,33465174,,2173882,,3276124,R,0,,18378130,,5080777,,2495807,,1187070,,7420829,,6269721,,2321044,R,2487499,,2896252,,2812804,,1010241,,3896700,,4920521,,9657800,,4657395,,2969375,,2972654,,0,,1542620,,2931547,,0,,8144397,,1891591,,11581018,,6185008,,776378,,7767709,,2177458,,0,,8951757,,812824,,2793683,,808091,,6186336,,21793858,,1850205,,325622,,3460741,,10580395,,1210255,,4109019,,672532,R
T10,167871,,35747,,63365,,46781,,334178,,37014,,48923,,16883,,560163,,161803,,48054,,7934,,268276,,43494,,14273,,113247,,113252,,55948,,17464,,30434,,73661,,143213,,77850,,42128,,32959,,24850,,27668,,40479,,12751,,131442,,44578,,230074,,310616,,7796,,93986,,94902,,16294,,307664,,12282,,151355,,18749,,123266,,871147,,42413,,21137,,190288,R,331900,,17524,,55130,,1680,
T11,90,,8321,,532,,15020,,0,,95870,,409188,,0,,137578,,0,,0,,0,,491241,,864325,,276657,,407,,179,,671891,,28029,,26460,,3362,,114017,,35825,,146976,,397831,,49839,,4998,,885808,,172,,266263,,69913,,713,,16747,,8183,,0,,17082,,29,,1415734,,0,,37650,,9022,,0,,38755,,0,,0,,67,,0,,68154,,284,,0,
T12,271835,,55713,,444421,,153766,,2307022,,191515,,209187,R,87988,,698100,,360670,,143455,,68754,,339387,,185439,,97098,,159824,,128732,,535565,,89544,,410287,,319844,,271256,,354306,,175712,,283614,,69489,,52644,,235792,,71418,,465081,,121562,,1282080,,501060,,36686,,467286,,183779,,60302,,926818,,84253,,157637,,65176,,666932,,1350468,,96338,,57551,,406113,,413097,,146054,,156500,,21863,
T13,548265,,39617,,774633,,468525,,5705527,,622822,,469724,R,113753,,2268475,,932703,,95310,,238983,,1314194,,819164,R,447992,,436855,,732826,,607540,,239446,,752171,,660829,,963507,,847897,,417088,,720404,,209416,,318054,,291238,,159216,,524167,,231654,,1609423,,1663047,,170853,,1757224,,447543,,441858,,2064196,,123474,,527829,,127437,,845393,,3108416,,369966,,104721,,897405,,1205858,,397749,,989545,,70176,
T14,1973,,0,,321,,4098,,13548,,577,,7220,,110,,9420,,0,,0,,838,,6746,,3500,R,3918,,11,,4607,,5115,,2342,,1159,,1457,,5258,,580,,0,,0,,14,,191,,0,,1265,,0,,413,,21484,,0,,661,,7571,,1130,,1202,,14843,,1318,,0,,654,,0,,7744,,0,,0,,0,,1809,,2312,,0,,65,
T15,772003,,3923,,23047,,0,,790501,,11568,,277640,,58753,,3122370,,0,,117940,,2430,,1844536,,208568,,0,,448,,62286,,10569,,31886,,131566,,24132,,28059,,49,,1903,,0,,50518,,57215,,22820,,83625,,943383,,29029,,954205,,400665,,38062,,1194452,,34443,,91220,,1230536,,104405,,28395,R,3369,,10970,,631024,,28481,,12755,,157561,,473056,,164518,,374994,,3266,
T16,136611,,70918,,327800,,245290,,905245,,199042,,400562,,128935,,394276,,228858,,125797,,49505,,588262,,470248,,226693,,102496,,299701,,142064,,145229,,407570,,577360,,969676,,421665,,157569,,105517,,85934,,66134,R,107839,,232030,,788480,,74612,,1613010,,289504,,25302,,855610,,259226,,262799,,1126362,,134961,,24692,,62539,,290747,,1501797,,124378,,72961,,173812,,493755,,110760,,645717,,26123,
T19,501840,,41775,,115177,,206556,,4095264,,465080,,551945,R,86773,,612674,,343851,,309199,,60692,,1340156,,122607,R,27756,,32180,,656512,,289714,,118464,,997667,,525198,,959224,,1840116,,306872,,115216,,43312,,24318,,173643,,334443,,658612,,105212,R,5075955,,567854,,105264,,447413,,28954,,223319,,745864,,164371,,323403,,58904,,452843,,4495210,,101738,,309321,,571694,,603834,,370291,,477880,,1239,
