ST,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY
T01,273501,,65780,,924995,,633016,,2304092, ,0,,0,,0,,40518,,78958,,0,,0,,60397,,5427,,0,,73383,,493623,,38757,,37807,R,595373,,74,,2322506,,674559,,47621,,26397,,201825,,2395,,184467, ,385268,,3796,,55644,,0,,0,,1787,,0,R,0,,21791,,64467,,1479,,9361,,0,,0,,0,,0,,889022,,20676,,1688530,,4104,,120103,,266498
T09,2278027,,0,,6612350,,2904401,,32669175, ,2196193,,3030353, ,0,,22848990,,5915521,,2557644,,1277533,,7817291,,5423501,,1786668,,2242025,,2817636,,3481242,,1054812, ,3447828,,4075549,,7983098,,4470596,,3155622,,3272919,,0,,1484170,,3212848, ,0,,8609639,,1936640,,10879888,,5202423,,484341,,7750543,,1964098,,0,,8661711,,875619,,3233632,,711321,,6772468,,20434675,,1953643,,334413,,3634588,,10861327,,1129531,,4158611,,698437
T10,158886,,35044,,63190,,46755,,333789, ,34394,,40411, ,14802,,653721,,160068,,46034,,7416,,155680,,39704,,14237,,101260,,102201,,53881,,16976,R,28682,,71728,,136483,,72315,,41977,,31324,,25669,,25828,,39862, ,12519,,103293,,41857,,194222,,246163,,6447,,91521,,79694,,13889,,264665,,11356,,147401,,13414,,112035,,735650,,35872,,19204,,167754,,253225,,9012,,52205,,2776
T11,103,,2446,,619,,2655,,0, ,112536,,465737, ,0,,0,,0,,0,,0,,832094,,830330,,276132,,535,,190,,726078,,19930,R,7540,,3805,,159363,,49137,,185847,,339579,,60179,,5521,,1089065, ,191,,450115,,70893,,671,,15882,,8927,,0,,11096,,90,,255074,,0,,38095,,7765,,0,,26390,,0,,0,,130,,76,,0,,360,,0
T12,276814,,55402,,440696,,138612,,2178336, ,182111,,233942, ,110167,,785875,,341716,,99079,,85622,,328949,,190811,,105223,,129841,,148247,,402298,,85169,R,385026,,397280,,223754,,318179,,191973,,294947,,63060,,36625,,259329, ,87346,,478699,,120823,,1172298,,487119,,30168,,447603,,197026,,56167,,693984,,56581,,123003,,58981,,374502,,1292460,,123665,,55131,,384894,,391949,,111176,,156765,,23701
T13,567791,,39303,,768914,,462056,,3432527, ,684590,,439673, ,117484,,2305859,,1082874,,89729,,231894,,1453706,,880874,,447484,,431394,,570540,,616636,,232650,R,753988,,676119,,1034462,,644172,,448826,,736652,,210693,,320509,,328433, ,129182,,561519,,243757,,516224,,1608984,,138813,,1719809,,396991,,416964,,2142989,,131696,,533285,,123484,,859743,,3075308,,382381,,87370,,918849,,1128798,,349167,,996200,,72037
T14,2968,,0,,432,,5417,,37527, ,2972,,8650, ,147,,28098,,0,,0,,1931,,8515,,4572,,2675,,2760,,5833,,4643,,3488, ,2019,,3859,,9168,,1520,,0,,0,,136,,233,,0, ,3148,,0,,1378,,28087,,0,,255,,12116,,1834,,2592,,24737,,2902,,0,,303,,0,,10919,,0,,0,,0,,1994,,3097,,1018,,180
T15,744890,,4096,,45346,,0,,687164, ,9750,,233555,R,47665,,3023849,,0,,124017,,2260,,1878521,,202843,R,0,,892,,52584,,17607,,24442, ,132789,,24000,,20829,,50,,2049,,0,,40674,,54282,R,11193, ,73494,,926730,,30000,,773876,,372028,,35475,,1106302,,29969,,22071,,1299169,,102119,,39985,,2862,,7813,,995056,,30231,,10310,,139705,,444134,,152529,,350583,,2977
T16,150779,,73994,,358113,,148317,,1078536, ,227662,,253774, ,88085,,454017,,242799,,85779,,55320,,638796,,360530,,135207,,120587,,177527,,147262,,158953, ,277755,,438074,,1131712,,448380,,55631,,108876,,91470,,71526,,137649, ,138511,,784329,,46775,,981861,,241314,,24236,,986252,,231428,,271101,,1018438,,119867,,31672,,46665,,135802,,1330589,,62473,,64300,,172077,,444688,,111392,,313645,,24610
T19,210128,,25512,,0,,146495,,86774,R,0,,610702,R,80859,,515374,,111768,,225683,,6822,,1801275,,9740,,0,,27735,,715537,,32005,,92292,R,776259,,315530,,903224,,1297741,,96265,R,30201,,38278,,4956,,47685, ,290503,,266479,,154778,,4958558,,692092,,80044,,333852,,27859,,0,,121776,,56447,,430239,,55286,,101622,,3910337,,36772,,274249,,677945,,325720,,347437,,7694,,1246
