ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,4468912,633630,5306966,2694698,34600463,4430989,3434602,796599,16373330,8405677,1227024,1320585,12520227,6126743,2931967,2702125,4068816,4470368,1284470,5386079,6401164,10006266,4984535,2859733,5637309,905382,1720039,2097722,1259359,8511116,1830935,19084350,8206105,636550,11389785,3469577,3473441,12303104,1059659,4062125,758324,5749398,21370983,2278712,612978,7196750,5993390,1800975,5405947,493754
T01,183163,45116,312273,434194,3321844,0,0,0,498924,50948,0,0,58711,4583,0,52148,412535,24607,47508,262028,105,1790053,9509,1293,19418,204240,5439,99108,458170,3146,40220,0,4,2576,24913,0,0,58245,959,13571,0,0,0,0,367459,30587,1399497,3613,79640,110012
T09,1712639,0,3825282,1809618,24298292,1970206,3159040,0,14716286,4906559,1640038,782064,6319746,3606008,1756167,1745023,2259124,2400038,817880,2646642,3755838,7722911,3770897,2325630,2804891,0,1032181,2048752,0,5758670,1620362,8778982,3456078,340126,6287758,1535830,0,7238386,695966,2500285,514712,4704130,14707624,1480122,214128,2642751,8066999,928143,3609895,405946
T10,128848,12003,51406,29072,288451,30439,41146,11611,545488,140367,37782,6057,140643,33078,12209,77896,69876,52392,40900,24522,64793,136591,60610,39256,25912,17541,17290,16468,11462,79889,34738,179157,199844,4892,81029,61994,12616,187662,9450,129133,11070,78471,541305,25020,15386,127638,168777,8197,44907,1349
T11,94,2380,634,0,0,87981,327003,0,0,0,0,0,541079,470422,162175,778,217,457975,0,11416,5939,75415,56497,182190,191301,41502,6215,729399,1659,342254,27458,701,11846,14261,0,7173,38,612,0,37651,20,0,21629,0,0,54,43,0,379,0
T12,202703,32175,187832,82883,1496556,144643,180265,57908,387855,245229,73914,61341,256566,147895,126611,77211,243875,247319,45780,191427,332899,200756,185557,121316,192681,45952,33748,146925,61342,323188,44530,610625,311986,22412,350279,154309,61779,471533,37287,87631,42641,296496,767433,74012,21445,268060,279726,115053,99339,13313
T13,502635,37738,603697,400726,3142142,570625,408539,99399,1731688,664837,77451,207576,1366563,665240,354091,362291,449110,538812,189172,686942,659873,1074763,608069,405171,675994,183277,290834,248764,119433,516413,200052,513231,1182716,111623,1307275,401317,406079,1706376,130069,365391,121624,774689,2766028,325490,65895,847416,736146,236742,919700,66147
T14,3528,0,1797,6273,44541,6098,8566,207,29247,0,0,0,12827,3553,2779,3973,19693,5020,4695,1867,7542,12520,1132,0,0,126,931,0,4022,0,1146,37431,0,3471,17321,3703,1560,29170,5437,0,1895,0,11516,0,0,0,1829,8451,2526,249
T15,520100,3329,32678,0,262527,9252,180546,31893,651142,0,134582,1796,1527009,4247,0,887,0,9067,4022,144049,0,28756,50,1332,420,31990,2599,8089,57756,851195,12421,927222,421683,39134,640548,19954,8063,684209,81305,43757,2430,3998,672566,1668,9605,96603,332367,192526,274020,2121
T16,66301,47012,160694,96663,1150856,67904,118701,27213,442711,81823,55073,28568,472615,85338,95693,52876,16862,96621,74358,205766,270512,596238,183009,55507,108152,13726,45016,66213,86786,397514,18024,1020302,42026,21810,281972,73659,177603,320955,59645,29497,19350,81671,584461,47839,26721,15174,264885,31838,254868,5074
