ST ,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
POP,4447100,626932,5130632,2673400,33871648,4301261,3405565,783600,15982378,8186453,1211537,1293953,12419293,6080485,2926324,2688418,4041769,4468976,1274923,5296486,6349097,9938444,4919479,2844658,5595211,902195,1711263,1998257,1235786,8414350,1819046,18976457,8049313,642200,11353140,3450654,3421399,12281054,1048319,4012012,754844,5689283,20851820,2233169,608827,7078515,5894121,1808344,5363675,493782
T01,179828,44608,296706,481893,3330868,0,0,0,762653,48147,0,0,54452,3739,0,48601,388727,24900,30550,256027,151,1702501,9411,1378,18430,218883,4363,92743,473711,3039,34877,0,19,2486,22615,0,106,117436,948,12663,0,0,0,0,404710,34075,1697689,3537,87155,101396
T09,1701885,0,3632686,1706645,23457385,1849305,3419939,0,15010888,4630179,1536276,747134,6393080,3579416,1722836,1741217,2171609,2060822,847358,2498184,3565267,7666399,3723638,2333384,2787531,0,1027940,1941674,0,5508046,1502319,8563323,3374566,330269,6263251,1441670,0,7057309,621066,2458308,487897,4446160,14012165,1423234,215423,2471938,7739014,917050,3506696,368779
T10,123164,12655,50923,28845,282165,27110,44886,10936,575169,139830,39000,5979,127868,31406,12265,73487,68408,54923,34308,24400,63768,132648,61735,39894,25339,17234,17368,16390,11878,78161,36748,182914,192629,5431,83776,60889,12707,179655,9567,128848,10761,75918,514804,23943,14159,123448,162228,8401,43956,1107
T11,113,2335,677,0,0,75397,319370,0,0,0,0,0,488254,448236,176560,908,221,420779,0,10212,6210,53145,62496,176648,182252,41406,6518,708356,1850,340413,19805,1537,11400,13177,0,7933,71,575,0,37692,21,0,22602,0,0,73,9,0,409,0
T12,190750,29064,164732,94659,1299777,130837,183588,53430,355677,256956,70043,56460,219701,163124,120212,70139,226812,239283,46810,172917,334635,191946,171749,114535,209748,42618,39190,129333,54065,282264,65107,659046,279204,21893,358611,160930,43548,439897,31338,85074,39514,286584,739259,82872,20401,251074,261150,101004,96432,12410
T13,505360,42137,592518,388625,3041370,544134,543022,104200,1608061,632103,74456,208968,1356283,700420,346461,356236,440258,549421,181263,652052,652596,1074816,607589,418855,695591,188345,279426,261995,116884,506432,233176,521670,1066670,110546,1404946,402380,473947,764065,130974,369976,124735,788174,2688818,330499,60575,814999,775245,239580,915694,81364
T14,3723,0,2545,6641,45563,6510,11161,225,49394,0,0,0,23663,3772,3267,4239,20738,6171,4366,2070,7829,13493,933,0,0,125,894,0,3658,0,630,36369,0,0,16582,4119,1434,25510,5374,0,1470,0,11556,0,0,0,1955,8438,3038,233
T15,482870,3235,36563,0,218994,8072,197920,27871,666180,0,119505,2767,1467081,5859,0,866,0,12299,1960,153927,0,12303,58,1195,580,20425,3167,10427,57575,854176,7012,1605673,386551,28288,642111,15462,7241,678059,73011,41471,2089,4546,507857,0,9714,102351,290022,183266,277951,1984
T16,66431,48309,162896,92856,1216646,67622,129028,26680,442512,87004,42341,28780,467350,88334,96982,52898,17022,89644,74933,210025,279945,604672,186013,56385,112006,13809,46314,64675,94550,399760,24242,668251,42026,22826,289434,74820,188726,324319,59737,29685,19092,82589,531780,48254,25506,15332,277329,32345,257896,10719
T19,154149,0,0,44612,58297,0,205110,65996,423292,0,170291,4876,316048,16122,0,3877,567159,285394,0,637794,149599,35301,961016,6040,18558,19949,24351,21116,215041,230387,117891,1068296,588093,122618,0,12304,0,991007,71881,89801,46810,121353,3184527,15289,137849,572872,177319,310021,3481,0
T20,2365,1301,2381,1605,34275,4275,5900,593,30488,1959,0,1201,4208,7764,7976,2200,4113,0,3073,540,1282,11797,858,2038,3679,1707,260,0,3111,6250,3763,22951,5468,243,24658,6051,2232,14554,9,6660,269,1956,30417,822,435,7085,8098,8747,470,165
T21,0,2,70,1789,4914,1514,150,333,8082,0,0,251,2201,5558,5345,204,3082,0,860,26,492,0,301,1292,982,3997,0,90633,473,55329,1214,47,0,246,0,5368,1696,53,376,14205,116,0,7870,0,109,47,113,13,453,0
