ITE,US,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
POP,265284,4273,607,4428,2510,31878,3823,3274,725,543,14400,7353,1184,1189,11847,5841,2852,2572,3884,4351,1243,5072,6092,9594,4658,2716,5359,879,1652,1603,1162,7988,1713,18185,7323,644,11173,3301,3204,12056,990,3699,732,5320,19128,2000,589,6675,5533,1826,5160,481
I99,6097977,81578,14488,86420,44958,760431,89771,104056,18843,18541,326668,156555,29184,21993,298413,124384,59453,56028,72762,82422,24957,132784,170185,228369,110494,44998,116154,16052,35161,37319,29381,237155,30685,501965,151841,11945,251037,60901,67870,284386,23601,69786,14272,110579,397067,35577,12415,158669,129117,32333,114042,9932
T01,9973524,134252,56168,363315,7363,3375264,0,38,0,0,754482,35651,0,0,212144,2876,0,40362,411635,20304,43467,226767,102,1640411,8288,23733,14626,229692,4114,55094,424,2770,36560,0,11448,2079,17227,0,91,221469,9125,11892,0,0,0,0,10562,18808,1800457,2416,84437,83611
T09,139363248,1439145,0,2720378,1375906,18980224,1321500,2444896,0,0,11428999,3823895,1431802,600112,5057457,2867644,1456221,1401023,1784031,1621872,657955,2000298,2610094,6586563,2900125,1831963,2465479,0,814748,1571703,0,4318373,1283843,6963058,2970566,282131,4991363,1210391,0,5701275,465133,1919340,383423,3537315,10811287,1170120,182528,1995787,6182443,797289,2708052,295498
T10,3666690,115177,11985,44635,26278,269127,24789,40385,12228,0,542130,122051,37811,5193,58304,32299,12550,61004,60592,52956,34211,23327,60266,119275,55488,38528,23409,18234,15772,13256,10893,75158,35350,197798,164894,5177,78650,57866,11228,149546,8578,115809,9993,66206,418719,22649,13346,108767,135874,7827,40000,1102
T11,1861478,105,1908,792,713,0,0,159650,0,0,599,0,0,0,309300,0,103472,1053,258,1501,0,5239,7586,0,66168,216156,100235,0,9455,488307,1933,306183,1119,492,0,11745,0,13556,114,500,0,27612,34,0,25067,0,0,62,22,0,542,0
T12,9049371,159955,28184,132248,61022,1251490,112827,163286,42953,0,482053,205159,86491,51755,144404,135125,104287,97403,266986,238144,38736,165786,294139,209588,164480,104662,180525,36388,38200,95459,47054,300401,59264,735582,231046,19578,337539,141153,69616,400227,33645,75803,31487,221805,589809,42139,18099,218046,202679,71377,98678,12609
T13,25988277,462197,37740,497856,329908,2722191,452195,498126,94381,0,1337982,547641,77356,159238,1190886,613035,367154,295872,401327,502015,156448,606406,598773,783358,519713,354682,565564,176047,269114,196116,107300,461045,225631,504373,951595,95420,1201612,341744,380024,759649,125651,321641,89565,715111,2322645,206904,58570,706823,676716,206139,673525,43273
T14,464766,4506,0,8452,7658,105215,8031,11414,184,0,81638,0,0,0,41537,3275,4432,5232,21288,4199,2934,3026,11377,8682,1524,0,0,176,644,0,5093,2257,903,45111,0,0,12002,3378,1724,21223,6029,0,371,0,11767,0,29,0,3131,11076,5020,228
T15,8614794,403569,2541,82952,0,41086,7137,191872,25175,0,542993,0,104131,2890,848553,4774,0,865,0,19635,523,136679,0,0,53,0,300,12756,2505,5669,52944,1435103,10365,1666959,299145,27634,680095,14372,8466,665606,65258,31441,1536,5528,350586,0,7776,114872,238843,203140,298467,0
T16,7337848,70320,16766,170852,95336,658083,66105,124919,21733,0,458234,87241,39572,32605,421647,87206,99404,55284,18844,87936,44989,132288,232845,590900,180419,56411,115954,14549,47805,53781,44497,251500,25988,690568,46698,24403,297866,77957,120185,341641,53769,26098,21792,83898,566769,28694,14015,16112,278315,33652,205350,6053
T19,9768344,119000,0,0,42845,65334,50923,297742,48188,0,365885,0,127520,0,481020,17923,0,13164,512335,30554,0,481903,72857,25874,604425,0,0,11328,26282,16702,159026,213726,93297,1109576,479915,93663,5161,9643,0,718044,24861,85958,34163,114518,2399611,0,109484,428507,149488,127899,0,0
T20,307061,2431,1298,4038,1560,40712,3669,6647,591,0,31599,4471,0,1112,3924,7301,8545,2021,2277,2060,2871,503,1172,10125,828,3144,3469,1526,246,0,3077,5503,3659,30976,5856,243,24990,4667,1815,14188,64,10473,256,1642,24499,785,451,6580,9125,9560,505,7
T21,241785,0,90,19,295,181,3019,333,65,0,8041,0,0,0,932,4652,3264,164,410,0,583,13,558,710,350,1108,856,35848,0,77174,497,52941,170,35,7248,248,0,4799,2540,104,239,25932,213,0,7670,0,134,0,142,0,208,0
T22,5158425,111172,1361,5145,9655,23393,3966,11589,350035,0,123420,31229,1704,803,102261,4348,27146,19603,91200,237170,2610,14775,18872,9922,3246,68339,82344,1050,5517,14252,4017,129468,2347,31357,198197,0,372387,37893,5317,892264,9992,34037,1032,272582,1667996,3413,1132,25607,10659,6367,71067,5167
T23,989955,17963,18360,15599,18582,74157,55027,3334,899,0,14007,19794,227,23567,22243,13577,16995,11384,17238,16673,11092,10929,5001,41429,36611,11496,22614,30045,9653,495,6041,11782,13835,45572,15515,7022,29850,11061,25502,44188,1356,13083,12634,17949,47913,13443,4747,18026,29273,13711,49902,18559
T24,12681130,169735,29926,288376,98297,1517816,131550,204651,32802,0,786039,208092,60310,59759,670419,124178,271076,125309,167911,96808,56287,196519,219512,624169,484007,108891,234112,47097,71856,91944,52548,394350,119127,622500,337461,38095,509418,520164,338603,491377,53599,96260,30387,197997,764892,46964,44047,257941,237888,76797,230934,42333
T25,1166843,18018,0,11646,14218,110753,12172,27055,161,0,93887,33997,560,5507,46196,0,15125,9530,9269,9326,9234,17104,55635,40570,26191,16991,17902,4525,6604,10645,7609,28751,6214,90334,69018,3177,34572,5721,17182,52370,350,17364,2043,37652,82899,8918,3995,24074,23354,4254,21350,2821
T27,372725,7984,286,0,9790,70727,0,0,2388,0,25661,0,7586,27574,0,0,7835,3946,4691,5773,0,0,0,17121,0,0,16604,10,0,0,4001,3463,38,58790,0,0,854,7,7098,43286,0,0,0,5234,15291,0,0,0,12543,12104,0,2040
T28,5847077,95538,27429,44642,59502,1189820,40439,73144,144764,0,251778,63496,14712,35034,266445,47215,62467,29041,85573,49145,31135,114891,59298,212293,204659,37442,126016,26822,48457,114648,27639,123395,18824,90620,96653,28930,241498,73864,115618,263430,13760,94284,38172,69994,485488,15334,14742,82461,141537,20431,231663,2895
T29,448576,0,146,21920,4416,7217,378,4233,5110,0,9959,59123,357,2636,3243,505,1762,2100,2730,1372,661,2991,37474,25730,13344,51,12574,901,15813,3814,2609,3208,604,3423,2959,0,5148,310,2323,7861,1088,97999,5599,1742,28333,1220,2290,4128,28411,337,8003,421
T40,133546718,1577914,0,1494282,1162401,20760385,2274185,2614481,631598,0,0,4244096,999976,655050,5781239,3477970,1588052,1377253,2074572,1160262,709491,3484896,6706870,5438788,4135548,742157,2740707,383092,840210,0,51857,4733786,642800,17398595,4929008,151592,5902884,1512410,2823073,5214021,580628,1813461,0,114434,0,1139080,280918,4300918,0,750889,4150889,0
T41,29315684,217616,326270,448040,228801,5831072,205700,641389,166021,0,1007556,719400,65547,152735,1621276,894403,202929,254873,284733,327543,71062,330553,1227861,2189742,703099,201742,425542,75762,126801,0,179652,1155270,163402,2729835,939278,74299,807435,163734,300459,1504010,86973,250867,38099,533862,0,176781,44818,362830,0,235123,620889,0
