,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T01,332689,128076,823508,1057918,2176236,0,0,0,2070974,250,788350,0,0,54710,8052,0,81267,562370,55363,35755,725694,4710,1919910,837145,25103,29725,268508,143,258600,383126,6705,105637,0,0,3026,0,0,21740,45017,2567,21664,0,0,0,0,985478,35561,1974354,6651,159069,300096
T09,2393192,0,6317644,3130274,37224077,2615601,3981362,0,1172595,21480910,5125502,2825041,1373666,8515410,7003426,2959924,2983664,3131157,2923336,1191685,4195996,5518580,8715827,5398173,3304632,3285563,0,1763695,3828869,0,8885847,2098676,12668587,5842182,1320196,10217826,2599203,0,9497906,906687,3370643,914979,6192281,32336032,1823355,354541,3565789,11767488,1221966,4628338,765543
T10,181427,39078,71136,51618,354297,40886,60686,19616,6234,452370,181875,48305,8780,279587,45955,14187,126861,128534,56967,17923,30808,78817,143641,84202,42402,35760,30053,30258,42917,12755,139438,44968,250926,343344,9220,98397,110941,17627,346008,18383,162313,16205,147812,1068051,48413,24065,207672,321412,17295,57958,1828
T11,70,9205,533,39660,0,105420,348353,0,0,187639,0,0,0,662592,655894,282713,343,214,675386,50854,431851,3758,106903,43134,127777,361046,56900,5342,947290,444,219000,70226,996,14157,3620,273393,20823,0,1400232,0,38481,8885,0,29659,0,0,70,0,50465,222,0
T12,304441,62292,448115,182092,2362738,239431,205690,85735,99392,702340,372122,142051,75205,359240,223072,105532,198355,141639,429146,106372,475294,346828,362397,421688,263809,302166,88106,42746,264522,84518,599169,99832,1345394,476376,51047,510345,294762,84376,773462,61328,214600,77374,749470,1886289,113316,60020,431095,467351,155021,185502,25310
T13,534396,42467,779970,454909,6063356,647104,503252,113326,22961,2422718,1006494,93598,248454,1293967,814549,452596,441843,886161,588860,240901,812739,732207,964119,884162,409836,696458,196965,335153,296649,146101,539155,234881,1630358,1915670,228022,1839594,450807,512342,2231348,95915,529655,138087,845395,3325916,372935,103551,694833,1156242,441096,1000595,100889
T14,1547,0,216,3090,13899,609,6085,82,0,10412,0,0,1209,6534,2273,3962,0,2421,4385,1816,3071,337,4252,613,0,0,21,143,0,827,0,596,21420,0,1159,5024,1113,2253,11758,1180,0,461,0,7357,0,0,0,1510,2312,0,385
T15,734105,4230,21760,0,663448,10819,315287,59128,200365,2719350,0,166179,1840,1651211,252652,0,353,63898,9158,32432,139346,23736,28412,51,4384,0,47390,53009,22636,69877,1012028,29894,929929,403194,40411,1125461,46306,85401,1284892,101590,28450,3709,6840,652229,24319,21791,107394,497993,153588,379549,4638
T16,117112,72004,311811,225809,833126,194192,376489,114659,33205,1322241,216640,107685,47816,859865,447561,225375,97813,248979,130045,136160,402403,660029,942148,657906,146050,99527,85404,63425,102116,215012,740605,81272,1446184,281773,31262,815532,292752,257583,1028006,138266,25632,61811,261101,1446144,113184,71854,180733,443185,101779,640728,24490
T19,546384,28420,130808,236705,2487112,620232,985200,87806,103227,700198,407499,464803,61840,2130103,949768,28342,41668,751121,298353,133255,1531029,568738,1338497,2219843,406065,134690,45415,10181,209198,350711,616609,139530,5250995,704017,163193,732348,172651,484140,845817,206022,258589,75237,555186,4880690,186578,379138,856742,555083,417471,466647,2674
