Code,AL,Unnamed: 2,AK,Unnamed: 4,AZ,Unnamed: 6,AR,Unnamed: 8,CA,Unnamed: 10,CO,Unnamed: 12,CT,Unnamed: 14,DE,Unnamed: 16,FL,Unnamed: 18,GA,Unnamed: 20,HI,Unnamed: 22,ID,Unnamed: 24,IL,Unnamed: 26,IN,Unnamed: 28,IA,Unnamed: 30,KS,Unnamed: 32,KY,Unnamed: 34,LA,Unnamed: 36,ME,Unnamed: 38,MD,Unnamed: 40,MA,Unnamed: 42,MI,Unnamed: 44,MN,Unnamed: 46,MS,Unnamed: 48,MO,Unnamed: 50,MT,Unnamed: 52,NE,Unnamed: 54,NV,Unnamed: 56,NH,Unnamed: 58,NJ,Unnamed: 60,NM,Unnamed: 62,NY,Unnamed: 64,NC,Unnamed: 66,ND,Unnamed: 68,OH,Unnamed: 70,OK,Unnamed: 72,OR,Unnamed: 74,PA,Unnamed: 76,RI,Unnamed: 78,SC,Unnamed: 80,SD,Unnamed: 82,TN,Unnamed: 84,TX,Unnamed: 86,UT,Unnamed: 88,VT,Unnamed: 90,VA,Unnamed: 92,WA,Unnamed: 94,WV,Unnamed: 96,WI,Unnamed: 98,WY,Unnamed: 100,Unnamed: 101
T20,3881,,1819,,7928,,1619,,49448,,5939,,6571,,1187,,8629,,2053,,0,,1486,,11729,,11244,,11004,,2745,,6272,,0,,4704,,1014,,2941,,14078,,1724,,2828,,5086,,2087,,542,,0,,3245,,7838,,3583,,43701,,15261,,250,,33302,,9831,,3423,,16224,,121,,8306,,553,R,1158,,70850,,1890,,371,,11514,,11336,,17483,,1268,,0,,
T21,0,,1,,0,,441,,11860,,830,,38,,440,,9000,,220,,0,,325,,3320,,204763,,24016,,29,,350,,0,,727,,27,,427,,0,,1143,,5004,,1713,,923,,735,,99863,,174,,71230,,420,,69,,0,,286,,8551,,221533,,2631,,18342,,429,,2600,,7719,R,353,,8365,,0,,39,,118,,7240,,15,,641,,0,,
T22,109384,,889,,28299,,23967,,59297,,14674,,16731,,705618,,239887,,30241,,1402,,1927,,311488,,3629,,30855,,50352,,82531,,232660,,7976,,91758,,24429,,19585,,8871,,111892,,88136,,2768,,2269,,64913,,38589,,263405,,13012,,62981,,534642,,0,,1222426,,63327,,10372,,620004,,4289,,78570,,3033,,524685,,4274325,,3249,,2053,,53675,,24652,,2463,,17122,,11533,,
T23,21549,,24492,,28997,,21591,,95426,,71796,,6195,,2701,,15509,,19390,,397,,35562,,37128,,18674,,28259,,23140,,26724,,27844,,16006,,15595,,5620,,51020,,58586,,15771,,31749,,45849,,14727,,8591,,10324,,13304,,23537,,47059,,16877,,14903,,40651,,19824,,40241,,68642,,1795,,15907,,28081,,23464,,99242,,28752,,6401,,22421,,32936,,17060,,72187,,36544,,
T24,195459,,55267,,196054,,141524,,2978475,,211319,,193402,,48236,,1119332,,283406,,100413,,122231,,1373388,,207710,,426321,,171588,,206782,,78172,,91030,,438868,,293845,,874833,,526032,,125497,,268599,,139012,,74723,,163707,,98938,,486875,,145964,,723000,,572968,,78599,,806294,,582683,,437866,,824678,,52317,,152287,,48655,,251335,,1496478,,256863,,62890,,350852,,455901,,89837,,465014,,81105,,
T25,15625,,0,,24529,,16782,,258998,,14171,,40773,,4362,,181209,,64162,,291,,7773,,73895,,203899,,18345,,15537,,16100,,10967,,10841,,29932,,93471,,58595,,47977,,32510,,17114,,7428,,9820,,15964,,12893,,42291,,3874,,138239,,130377,,4116,,80216,,15257,,29011,,61861,,658,,46989,,2062,,43048,,103907,,14301,,5989,,57979,,63330,,3901,,42715,,2178,,
T27,14360,,169,,1341,,8520,,476323,,12739,,0,,0,R,30500,,16,,16171,,32416,,5385,,0,,10136,,6840,,0,,8416,,0,,0,,0,,25328,,872,,8215,,21325,,9,,0,,0,,9406,,1570,,851,,29180,,0,,6,,31018,,9,,3289,,62546,,0,,0,,0,,4402,,21798,,0,,0,,0,,19202,,18910,,63455,,0,,
T28,118668,,40005,,110725,,113098,,4438221,,33003,,94568,,245161,,215104,,72851,,26390,,62404,,432711,,40733,,108486,,29038,,115300,,103551,,102616,,184015,,219336,,154244,,329440,,88486,,120468,,92600,,47309,,172176,,53814,,512812,,22468,,209057,,196785,,42660,,635544,,105543,,156684,,813026,,36317,,138676,,100759,,274401,,674840,,45734,,16253,,170158,,254931,,43100,,291512,,20850,,
T29,1,,9862,,3114,,851,,3866,,1073,,5224,,140282,,4067,,9216,,1206,,4084,,8561,,6835,,1517,,2684,,4489,,3361,,9268,,2075,,113738,,153873,,47537,,12917,,17483,,7310,,16889,,5118,,206,,2532,,1036,,2051,,7368,,0,,22395,,2576,,6099,,17974,,954,,8860,,9746,,5805,,97736,,5953,,4367,,4282,,58528,,216,,5318,,0,,
T40,2662759,,0,,2575753,,2238958,,44355959,,4403446,,5609270,,910693,,0,,7801185,,1338702,,1175604,,9222600,,4313759,,2703190,,2731559,,3315368,,2940633,,1370710,,6478236,,10599085,,5856751,,6948119,,1485592,,4771576,,827196,,1602091,,0,,98191,,10663866,,958500,,36840019,,9560353,,370165,,8323352,,2544576,,5162384,,9550238,,960885,,2812300,,0,,221685,,0,,2319632,,532911,,9194355,,0,,1557403,,5971177,,0,,
T41,493972,,632123,,592187,,346215,,9535679,,329545,,444061,,208677,,1836800,,694717,,78597,,142240,,1710000,,838974,,264365,,370889,,389634,,612545,,143086,,749001,,1789553,,703250,,779055,,324301,,278661,,164255,,198442,,0,,493431,,2397471,,162500,,4427675,,901445,,129542,,521363,,342762,,243752,,1740532,,108497,,249200,,48772,,816261,,0,,245880,,86759,,633490,,0,,420530,,656872,,0,,
T50,0,,175,,210,,224,,245,,22,,230503,,0,,4800,,83,,274,,264,,287757,,185662,,72562,,22530,,41234,,5068,,31819,,205627,,259734,,147,,129811,,0,,3030,,213,,493,,0,,77,,639544,,32,,1165247,,116624,,40,,34403,R,43804,R,87211,,748648,,27262,,153,,16,,91490,,2004,,321,,23397,,6005,,138535,,29,,20853,,113,,
T51,36347,,0,,0,,24613,,0,,0,,86699,,56586,,1328300,,16503,,23773,,0,,40641,,0,,13858,,0,,3166,,0,,17787,,115670,,135595,,125293,,160953,,0,,8576,,0,,10934,,71043,,84128,,355394,,0,,829727,,36038,,0,,0,,12822,,11395,,349181,,7149,,34524,,163,,138055,,0,,0,,26472,,313594,,415415,,8537,,41160,,0,,
T53,115374,,3829564,,19481,,33547,,27105,,285015,,68,,0,,81300,,0,,0,,4952,,0,,1475,,0,,142658,,355985,,911433,,0,,0,,0,,53233,,45820,,113762,,18,,349714,,4718,,145450,,0,,0,,931812,,0,,1740,,827417,,11052,,1067182,,13038,,0,,0,,0,,7668,,2413,,2295177,,102121,,0,,1997,,29681,,376677,,5669,,1197540,,
T99,0,,0,,0,,11751,,0,,0,,0,,882,,0,R,0,,0,,6247,,0,,0,,0,,0,,0,,0,,0,,62297,,44559,,0,,0,,1372,R,12133,,3494,,0,,277516,,0,,0,,0,R,0,,0,,0,,0,,2126,,0,,27337,,130,,0,,920,,34107,,0,,0,,3985,,117343,,0,,0,,10877,,6275,,
